fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
8,273.854,-31.851,4045884412881446912,148964829,549515,True,True,16.134,14.9550,16.0770,15.2900,-4.836,0.057,-7.032,0.044,0.127,0.061,-43.589,3.841,25.200,good,True,1.317,2.979,2.645,5.623,4602.0,100.0,2.853,0.368,-0.593,0.094,SP_Ace+CaT_DP_consensus,-0.67,0.015,-0.544,0.116,0.147,0.281,SP_Ace,modeled,True,5.0,0.136,check,True,False,secondary
9,273.734,-31.847,4048886217069561600,148660316,505563,True,True,16.129,15.0210,16.0150,15.3240,-3.898,0.063,-7.079,0.047,0.187,0.049,-57.635,4.289,31.000,good,True,1.377,2.371,2.285,4.657,4906.5,101.6,3.656,0.33,-0.624,0.12,SP_Ace_primary_CaT_DP_disagrees,-1.001,0.03,-0.624,0.108,0.278,0.207,SP_Ace,modeled,True,6.0,0.134,check,True,True,secondary
19,273.512,-31.871,4048883708806719872,148076970,396717,True,True,16.540,15.3560,16.2880,15.6070,-4.175,0.066,-7.402,0.049,0.103,0.056,-48.728,3.255,29.100,good,True,1.168,2.706,2.029,4.735,5029.0,191.6,2.628,0.813,-0.902,0.138,SP_Ace+CaT_DP_consensus,-0.916,0.024,-0.817,0.361,0.142,0.917,SP_Ace,modeled,True,6.0,0.365,consistent,True,False,RV_CaT_only
22,273.379,-31.974,4048787712010611840,147717824,327247,True,True,16.914,15.6350,16.5910,15.9010,-3.809,0.078,-6.852,0.060,0.151,0.073,-48.052,3.963,23.100,good,True,1.431,2.971,2.159,5.130,5059.0,172.0,3.556,0.42,-0.653,0.128,SP_Ace+CaT_DP_consensus,-0.651,0.044,-0.66,0.246,0.156,0.34,SP_Ace,modeled,True,5.0,0.519,check,True,False,secondary
31,273.902,-32.056,4045865755542818688,149084444,562702,True,True,15.952,15.0930,16.1350,15.3950,-4.747,0.050,-7.369,0.038,0.121,0.048,-50.588,4.039,32.300,good,True,1.312,2.790,2.467,5.256,4934.0,115.6,2.314,0.496,-0.745,0.114,SP_Ace+CaT_DP_consensus,-0.83,0.013,-0.63,0.174,0.367,0.416,SP_Ace,modeled,True,6.0,0.291,check,True,True,secondary
58,273.576,-31.968,4048879280801579520,148246848,428987,True,True,17.217,15.7770,16.7620,16.1130,-4.051,0.099,-7.350,0.071,0.039,0.084,-45.621,3.827,15.900,usable,True,1.055,2.858,2.147,5.005,5256.5,228.7,2.736,1.368,-0.718,0.148,SP_Ace+CaT_DP_consensus,-0.713,0.052,-0.915,0.96,0.64,1.0,SP_Ace,modeled,True,6.0,0.264,check,True,True,RV_CaT_only
69,273.574,-32.150,4045779375162862080,148241343,427932,True,True,13.878,12.5590,15.1650,13.8130,-3.835,0.027,-7.228,0.019,0.062,0.023,-37.964,4.582,55.100,good,True,1.587,2.999,2.702,5.701,3839.5,100.0,1.757,0.422,-0.684,0.123,SP_Ace_primary_CaT_DP_disagrees,-1.127,0.084,-0.684,0.123,0.172,0.206,SP_Ace,modeled,True,6.0,0.979,check,True,False,secondary
82,273.555,-32.286,4045775153313046272,148192745,418537,True,True,16.270,15.4810,16.5900,15.7990,-4.580,0.098,-6.050,0.072,0.125,0.087,-64.051,7.200,23.700,good,True,1.219,2.815,2.326,5.141,5052.5,168.9,2.015,0.553,-0.759,0.116,SP_Ace+CaT_DP_consensus,-0.815,0.01,-0.676,0.184,0.31,0.351,SP_Ace,modeled,True,5.0,0.441,check,True,True,secondary
86,273.423,-32.043,4048784203005973504,147839291,351494,True,True,16.723,15.4070,16.4830,15.7220,-4.658,0.076,-8.105,0.058,0.220,0.060,-48.943,3.225,23.400,good,True,1.284,2.879,2.160,5.038,4815.0,285.3,1.171,0.599,-0.814,0.133,SP_Ace+CaT_DP_consensus,-0.757,0.006,-1.021,0.285,0.429,0.323,SP_Ace,modeled,True,6.0,0.431,check,True,True,secondary
106,273.346,-32.324,4045771334983937536,147629826,309993,True,True,14.315,13.0360,15.1240,13.9630,-3.807,0.034,-8.354,0.024,0.053,0.029,-57.178,3.343,49.000,good,True,1.539,3.069,2.677,5.746,3869.5,100.0,1.539,0.449,-0.865,0.094,SP_Ace+CaT_DP_consensus,-1.033,0.071,-0.757,0.106,0.331,0.29,SP_Ace,modeled,True,5.0,0.813,check,True,True,secondary
