cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
2MASS-GC02,0,272.4021,-20.778889,5.5,9.7821063,-0.615164035,-2.70241824,0.934400778,-0.0521206686,2.85940014,2.85987512,-52.1643225,109.516792,27.9946007,-2.924,-3.776,-87.5,False,False
2MASS-GC02,-0.1,272.364732,-20.9023647,5.50347153,9.65713797,-0.644330411,-2.6970086,0.923154715,-0.0549731814,2.85062625,2.85115627,-53.6263161,110.410013,27.7866752,-2.89660886,-3.74658913,-88.5296056,False,False
2MASS-GC02,-0.2,272.326496,-21.0266032,5.5071028,9.53112946,-0.673208947,-2.69144925,0.911817134,-0.0578038087,2.84170891,2.84229675,-55.092195,111.306498,27.5666045,-2.86880077,-3.71743466,-89.5642758,False,False
2MASS-GC02,-0.3,272.287381,-21.1515897,5.51089479,9.40408897,-0.701784626,-2.68573978,0.900387699,-0.0606113061,2.83264826,2.83329665,-56.5619692,112.206321,27.3343402,-2.84057827,-3.68853874,-90.6040636,False,False
2MASS-GC02,-0.4,272.247374,-21.277309,5.5148485,9.27602484,-0.730042452,-2.67987979,0.888866064,-0.0633944239,2.82344446,2.82415606,-58.0356461,113.109556,27.0898348,-2.81194408,-3.65990348,-91.6490205,False,False
2MASS-GC02,-0.5,272.206461,-21.4037458,5.51896492,9.14694556,-0.757967457,-2.67386889,0.877251877,-0.0661519079,2.81409767,2.81487509,-59.5132307,114.016275,26.8330411,-2.78290109,-3.63153103,-92.6991965,False,False
2MASS-GC02,-0.6,272.16463,-21.5308847,5.52324504,9.01685975,-0.785544702,-2.66770668,0.865544777,-0.0688824989,2.80460812,2.80545388,-60.9947252,114.926549,26.5639127,-2.75345236,-3.60342351,-93.7546398,False,False
2MASS-GC02,-0.7,272.121869,-21.6587101,5.52768985,8.88577619,-0.812759287,-2.66139275,0.853744397,-0.0715849331,2.79497601,2.79589257,-62.4801291,115.840447,26.2824029,-2.7236011,-3.5755831,-94.8153966,False,False
2MASS-GC02,-0.8,272.078164,-21.7872065,5.53230035,8.75370379,-0.839596353,-2.65492671,0.841850364,-0.0742579419,2.78520159,2.78619133,-63.9694384,116.758038,25.9884651,-2.69335072,-3.54801201,-95.8815112,False,False
2MASS-GC02,-0.9,272.033504,-21.9163578,5.53707753,8.62065162,-0.866041089,-2.64830815,0.829862296,-0.0769002517,2.77528512,2.77635033,-65.4626463,117.679386,25.6820523,-2.66270476,-3.52071249,-96.9530257,False,False
