cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
AM 4,0,209.089066,-27.165171,29.01,-39.7170108,33.5098339,10.5248072,-15.4562598,15.9889466,18.6993993,24.6031288,128.305423,-74.9740567,-162.608817,-0.538,-2.485,151.19,False,False
AM 4,-0.1,209.069091,-27.1249236,29.0066351,-39.7229656,33.5535509,10.511682,-15.4485873,16.0055716,18.6856711,24.6035084,128.370185,-75.0692743,-162.506496,-0.538391963,-2.48587483,151.121567,False,False
AM 4,-0.2,209.049133,-27.0846668,29.0032722,-39.7289201,33.5972728,10.4985501,-15.440905,16.0221861,18.6719335,24.6038929,128.434861,-75.164438,-162.404081,-0.538783553,-2.48674948,151.053011,False,False
AM 4,-0.3,209.029195,-27.0444006,28.9999111,-39.7348742,33.6409997,10.4854116,-15.4332129,16.0387901,18.6581863,24.6042823,128.49945,-75.2595479,-162.301572,-0.53917477,-2.48762396,150.984334,False,False
AM 4,-0.4,209.009274,-27.0041251,28.9965519,-39.7408279,33.6847314,10.4722665,-15.4255112,16.0553836,18.6444298,24.6046765,128.563952,-75.3546037,-162.198968,-0.539565614,-2.48849826,150.915534,False,False
AM 4,-0.5,208.989372,-26.9638402,28.9931947,-39.7467813,33.7284681,10.4591148,-15.4177997,16.0719667,18.6306637,24.6050756,128.628369,-75.4496055,-162.09627,-0.539956086,-2.48937238,150.846613,False,False
AM 4,-0.6,208.969488,-26.923546,28.9898393,-39.7527344,33.7722096,10.4459565,-15.4100785,16.0885392,18.6168883,24.6054795,128.692698,-75.5445532,-161.993479,-0.540346187,-2.49024633,150.777569,False,False
AM 4,-0.7,208.949622,-26.8832426,28.9864859,-39.7586871,33.815956,10.4327917,-15.4023477,16.1051012,18.6031034,24.6058883,128.756941,-75.6394466,-161.890593,-0.540735915,-2.49112009,150.708404,False,False
AM 4,-0.8,208.929774,-26.8429298,28.9831344,-39.7646395,33.8597073,10.4196203,-15.3946071,16.1216527,18.5893091,24.606302,128.821097,-75.7342856,-161.787613,-0.541125272,-2.49199368,150.639117,False,False
AM 4,-0.9,208.909944,-26.8026078,28.9797848,-39.7705916,33.9034634,10.4064423,-15.3868568,16.1381936,18.5755055,24.6067206,128.885166,-75.8290703,-161.684539,-0.541514258,-2.49286708,150.569708,False,False
AM 4,-1,208.890133,-26.7622765,28.9764371,-39.7765434,33.9472244,10.3932578,-15.3790968,16.154724,18.5616924,24.607144,128.949148,-75.9238004,-161.581372,-0.541902873,-2.4937403,150.500178,False,False
AM 4,-1.1,208.870339,-26.721936,28.9730914,-39.7824948,33.9909903,10.3800667,-15.3713272,16.1712439,18.5478701,24.6075723,129.013044,-76.0184759,-161.478111,-0.542291117,-2.49461333,150.430526,False,False
AM 4,-1.2,208.850564,-26.6815863,28.9697476,-39.7884459,34.034761,10.3668692,-15.3635478,16.1877532,18.5340383,24.6080054,129.076853,-76.1130968,-161.374757,-0.542678992,-2.49548617,150.360752,False,False
AM 4,-1.3,208.830806,-26.6412273,28.9664057,-39.7943968,34.0785365,10.353665,-15.3557588,16.2042519,18.5201973,24.6084434,129.140574,-76.2076629,-161.27131,-0.543066496,-2.49635883,150.290857,False,False
AM 4,-1.4,208.811067,-26.6008592,28.9630657,-39.8003473,34.1223169,10.3404544,-15.3479601,16.22074,18.5063469,24.6088863,129.204209,-76.3021741,-161.167769,-0.543453631,-2.4972313,150.22084,False,False
AM 4,-1.5,208.791345,-26.5604818,28.9597277,-39.8062975,34.166102,10.3272373,-15.3401518,16.2372175,18.4924873,24.609334,129.267756,-76.3966304,-161.064135,-0.543840396,-2.49810357,150.150702,False,False
