cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Arp 2,0,292.183807,-30.355639,28.73,8.54536999,-20.7853658,18.4138071,3.99120721,-10.2425094,18.8413913,21.445443,250.717322,-20.5324114,175.857507,-2.317,-1.487,122.64,False,False
Arp 2,-0.1,292.2444,-30.3622218,28.7130368,8.55792276,-20.83674,18.3881581,3.99330539,-10.2604898,18.8167704,21.432417,250.870588,-20.4992837,175.765986,-2.31816656,-1.48901985,122.554201,False,False
Arp 2,-0.2,292.305066,-30.3687842,28.6960795,8.57049679,-20.888168,18.3624934,3.99540018,-10.278461,18.7921363,21.4194105,251.023819,-20.4660975,175.674206,-2.31933194,-1.49104371,122.468144,False,False
Arp 2,-0.3,292.365804,-30.3753261,28.6791284,8.58309213,-20.9396497,18.3368131,3.99749157,-10.2964227,18.7674893,21.4064236,251.177014,-20.4328527,175.582166,-2.32049613,-1.49307158,122.381831,False,False
Arp 2,-0.4,292.426614,-30.3818474,28.6621832,8.59570886,-20.9911854,18.3111171,3.99957956,-10.314375,18.7428292,21.3934564,251.330173,-20.3995493,175.489866,-2.32165913,-1.49510348,122.29526,False,False
Arp 2,-0.5,292.487497,-30.3883482,28.6452442,8.60834703,-21.042775,18.2854054,4.00166414,-10.3323178,18.7181561,21.3805088,251.483295,-20.3661873,175.397306,-2.32282092,-1.49713939,122.208431,False,False
Arp 2,-0.6,292.548453,-30.3948281,28.6283114,8.62100673,-21.0944186,18.2596781,4.00374531,-10.3502511,18.69347,21.367581,251.636378,-20.3327667,175.304486,-2.32398148,-1.49917932,122.121343,False,False
Arp 2,-0.7,292.609481,-30.4012873,28.6113846,8.63368801,-21.1461162,18.2339351,4.00582305,-10.368175,18.6687709,21.354673,251.789423,-20.2992874,175.211405,-2.32514082,-1.50122329,122.033996,False,False
Arp 2,-0.8,292.670583,-30.4077255,28.5944641,8.64639095,-21.1978678,18.2081765,4.00789737,-10.3860893,18.6440589,21.3417849,251.942429,-20.2657495,175.118063,-2.3262989,-1.50327129,121.946389,False,False
Arp 2,-0.9,292.731757,-30.4141427,28.5775497,8.65911561,-21.2496737,18.1824022,4.00996826,-10.403994,18.6193339,21.3289167,252.095395,-20.2321528,175.02446,-2.32745573,-1.50532333,121.858521,False,False
