cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
BH 140,0,193.472915,-67.177276,4.81,-56.8294642,-4.30666524,-5.49863211,-4.01482381,-0.347127229,6.80835995,6.81720342,-220.615463,-17.5182182,33.4359885,-14.901,1.258,90.3,False,False
BH 140,-0.1,194.084489,-67.2038978,4.82110938,-56.5921086,-4.33667879,-5.47603665,-4.01300672,-0.350537614,6.78905004,6.79809363,-221.257789,-18.0168769,33.2565954,-14.9298273,1.10214115,88.9565364,False,False
BH 140,-0.2,194.697053,-67.2278336,4.83229436,-56.3548425,-4.36626559,-5.45337548,-4.01113848,-0.35392954,6.76967769,6.77892337,-221.900748,-18.5188806,33.0750189,-14.9565962,0.945464693,87.608453,False,False
BH 140,-0.3,195.310454,-67.2490785,4.84355509,-56.1176695,-4.39542437,-5.43064851,-4.00921871,-0.357302784,6.75024281,6.75969254,-222.544321,-19.024247,32.8912506,-14.9812881,0.788040412,86.2557955,False,False
BH 140,-0.4,195.92454,-67.2676292,4.85489171,-55.8805933,-4.42415392,-5.4078557,-4.00724709,-0.360657121,6.73074532,6.74040104,-223.188488,-19.5329936,32.7052822,-15.0038869,0.629938978,84.8986099,False,False
BH 140,-0.5,196.539156,-67.2834829,4.86630438,-55.6436175,-4.45245306,-5.38499698,-4.00522327,-0.363992327,6.71118513,6.72104875,-223.833227,-20.0451376,32.5171052,-15.0243785,0.471231825,83.5369416,False,False
BH 140,-0.6,197.154149,-67.2966384,4.87779325,-55.4067457,-4.48032064,-5.36207229,-4.0031469,-0.367308174,6.69156217,6.70163559,-224.47852,-20.5606955,32.3267108,-15.0427509,0.311991027,82.1708363,False,False
BH 140,-0.7,197.769362,-67.3070954,4.88935846,-55.1699816,-4.50775557,-5.33908158,-4.00101762,-0.370604435,6.67187635,6.68216146,-225.124344,-21.0796837,32.1340903,-15.0589945,0.152289175,80.8003391,False,False
BH 140,-0.8,198.384641,-67.3148545,4.90100015,-54.9333286,-4.53475678,-5.31602479,-3.99883509,-0.373880882,6.6521276,6.66262625,-225.77068,-21.6021184,31.9392347,-15.0731019,-0.00780074659,79.4254952,False,False
BH 140,-0.9,198.999828,-67.3199178,4.91271847,-54.6967904,-4.56132325,-5.29290188,-3.99659895,-0.377137287,6.63231584,6.64302988,-226.417506,-22.128015,31.742135,-15.0850681,-0.168205494,78.0463496,False,False
BH 140,-1,199.614768,-67.3222881,4.92451355,-54.4603704,-4.58745398,-5.26971279,-3.99430885,-0.380373419,6.61244101,6.62337225,-227.064802,-22.6573889,31.5427819,-15.0948903,-0.32885169,76.6629469,False,False
BH 140,-1.1,200.229306,-67.3219695,4.93638554,-54.2240723,-4.61314803,-5.24645747,-3.99196444,-0.383589047,6.59250302,6.60365328,-227.712547,-23.1902551,31.3411662,-15.1025678,-0.489665952,75.2753317,False,False
BH 140,-1.2,200.843287,-67.3189672,4.94833457,-53.9878993,-4.63840448,-5.22313589,-3.98956534,-0.38678394,6.57250182,6.58387287,-228.360719,-23.726628,31.1372783,-15.1081026,-0.650575024,73.8835483,False,False
BH 140,-1.3,201.456557,-67.3132874,4.96036077,-53.7518551,-4.66322246,-5.199748,-3.98711121,-0.389957864,6.55243734,6.56403095,-229.009299,-24.2665221,30.9311086,-15.1114986,-0.8115059,72.4876406,False,False
BH 140,-1.4,202.068962,-67.3049374,4.97246427,-53.5159431,-4.68760113,-5.17629376,-3.98460169,-0.393110586,6.53230952,6.54412742,-229.658264,-24.809951,30.7226474,-15.1127622,-0.972385957,71.0876526,False,False
BH 140,-1.5,202.68035,-67.2939254,4.98464521,-53.2801667,-4.71153968,-5.15277313,-3.9820364,-0.396241871,6.51211831,6.52416221,-230.307594,-25.3569286,30.5118848,-15.1119019,-1.13314308,69.6836276,False,False
BH 140,-1.6,203.290571,-67.280261,4.99690372,-53.0445292,-4.73503736,-5.12918607,-3.979415,-0.399351482,6.49186364,6.50413523,-230.957268,-25.9074678,30.2988108,-15.1089284,-1.29370577,68.275609,False,False
BH 140,-1.7,203.899477,-67.2639544,5.00923992,-52.8090341,-4.75809342,-5.10553256,-3.97673711,-0.402439184,6.47154547,6.48404642,-231.607266,-26.4615818,30.0834152,-15.1038548,-1.4540033,66.8636396,False,False
BH 140,-1.8,204.50692,-67.2450171,5.02165394,-52.5736847,-4.78070717,-5.08181255,-3.97400236,-0.405504738,6.45116374,6.4638957,-232.257567,-27.0192831,29.8656877,-15.096696,-1.61396579,65.4477622,False,False
BH 140,-1.9,205.112754,-67.2234615,5.0341459,-52.3384844,-4.80287795,-5.05802602,-3.97121039,-0.408547905,6.43071841,6.443683,-232.90815,-27.580584,29.6456177,-15.0874692,-1.77352434,64.028019,False,False
BH 140,-2,205.716839,-67.1993008,5.04671593,-52.1034363,-4.82460514,-5.03417294,-3.96836084,-0.411568444,6.41020943,6.42340825,-233.558995,-28.1454967,29.4231948,-15.0761935,-1.93261115,62.6044522,False,False
BH 140,-2.1,206.319032,-67.1725495,5.05936414,-51.8685439,-4.84588814,-5.01025329,-3.96545332,-0.414566116,6.38963677,6.40307138,-234.210081,-28.7140328,29.198408,-15.0628899,-2.0911596,61.1771033,False,False
BH 140,-2.2,206.919197,-67.1432227,5.07209067,-51.6338102,-4.8667264,-4.98626704,-3.96248748,-0.417540677,6.36900039,6.38267234,-234.861389,-29.2862038,28.9712464,-15.0475816,-2.24910438,59.7460139,False,False
BH 140,-2.3,207.517198,-67.1113365,5.08489561,-51.3992387,-4.88711939,-4.96221416,-3.95946293,-0.420491884,6.34830025,6.36221105,-235.512898,-29.8620211,28.741699,-15.0302933,-2.40638155,58.3112249,False,False
BH 140,-2.4,208.112904,-67.0769079,5.09777911,-51.1648324,-4.90706661,-4.93809465,-3.9563793,-0.423419492,6.32753632,6.34168747,-236.164589,-30.4414957,28.5097543,-15.0110516,-2.56292866,56.872777,False,False
BH 140,-2.5,208.706185,-67.0399547,5.11074125,-50.9305945,-4.92656762,-4.91390848,-3.95323622,-0.426323256,6.30670858,6.32110154,-236.816442,-31.0246384,28.275401,-14.9898847,-2.7186848,55.4307107,False,False
BH 140,-2.6,209.296916,-67.0004956,5.12378218,-50.6965281,-4.94562198,-4.88965563,-3.95003332,-0.429202929,6.28581701,6.30045321,-237.468439,-31.6114599,28.0386273,-14.9668225,-2.87359072,53.9850658,False,False
BH 140,-2.7,209.884975,-66.95855,5.13690198,-50.4626364,-4.9642293,-4.8653361,-3.94677021,-0.432058262,6.26486157,6.27974242,-238.120559,-32.2019707,27.7994214,-14.9418962,-3.02758886,52.5358821,False,False
BH 140,-2.8,210.470242,-66.914138,5.15010079,-50.2289224,-4.98238922,-4.84094987,-3.94344652,-0.434889007,6.24384226,6.25896913,-238.772784,-32.7961809,27.5577713,-14.9151387,-3.18062345,51.0831989,False,False
BH 140,-2.9,211.052602,-66.8672805,5.1633787,-49.9953892,-5.0001014,-4.81649693,-3.94006188,-0.437694912,6.22275906,6.2381333,-239.425095,-33.3941009,27.3136646,-14.886584,-3.33264053,49.6270551,False,False
BH 140,-3,211.631943,-66.8179992,5.17673583,-49.7620397,-5.01736554,-4.79197727,-3.93661589,-0.440475726,6.20161195,6.21723489,-240.077474,-33.9957406,27.0670889,-14.8562675,-3.48358806,48.1674893,False,False
BH 140,-3.1,212.208157,-66.7663162,5.19017229,-49.5288771,-5.03418136,-4.7673909,-3.93310818,-0.443231196,6.18040095,6.19627386,-240.729904,-34.6011101,26.8180315,-14.8242256,-3.6334159,46.7045396,False,False
BH 140,-3.2,212.781141,-66.7122545,5.20368818,-49.2959042,-5.05054863,-4.74273779,-3.92953836,-0.445961067,6.15912603,6.17525018,-241.382365,-35.2102191,26.5664794,-14.7904959,-3.78207589,45.238244,False,False
BH 140,-3.3,213.350793,-66.6558375,5.21728361,-49.0631239,-5.06646714,-4.71801796,-3.92590606,-0.448665083,6.13778721,6.15416381,-242.034842,-35.8230775,26.3124195,-14.7551169,-3.92952187,43.7686399,False,False
BH 140,-3.4,213.917018,-66.5970892,5.23095869,-48.8305392,-5.08193668,-4.69323139,-3.9222109,-0.451342987,6.11638449,6.13301473,-242.687316,-36.4396951,26.0558382,-14.718128,-4.07570972,42.2957645,False,False
BH 140,-3.5,214.479723,-66.5360343,5.24471351,-48.5981529,-5.09695711,-4.6683781,-3.91845247,-0.453994521,6.09491787,6.11180292,-243.339772,-37.0600817,25.7967221,-14.6795693,-4.22059738,40.8196544,False,False
BH 140,-3.6,215.038819,-66.4726977,5.25854819,-48.3659678,-5.1115283,-4.64345809,-3.91463041,-0.456619424,6.07338738,6.09052834,-243.992191,-37.684247,25.535057,-14.6394818,-4.36414482,39.3403461,False,False
