cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Crater,0,174.06875,-10.876972,147.23,-85.1905384,47.8483934,0.441354566,-98.4575425,109.151248,98.4585317,146.996862,57.8242611,84.7709425,58.9593745,-0.013,-0.132,148.1,False,False
Crater,-0.1,174.064675,-10.8794261,147.230984,-85.1943678,47.8444648,0.435440806,-98.4662116,109.145217,98.4671744,146.998173,57.8243105,84.7598597,58.9716814,-0.0129879991,-0.131989204,148.121116,False,False
Crater,-0.2,174.0606,-10.8818801,147.231967,-85.1981966,47.8405362,0.429527041,-98.4748795,109.139186,98.4758163,146.999484,57.8243593,84.7487761,58.9839875,-0.0129759966,-0.131978409,148.142231,False,False
Crater,-0.3,174.056524,-10.8843341,147.23295,-85.2020247,47.8366075,0.423613271,-98.4835463,109.133153,98.4844573,147.000794,57.8244074,84.7376918,58.9962925,-0.0129639928,-0.131967613,148.163344,False,False
Crater,-0.4,174.052449,-10.8867879,147.233931,-85.2058521,47.8326787,0.417699496,-98.492212,109.127118,98.4930977,147.002103,57.8244548,84.7266067,59.0085967,-0.0129519874,-0.131956817,148.184456,False,False
Crater,-0.5,174.048374,-10.8892418,147.234912,-85.2096788,47.8287498,0.411785717,-98.5008765,109.121083,98.5017372,147.003411,57.8245015,84.7155209,59.0208998,-0.0129399806,-0.131946021,148.205567,False,False
Crater,-0.6,174.044299,-10.8916955,147.235893,-85.2135049,47.8248209,0.405871932,-98.5095399,109.115046,98.510376,147.004719,57.8245476,84.7044344,59.0332021,-0.0129279722,-0.131935225,148.226677,False,False
Crater,-0.7,174.040224,-10.8941492,147.236872,-85.2173302,47.8208919,0.399958143,-98.5182021,109.109008,98.519014,147.006026,57.824593,84.6933471,59.0455034,-0.0129159625,-0.131924428,148.247786,False,False
Crater,-0.8,174.036149,-10.8966028,147.237851,-85.2211549,47.8169628,0.394044349,-98.5268633,109.102969,98.5276512,147.007333,57.8246378,84.6822591,59.0578037,-0.0129039512,-0.131913632,148.268893,False,False
Crater,-0.9,174.032074,-10.8990563,147.23883,-85.2249789,47.8130336,0.388130551,-98.5355232,109.096928,98.5362877,147.008638,57.8246819,84.6711703,59.0701032,-0.0128919385,-0.131902835,148.29,False,False
Crater,-1,174.027999,-10.9015098,147.239807,-85.2288022,47.8091043,0.382216748,-98.5441821,109.090886,98.5449233,147.009943,57.8247253,84.6600809,59.0824016,-0.0128799243,-0.131892038,148.311105,False,False
