cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Djor 1,0,266.869583,-33.066389,9.88,-3.32502214,-2.48359484,1.73100088,-0.572510422,-0.432554495,1.82322029,1.87382913,-372.332054,-186.776047,9.00792562,-4.725,-8.47,-359.18,True,True
Djor 1,-0.1,266.94036,-32.9583055,9.91685587,-3.20169945,-2.47864352,1.76900911,-0.553357883,-0.43339266,1.85353667,1.90353024,-370.949359,-187.765498,7.38456674,-4.67547518,-8.46091872,-358.648095,True,True
Djor 1,-0.2,267.009837,-32.8500558,9.95360282,-3.07875778,-2.4728041,1.80687544,-0.534104922,-0.434065252,1.88416212,1.93351482,-369.55701,-188.739934,5.77001543,-4.62662829,-8.4515747,-358.107564,True,True
Djor 1,-0.3,267.078034,-32.7416499,9.99024013,-2.95619761,-2.46609156,1.84459888,-0.514753061,-0.434573174,1.91507591,1.96376414,-368.15533,-189.699608,4.1643099,-4.57845131,-8.44198063,-357.558691,True,True
Djor 1,-0.4,267.14497,-32.6330974,10.0267671,-2.83401924,-2.45852064,1.88217852,-0.495303797,-0.434917333,1.94625841,1.99426049,-366.744622,-190.644763,2.56747046,-4.53093591,-8.43214889,-357.001742,True,True
Djor 1,-0.5,267.210664,-32.5244075,10.0631831,-2.71222282,-2.4501058,1.91961342,-0.475758604,-0.435098634,1.97769106,2.0249871,-365.325176,-191.575634,0.979500507,-4.48407345,-8.42209143,-356.436971,True,True
Djor 1,-0.6,267.275137,-32.4155892,10.0994876,-2.59080832,-2.4408612,1.95690273,-0.45611893,-0.435117984,2.00935631,2.05592812,-363.897265,-192.492447,-0.599612466,-4.43785502,-8.41181986,-355.864617,True,True
Djor 1,-0.7,267.338406,-32.3066511,10.1356798,-2.46977558,-2.43080076,1.99404558,-0.436386203,-0.434976288,2.04123754,2.08706853,-362.461147,-193.395415,-2.16989593,-4.39227145,-8.40134535,-355.284904,True,True
Djor 1,-0.8,267.400491,-32.1976014,10.1717592,-2.34912433,-2.4199381,2.03104114,-0.416561827,-0.434674448,2.07331905,2.11839414,-361.017065,-194.284739,-3.73139132,-4.34731333,-8.39067868,-354.698041,True,True
Djor 1,-0.9,267.461409,-32.0884482,10.2077252,-2.22885414,-2.40828657,2.06788862,-0.396647188,-0.434213358,2.10558598,2.14989153,-359.565245,-195.160606,-5.28415308,-4.302971,-8.37983018,-354.104226,True,True
