cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
ESO 280-SC06,0,272.275,-46.423333,20.95,-13.101482,-12.5710209,11.7817981,-4.63503964,-4.58992532,12.6607409,13.4670626,25.5457816,-42.5278925,-71.4606887,-0.695,-2.776,93.2,False,False
ESO 280-SC06,-0.1,272.2588,-46.4066912,20.944933,-13.0912754,-12.5536299,11.779172,-4.63068485,-4.58261051,12.6567032,13.4607747,25.8095791,-42.6336303,-71.586555,-0.695195471,-2.77746421,93.4350733,False,False
ESO 280-SC06,-0.2,272.242587,-46.3900207,20.9398377,-13.0810528,-12.536213,11.776519,-4.62631925,-4.57528283,12.6526372,13.4544581,26.0736152,-42.7393944,-71.712415,-0.695391702,-2.77893441,93.6702051,False,False
ESO 280-SC06,-0.3,272.226362,-46.3733213,20.9347141,-13.0708142,-12.5187701,11.7738389,-4.62194283,-4.56794228,12.6485429,13.4481127,26.3378908,-42.845185,-71.838269,-0.695588694,-2.78041061,93.9053962,False,False
ESO 280-SC06,-0.4,272.210124,-46.356593,20.9295622,-13.0605596,-12.5013011,11.7711317,-4.61755559,-4.56058886,12.6444202,13.4417385,26.6024072,-42.9510023,-71.9641172,-0.695786445,-2.78189284,94.1406472,False,False
ESO 280-SC06,-0.5,272.193874,-46.3398357,20.9243819,-13.0502889,-12.483806,11.7683975,-4.61315753,-4.55322256,12.6402691,13.4353355,26.8671656,-43.0568464,-72.0899601,-0.695984953,-2.78338112,94.3759588,False,False
ESO 280-SC06,-0.6,272.177611,-46.3230493,20.9191733,-13.0400021,-12.4662847,11.7656363,-4.60874864,-4.5458434,12.6360896,13.4289036,27.132167,-43.1627174,-72.2157977,-0.696184219,-2.78487545,94.6113316,False,False
ESO 280-SC06,-0.7,272.161336,-46.3062337,20.9139363,-13.0296991,-12.448737,11.7628479,-4.60432892,-4.53845137,12.6318817,13.422443,27.3974126,-43.2686156,-72.3416305,-0.696384241,-2.78637587,94.8467664,False,False
ESO 280-SC06,-0.8,272.145048,-46.2893888,20.908671,-13.01938,-12.431163,11.7600323,-4.59989837,-4.53104647,12.6276453,13.4159535,27.6629036,-43.374541,-72.4674588,-0.696585018,-2.78788239,95.0822637,False,False
ESO 280-SC06,-0.9,272.128748,-46.2725147,20.9033772,-13.0090446,-12.4135626,11.7571896,-4.59545699,-4.5236287,12.6233804,13.4094351,27.9286412,-43.4804939,-72.5932828,-0.696786549,-2.78939502,95.3178244,False,False
ESO 280-SC06,-1,272.112434,-46.255611,20.898055,-12.9986929,-12.3959356,11.7543197,-4.59100476,-4.51619806,12.619087,13.4028878,28.1946264,-43.5864743,-72.7191028,-0.696988833,-2.79091379,95.553449,False,False
ESO 280-SC06,-1.1,272.096108,-46.2386779,20.8927044,-12.9883249,-12.378282,11.7514226,-4.5865417,-4.50875456,12.6147651,13.3963116,28.4608605,-43.6924825,-72.8449192,-0.697191869,-2.79243872,95.7891382,False,False
ESO 280-SC06,-1.2,272.07977,-46.2217152,20.8873253,-12.9779405,-12.3606017,11.7484983,-4.5820678,-4.50129818,12.6104146,13.3897066,28.7273447,-43.7985186,-72.9707321,-0.697395657,-2.79396982,96.0248928,False,False
ESO 280-SC06,-1.3,272.063418,-46.2047228,20.8819178,-12.9675396,-12.3428947,11.7455466,-4.57758305,-4.49382895,12.6060355,13.3830725,28.9940801,-43.9045827,-73.096542,-0.697600194,-2.79550711,96.2607133,False,False
ESO 280-SC06,-1.4,272.047054,-46.1877006,20.8764818,-12.9571223,-12.3251608,11.7425677,-4.57308745,-4.48634684,12.6016279,13.3764096,29.2610679,-44.010675,-73.2223491,-0.697805481,-2.79705061,96.4966006,False,False
