cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Eridanus,0,66.185608,-21.186781,84.68,-141.893958,-41.3320211,-58.2987426,-39.2398686,-55.7754987,70.2745378,89.7185428,57.4076426,61.6681913,131.878359,0.477,-0.295,-22.91,False,False
Eridanus,-0.1,66.1827863,-21.1886084,84.6952869,-141.892732,-41.3350893,-58.3046126,-39.2461747,-55.788985,70.2829288,89.7334995,57.386432,61.6539141,131.857972,0.476908097,-0.294951613,-22.8823979,False,False
Eridanus,-0.2,66.1799656,-21.1904353,84.7105706,-141.891506,-41.3381564,-58.3104805,-39.2524794,-55.8024692,70.2913172,89.7484532,57.3652275,61.6396402,131.837587,0.47681625,-0.294903251,-22.8548011,False,False
Eridanus,-0.3,66.1771457,-21.1922616,84.7258514,-141.89028,-41.3412226,-58.3163462,-39.2587827,-55.8159514,70.2997031,89.7634039,57.3440291,61.6253694,131.817206,0.476724458,-0.294854914,-22.8272096,False,False
Eridanus,-0.4,66.1743267,-21.1940874,84.741129,-141.889055,-41.3442877,-58.3222098,-39.2650844,-55.8294315,70.3080864,89.7783517,57.3228368,61.6111019,131.796828,0.47663272,-0.294806603,-22.7996234,False,False
Eridanus,-0.5,66.1715086,-21.1959126,84.7564036,-141.887829,-41.3473517,-58.3280712,-39.2713847,-55.8429094,70.3164671,89.7932964,57.3016506,61.5968376,131.776453,0.476541038,-0.294758317,-22.7720426,False,False
Eridanus,-0.6,66.1686913,-21.1977373,84.7716751,-141.886604,-41.3504148,-58.3339304,-39.2776836,-55.8563853,70.3248453,89.8082382,57.2804704,61.5825766,131.75608,0.47644941,-0.294710056,-22.7444669,False,False
Eridanus,-0.7,66.165875,-21.1995614,84.7869435,-141.885378,-41.3534769,-58.3397875,-39.283981,-55.8698591,70.3332209,89.823177,57.2592963,61.5683187,131.735711,0.476357838,-0.294661821,-22.7168966,False,False
Eridanus,-0.8,66.1630595,-21.2013849,84.8022089,-141.884153,-41.3565379,-58.3456424,-39.2902769,-55.8833309,70.341594,89.8381128,57.2381283,61.5540641,131.715345,0.47626632,-0.294613611,-22.6893316,False,False
Eridanus,-0.9,66.1602449,-21.2032079,84.8174712,-141.882929,-41.3595979,-58.3514951,-39.2965714,-55.8968005,70.3499645,89.8530457,57.2169663,61.5398127,131.694982,0.476174857,-0.294565426,-22.6617719,False,False
Eridanus,-1,66.1574312,-21.2050304,84.8327305,-141.881704,-41.362657,-58.3573457,-39.3028644,-55.9102681,70.3583325,89.8679755,57.1958104,61.5255646,131.674622,0.476083449,-0.294517266,-22.6342174,False,False
Eridanus,-1.1,66.1546184,-21.2068523,84.8479867,-141.880479,-41.365715,-58.3631941,-39.309156,-55.9237336,70.3666979,89.8829024,57.1746606,61.5113196,131.654264,0.475992096,-0.294469131,-22.6066682,False,False
Eridanus,-1.2,66.1518065,-21.2086736,84.8632398,-141.879255,-41.3687719,-58.3690403,-39.3154461,-55.937197,70.3750607,89.8978263,57.1535168,61.4970779,131.63391,0.475900797,-0.294421022,-22.5791243,False,False
Eridanus,-1.3,66.1489954,-21.2104944,84.8784898,-141.878031,-41.3718279,-58.3748844,-39.3217348,-55.9506583,70.383421,89.9127472,57.1323791,61.4828394,131.613559,0.475809553,-0.294372938,-22.5515857,False,False
Eridanus,-1.4,66.1461853,-21.2123147,84.8937368,-141.876807,-41.3748829,-58.3807263,-39.328022,-55.9641175,70.3917788,89.9276652,57.1112474,61.4686041,131.593211,0.475718363,-0.294324879,-22.5240524,False,False
Eridanus,-1.5,66.143376,-21.2141344,84.9089807,-141.875583,-41.3779369,-58.3865661,-39.3343077,-55.9775747,70.4001339,89.9425802,57.0901217,61.454372,131.572866,0.475627228,-0.294276844,-22.4965243,False,False
Eridanus,-1.6,66.1405675,-21.2159535,84.9242216,-141.874359,-41.3809898,-58.3924037,-39.340592,-55.9910298,70.4084866,89.9574922,57.0690021,61.4401431,131.552523,0.475536148,-0.294228835,-22.4690015,False,False
Eridanus,-1.7,66.13776,-21.2177721,84.9394594,-141.873135,-41.3840417,-58.3982391,-39.3468748,-56.0044828,70.4168367,89.9724012,57.0478886,61.4259175,131.532184,0.475445121,-0.294180852,-22.4414839,False,False
Eridanus,-1.8,66.1349533,-21.2195902,84.9546941,-141.871912,-41.3870927,-58.4040724,-39.3531562,-56.0179337,70.4251842,89.9873072,57.026781,61.411695,131.511848,0.47535415,-0.294132893,-22.4139716,False,False
Eridanus,-1.9,66.1321475,-21.2214077,84.9699258,-141.870689,-41.3901426,-58.4099035,-39.3594361,-56.0313825,70.4335292,90.0022103,57.0056795,61.3974758,131.491515,0.475263232,-0.294084959,-22.3864646,False,False
Eridanus,-2,66.1293426,-21.2232246,84.9851544,-141.869465,-41.3931915,-58.4157325,-39.3657146,-56.0448293,70.4418717,90.0171104,56.984584,61.3832597,131.471184,0.475172369,-0.29403705,-22.3589628,False,False
Eridanus,-2.1,66.1265386,-21.225041,85.00038,-141.868242,-41.3962395,-58.4215593,-39.3719916,-56.0582739,70.4502116,90.0320076,56.9634946,61.3690469,131.450857,0.47508156,-0.293989166,-22.3314663,False,False
Eridanus,-2.2,66.1237354,-21.2268569,85.0156025,-141.86702,-41.3992864,-58.4273839,-39.3782672,-56.0717165,70.4585489,90.0469017,56.9424111,61.3548372,131.430533,0.474990806,-0.293941307,-22.3039751,False,False
Eridanus,-2.3,66.1209331,-21.2286722,85.0308219,-141.865797,-41.4023323,-58.4332064,-39.3845413,-56.0851571,70.4668837,90.0617929,56.9213337,61.3406308,131.410211,0.474900105,-0.293893473,-22.2764891,False,False
Eridanus,-2.4,66.1181317,-21.230487,85.0460383,-141.864574,-41.4053772,-58.4390267,-39.3908139,-56.0985955,70.475216,90.0766811,56.9002622,61.3264275,131.389893,0.474809459,-0.293845664,-22.2490083,False,False
Eridanus,-2.5,66.1153312,-21.2323012,85.0612516,-141.863352,-41.4084211,-58.4448449,-39.3970851,-56.1120319,70.4835457,90.0915664,56.8791968,61.3122275,131.369578,0.474718866,-0.29379788,-22.2215328,False,False
Eridanus,-2.6,66.1125315,-21.2341149,85.0764619,-141.86213,-41.411464,-58.450661,-39.4033549,-56.1254662,70.4918729,90.1064487,56.8581374,61.2980306,131.349265,0.474628328,-0.293750121,-22.1940625,False,False
Eridanus,-2.7,66.1097327,-21.235928,85.0916691,-141.860908,-41.4145059,-58.4564748,-39.4096232,-56.1388984,70.5001975,90.121328,56.837084,61.2838369,131.328956,0.474537843,-0.293702387,-22.1665975,False,False
Eridanus,-2.8,66.1069348,-21.2377406,85.1068733,-141.859686,-41.4175468,-58.4622865,-39.41589,-56.1523285,70.5085196,90.1362043,56.8160366,61.2696464,131.308649,0.474447413,-0.293654678,-22.1391377,False,False
