cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
FSR 1716,0,242.625,-53.748889,7.43,-30.2219091,-1.59257155,-1.70487417,-3.73845449,-0.202125721,4.10884873,4.11381729,-180.991924,-18.9248004,-114.273122,-4.407,-8.862,-30.7,False,False
FSR 1716,-0.1,242.622798,-53.6224648,7.44466366,-30.1369092,-1.49894963,-1.68634468,-3.73645371,-0.190420407,4.09937126,4.1037915,-181.367398,-20.2025366,-114.631743,-4.41872852,-8.87466827,-31.058234,False,False
FSR 1716,-0.2,242.621562,-53.495649,7.45933008,-30.0512344,-1.40542256,-1.66777694,-3.73432212,-0.178679178,4.08982171,4.09372299,-181.739866,-21.4829554,-114.975325,-4.43058972,-8.88703633,-31.4214555,False,False
FSR 1716,-0.3,242.621294,-53.3684521,7.47399942,-29.9648873,-1.31200174,-1.64917126,-3.73205945,-0.166903615,4.08020019,4.08361242,-182.10931,-22.7660325,-115.303032,-4.44259705,-8.89908855,-31.7896141,False,False
FSR 1716,-0.4,242.621993,-53.2408848,7.48867189,-29.8778705,-1.21869917,-1.63052796,-3.72966541,-0.155095386,4.07050679,4.07346046,-182.475709,-24.0517388,-115.61399,-4.45476441,-8.9108086,-32.1626526,False,False
FSR 1716,-0.5,242.623661,-53.1129583,7.50334766,-29.7901868,-1.12552743,-1.61184734,-3.72713976,-0.14325625,4.06074164,4.06326777,-182.839038,-25.3400402,-115.907292,-4.46710601,-8.9221796,-32.5405068,False,False
FSR 1716,-0.6,242.626302,-52.9846842,7.51802688,-29.7018387,-1.03249975,-1.59312973,-3.72448221,-0.131388061,4.05090485,4.05303502,-183.199269,-26.6308973,-116.182005,-4.47963627,-8.9331842,-32.9231054,False,False
FSR 1716,-0.7,242.629917,-52.8560747,7.53270974,-29.612829,-0.93963,-1.57437543,-3.72169252,-0.119492766,4.04099656,4.04276288,-183.556371,-27.924265,-116.43718,-4.49236965,-8.9438048,-33.3103696,False,False
FSR 1716,-0.8,242.634511,-52.7271421,7.54739639,-29.5231602,-0.846932675,-1.55558477,-3.71877043,-0.107572415,4.03101693,4.03245202,-183.91031,-29.2200925,-116.671857,-4.50532047,-8.95402374,-33.7022127,False,False
FSR 1716,-0.9,242.640088,-52.5978995,7.56208697,-29.4328352,-0.754422914,-1.53675807,-3.71571569,-0.0956291523,4.02096611,4.02210311,-184.26105,-30.5183232,-116.885084,-4.51850269,-8.96382355,-34.0985402,False,False
FSR 1716,-1,242.646653,-52.4683603,7.57678162,-29.3418564,-0.662116481,-1.51789567,-3.71252806,-0.0836652193,4.01084429,4.01171681,-184.608551,-31.8188943,-117.075922,-4.53192964,-8.97318724,-34.4992498,False,False
FSR 1716,-1.1,242.654211,-52.3385384,7.59148048,-29.2502267,-0.570029733,-1.4989979,-3.7092073,-0.0716829527,4.00065164,4.00129379,-184.952769,-33.1217374,-117.243468,-4.54561379,-8.98209857,-34.9042313,False,False
FSR 1716,-1.2,242.662768,-52.208448,7.60618366,-29.1579489,-0.478179586,-1.4800651,-3.70575318,-0.0596847787,3.99038837,3.9908347,-185.29366,-34.4267782,-117.386866,-4.55956642,-8.99054242,-35.3133672,False,False
FSR 1716,-1.3,242.67233,-52.0781036,7.62089128,-29.0650256,-0.386583465,-1.4610976,-3.70216549,-0.0476732078,3.98005471,3.98034022,-185.631177,-35.7339368,-117.505324,-4.57379741,-8.99850506,-35.7265328,False,False
FSR 1716,-1.4,242.682905,-51.9475203,7.63560342,-28.9714598,-0.295259244,-1.44209576,-3.69844401,-0.0356508276,3.9696509,3.96981099,-185.965269,-37.0431283,-117.598133,-4.58831489,-9.00597455,-36.1435972,False,False
FSR 1716,-1.5,242.694498,-51.8167132,7.65032018,-28.8772542,-0.204225179,-1.42305993,-3.69458853,-0.0236202939,3.95917719,3.95924765,-186.295887,-38.354263,-117.66468,-4.60312504,-9.01294096,-36.5644236,False,False
FSR 1716,-1.6,242.707118,-51.6856977,7.66504162,-28.7824119,-0.113499818,-1.40399047,-3.69059887,-0.01158432,3.94863385,3.94865084,-186.622976,-39.6672471,-117.704461,-4.61823187,-9.01939669,-36.9888706,False,False
FSR 1716,-1.7,242.720772,-51.5544894,7.6797678,-28.6869356,-0.0231019038,-1.38488774,-3.68647484,0.000454336581,3.93802118,3.9380212,-186.946484,-40.981983,-117.717096,-4.63363706,-9.02533665,-37.4167933,False,False
FSR 1716,-1.8,242.735467,-51.4231039,7.69449877,-28.5908286,0.0669497245,-1.3657521,-3.68221626,0.0124928864,3.92733948,3.92735935,-187.266356,-42.2983705,-117.702331,-4.64933984,-9.03075842,-37.8480443,False,False
FSR 1716,-1.9,242.751209,-51.2915569,7.70923456,-28.4940937,0.156636213,-1.34658395,-3.67782297,0.0245285195,3.9165891,3.9166659,-187.582536,-43.6163072,-117.660048,-4.66533701,-9.03566228,-38.282475,False,False
FSR 1716,-2,242.768007,-51.1598638,7.72397519,-28.3967341,0.245938815,-1.32738364,-3.67329483,0.0365584212,3.90577037,3.90594147,-187.89497,-44.9356895,-117.590263,-4.68162292,-9.04005127,-38.7199368,False,False
FSR 1716,-2.1,242.785865,-51.0280401,7.73872066,-28.298753,0.334838986,-1.30815158,-3.66863167,0.0485797854,3.89488368,3.89518663,-188.203603,-46.2564131,-117.493123,-4.69818964,-9.04393105,-39.1602827,False,False
FSR 1716,-2.2,242.804792,-50.896101,7.75347095,-28.2001536,0.423318476,-1.28888815,-3.66383338,0.0605898272,3.88392942,3.884402,-188.50838,-47.578374,-117.3689,-4.71502711,-9.04730976,-39.603368,False,False
FSR 1716,-2.3,242.824792,-50.7640613,7.76822606,-28.1009391,0.51135942,-1.26959375,-3.65889984,0.0725857953,3.87290799,3.87358813,-188.809249,-48.9014693,-117.217979,-4.73212333,-9.05019779,-40.0490513,False,False
FSR 1716,-2.4,242.84587,-50.6319355,7.78298595,-28.001113,0.598944419,-1.25026878,-3.65383092,0.0845649837,3.86181984,3.86274562,-189.106156,-50.2255975,-117.04085,-4.74946468,-9.05260757,-40.4971962,False,False
FSR 1716,-2.5,242.86803,-50.4997379,7.79775056,-27.9006784,0.686056607,-1.23091366,-3.64862654,0.0965247412,3.85066541,3.85187501,-189.39905,-51.5506596,-116.83809,-4.76703618,-9.05455321,-40.9476708,False,False
FSR 1716,-2.6,242.891277,-50.367482,7.81251984,-27.799639,0.772679707,-1.21152878,-3.6432866,0.10846248,3.83944517,3.84097687,-189.687882,-52.8765592,-116.61035,-4.7848218,-9.05605023,-41.4003496,False,False
FSR 1716,-2.7,242.915613,-50.2351812,7.82729373,-27.697998,0.858798064,-1.19211457,-3.63781102,0.120375679,3.82815963,3.83005176,-189.972604,-54.2032031,-116.358339,-4.80280475,-9.05711523,-41.8551126,False,False
FSR 1716,-2.8,242.941041,-50.102848,7.84207214,-27.5957591,0.944396695,-1.17267146,-3.63219972,0.132261896,3.81680929,3.81910021,-190.253168,-55.5305018,-116.08281,-4.82096778,-9.05776561,-42.3118467,False,False
FSR 1716,-2.9,242.967561,-49.9704948,7.85685499,-27.4929258,1.0294613,-1.15319987,-3.62645265,0.144118764,3.80539469,3.80812277,-190.52953,-56.8583695,-115.784548,-4.83929341,-9.05801926,-42.770445,False,False
FSR 1716,-3,242.995176,-49.8381331,7.87164218,-27.3895016,1.11397829,-1.13370023,-3.62056976,0.155944001,3.79391639,3.79711997,-190.801645,-58.1867245,-115.464351,-4.85776419,-9.05789433,-43.230807,False,False
FSR 1716,-3.1,243.023884,-49.705774,7.8864336,-27.2854901,1.19793475,-1.11417299,-3.61455098,0.167735404,3.78237495,3.78609237,-191.069474,-59.5154892,-115.123028,-4.87636292,-9.05740898,-43.6928386,False,False
FSR 1716,-3.2,243.053685,-49.5734283,7.90122915,-27.1808951,1.28131848,-1.09461857,-3.6083963,0.179490852,3.77077096,3.77504048,-191.332975,-60.8445902,-114.76138,-4.89507277,-9.05658121,-44.1564519,False,False
