cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Gran 5,0,267.228,-24.17,4.91,4.45920113,1.83854477,-3.22896866,0.381547249,0.165805602,3.25143305,3.25565791,-26.1950954,-8.16607582,1.32875804,-5.353,-9.312,-58.87,False,False
Gran 5,-0.1,267.234547,-24.1656072,4.91280659,4.46604462,1.8356821,-3.2262102,0.38235067,0.165643254,3.24878812,3.25300814,-27.7491659,-7.54474403,1.84635312,-5.35355945,-9.26706594,-60.3846691,False,False
Gran 5,-0.2,267.241217,-24.1623235,4.91576519,4.47199407,1.83215253,-3.22329273,0.383090313,0.165427892,3.24597816,3.25019085,-29.304702,-6.91883611,2.3654876,-5.35388434,-9.2217378,-61.8963588,False,False
Gran 5,-0.3,267.248008,-24.1601528,4.9188759,4.47704491,1.82795577,-3.22021609,0.383765707,0.165159361,3.2430029,3.24720578,-30.8617512,-6.28828626,2.88609982,-5.35397118,-9.17602297,-63.4051469,False,False
Gran 5,-0.4,267.254917,-24.1590991,4.92213882,4.48119268,1.82309171,-3.21698014,0.384376374,0.164837514,3.23986209,3.24405268,-32.42036,-5.65302814,3.40812683,-5.35381649,-9.12992889,-64.9111112,False,False
Gran 5,-0.5,267.261941,-24.159166,4.92555408,4.48443304,1.81756047,-3.2135847,0.384921828,0.164462208,3.23655549,3.24073128,-33.9805734,-5.01299491,3.93150418,-5.35341677,-9.08346303,-66.4143294,False,False
Gran 5,-0.6,267.269079,-24.160357,4.92912179,4.4867617,1.81136232,-3.21002961,0.385401579,0.16403331,3.23308281,3.23724133,-35.5424354,-4.36811927,4.4561658,-5.35276853,-9.03663296,-67.914879,False,False
Gran 5,-0.7,267.276328,-24.1626754,4.9328421,4.48817452,1.80449777,-3.2063147,0.385815127,0.163550692,3.2294438,3.23358255,-37.1059885,-3.7183336,4.98204383,-5.35186828,-8.98944627,-69.4128371,False,False
Gran 5,-0.8,267.283685,-24.1661244,4.93671515,4.48866742,1.79696753,-3.2024398,0.386161966,0.163014232,3.22563819,3.22975469,-38.6712736,-3.06356997,5.50906841,-5.35071251,-8.94191064,-70.9082807,False,False
Gran 5,-0.9,267.291147,-24.1707068,4.94074109,4.48823644,1.78877249,-3.19840473,0.386441585,0.162423817,3.2216657,3.22575749,-40.2383303,-2.40376029,6.03716756,-5.34929769,-8.89403381,-72.401286,False,False
Gran 5,-1,267.29871,-24.1764254,4.9449201,4.48687772,1.77991375,-3.19420929,0.386653463,0.161779341,3.21752606,3.22159067,-41.8071963,-1.73883639,6.56626693,-5.34762031,-8.84582359,-73.8919291,False,False
Gran 5,-1.1,267.306373,-24.1832828,4.94925235,4.4845875,1.77039265,-3.18985332,0.386797074,0.161080705,3.21321897,3.21725398,-43.3779079,-1.0687301,7.09628965,-5.3456768,-8.7972879,-75.3802849,False,False
Gran 5,-1.2,267.314132,-24.1912813,4.95373802,4.48136214,1.7602107,-3.18533661,0.386871885,0.16032782,3.20874417,3.21274714,-44.9504991,-0.39337341,7.62715612,-5.34346361,-8.74843472,-76.8664279,False,False
Gran 5,-1.3,267.321983,-24.200423,4.9583773,4.47719807,1.74936963,-3.18065897,0.386877354,0.159520602,3.20410137,3.20806988,-46.5250021,0.287301418,8.15878379,-5.34097714,-8.69927213,-78.3504315,False,False
Gran 5,-1.4,267.329922,-24.2107099,4.9631704,4.47209186,1.73787142,-3.1758202,0.386812936,0.158658979,3.19929027,3.20322195,-48.1014472,0.973361701,8.69108693,-5.33821378,-8.64980831,-79.8323683,False,False
