cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
HP 1,0,262.771667,-29.981667,7,-2.57477942,2.11502988,-1.13316619,-0.314255434,0.26125334,1.17593456,1.20460591,50.7608489,10.1909444,-242.83306,2.5,-10.049,39.76,False,False
HP 1,-0.1,262.568441,-29.8785309,6.9958143,-2.58523514,2.31886081,-1.13830074,-0.315298613,0.285981198,1.1811612,1.21528887,49.6517828,10.2077303,-240.724303,2.43264241,-10.0267885,37.8773071,False,False
HP 1,-0.2,262.367189,-29.775951,6.9918209,-2.59567427,2.52108891,-1.14332256,-0.316343025,0.310488488,1.18627964,1.22623916,48.5564405,10.2150424,-238.522032,2.36269454,-10.0025139,36.0343003,False,False
HP 1,-0.3,262.16799,-29.6739784,6.98801571,-2.60608885,2.72162531,-1.14823306,-0.317387699,0.334766348,1.19129095,1.23743389,47.4750003,10.2128508,-236.239715,2.29051895,-9.9764008,34.2317604,False,False
HP 1,-0.4,261.970912,-29.5726587,6.9843946,-2.61647087,2.92039222,-1.15303369,-0.318431664,0.358807216,1.19619622,1.24885068,46.4075378,10.2011938,-233.889341,2.21644036,-9.94865143,32.4701675,False,False
HP 1,-0.5,261.776012,-29.4720322,6.98095335,-2.6268124,3.11732177,-1.15772585,-0.319473957,0.382604686,1.20099657,1.26046781,45.3540429,10.1801689,-231.481521,2.14074825,-9.91944715,30.7497475,False,False
HP 1,-0.6,261.583341,-29.3721346,6.97768777,-2.63710558,3.31235496,-1.16231099,-0.320513626,0.406153372,1.20569308,1.27226427,44.3144342,10.1499229,-229.025615,2.0636999,-9.88895002,29.0705142,False,False
HP 1,-0.7,261.392939,-29.2729976,6.97459366,-2.64734271,3.50544065,-1.1667905,-0.321549738,0.429448785,1.21028687,1.28421983,43.2885729,10.1106439,-226.529853,1.98552341,-9.85730449,27.4323058,False,False
HP 1,-0.8,261.20484,-29.1746493,6.97166684,-2.65751622,3.69653469,-1.1711658,-0.322581381,0.452487227,1.21477902,1.29631507,42.2762736,10.0625523,-224.001452,1.90642064,-9.82463921,25.8348157,False,False
HP 1,-0.9,261.019073,-29.0771143,6.96890315,-2.66761875,3.88559913,-1.17543825,-0.323607665,0.475265691,1.21917062,1.30853142,41.2773144,10.0058945,-221.446734,1.82657,-9.79106861,24.2776202,False,False
HP 1,-1,260.83566,-28.9804145,6.96629851,-2.67764312,4.07260151,-1.17960921,-0.324627728,0.497781773,1.22346273,1.32085114,40.2914451,9.94093547,-218.871219,1.74612899,-9.7566945,22.7602009,False,False
HP 1,-1.1,260.65462,-28.8845695,6.96384886,-2.68758239,4.25751421,-1.18368,-0.325640735,0.520033598,1.22765639,1.33325735,39.3183941,9.86795388,-216.279727,1.66523654,-9.72160745,21.2819641,False,False
HP 1,-1.2,260.475966,-28.7895962,6.96155023,-2.69742983,4.44031392,-1.18765191,-0.32664588,0.542019753,1.23175265,1.345734,38.3578743,9.78723689,-213.676455,1.58401512,-9.68588804,19.8422576,False,False
HP 1,-1.3,260.299708,-28.6955099,6.95939869,-2.70717894,4.62098114,-1.19152623,-0.327642386,0.563739223,1.23575252,1.35826588,37.4095879,9.69907623,-211.065055,1.50257259,-9.6496081,18.4403835,False,False
HP 1,-1.4,260.125854,-28.6023239,6.9573904,-2.71682348,4.79949971,-1.19530417,-0.328629509,0.585191344,1.23965697,1.37083855,36.4732305,9.6037649,-208.4487,1.42100392,-9.61283164,17.0756106,False,False
HP 1,-1.5,259.954407,-28.5100499,6.95552158,-2.72635742,4.97585646,-1.19898695,-0.32960653,0.606375753,1.24346699,1.38343837,35.5484941,9.50159438,-205.830142,1.33939264,-9.5756158,15.7471833,False,False
HP 1,-1.6,259.785369,-28.4186984,6.95378853,-2.73577499,5.15004085,-1.20257573,-0.330572764,0.627292349,1.24718352,1.39605244,34.6350698,9.39285242,-203.211763,1.2578122,-9.53801166,14.4543294,False,False
HP 1,-1.7,259.618738,-28.3282785,6.95218765,-2.74507063,5.32204465,-1.20607166,-0.331527553,0.647941258,1.25080749,1.40866861,33.7326502,9.27782134,-200.595621,1.1763271,-9.50006497,13.1962672,False,False
HP 1,-1.8,259.454514,-28.2387982,6.95071537,-2.75423901,5.49186172,-1.20947585,-0.332470267,0.668322802,1.25433979,1.42127537,32.8409306,9.1567766,-197.983489,1.09499394,-9.46181672,11.97221,False,False
HP 1,-1.9,259.292691,-28.1502647,6.94936824,-2.76327505,5.65948772,-1.21278938,-0.333400306,0.688437472,1.25778132,1.43386192,31.9596108,9.02998585,-195.376894,1.01386234,-9.42330373,10.7813711,False,False
HP 1,-2,259.133264,-28.062684,6.94814287,-2.77217387,5.82491993,-1.21601329,-0.334317095,0.708285901,1.26113292,1.44641805,31.0883957,8.89770815,-192.777141,0.932975705,-9.38455914,9.62296711,False,False
HP 1,-2.1,258.976225,-27.9760615,6.94703595,-2.78093079,5.98815707,-1.21914861,-0.335220086,0.727868849,1.26439545,1.45893417,30.2269965,8.76019343,-190.185348,0.852371975,-9.34561278,8.49622062,False,False
HP 1,-2.2,258.821567,-27.8904019,6.94604425,-2.78954134,6.1491991,-1.22219632,-0.336108756,0.747187179,1.2675697,1.47140125,29.3751307,8.61768222,-187.60246,0.772084213,-9.30649164,7.40036271,False,False
HP 1,-2.3,258.669281,-27.8057092,6.94516461,-2.79800127,6.30804712,-1.22515739,-0.336982606,0.766241843,1.27065648,1.48381079,28.5325232,8.47040541,-185.029279,0.692141172,-9.26722007,6.33463465,False,False
HP 1,-2.4,258.519357,-27.7219868,6.94439396,-2.80630648,6.46470321,-1.22803274,-0.337841159,0.785033871,1.27365657,1.49615482,27.6989062,8.31858427,-182.466476,0.612567773,-9.22782019,5.29828929,False,False
HP 1,-2.5,258.371784,-27.6392378,6.94372928,-2.81445308,6.61917031,-1.23082329,-0.338683961,0.803564353,1.27657071,1.50842582,26.8740192,8.16243043,-179.91461,0.533385534,-9.18831206,4.29059215,False,False
HP 1,-2.6,258.22655,-27.5574645,6.94316764,-2.82243735,6.77145217,-1.23352991,-0.339510581,0.821834432,1.27939965,1.52061675,26.0576094,8.00214605,-177.374139,0.454612948,-9.14871391,3.3108222,False,False
HP 1,-2.7,258.083645,-27.4766691,6.94270618,-2.83025574,6.92155317,-1.23615345,-0.340320606,0.839845293,1.28214409,1.53272098,25.2494316,7.83792402,-174.845435,0.376265812,-9.10904237,2.35827245,False,False
HP 1,-2.8,257.943056,-27.3968532,6.94234212,-2.83790484,7.06947834,-1.23869476,-0.341113641,0.857598154,1.28480474,1.54473228,24.4492481,7.66994813,-172.328795,0.298357528,-9.06931261,1.43225032,False,False
HP 1,-2.9,257.804771,-27.3180181,6.94207271,-2.84538141,7.21523319,-1.24115463,-0.341889313,0.875094263,1.28738227,1.55664481,23.6568285,7.4983934,-169.824445,0.22089936,-9.02953851,0.532077904,False,False
HP 1,-3,257.668776,-27.2401648,6.94189531,-2.85268237,7.35882373,-1.24353384,-0.342647265,0.892334884,1.28987734,1.56845309,22.8719499,7.32342634,-167.332557,0.143900665,-8.98973278,-0.342907975,False,False
HP 1,-3.1,257.535059,-27.1632942,6.94180733,-2.85980475,7.50025637,-1.24583316,-0.343387154,0.9093213,1.2922906,1.58015196,22.0943964,7.14520526,-164.853247,0.0673690997,-8.94990706,-1.1933557,False,False
HP 1,-3.2,257.403606,-27.0874065,6.94180623,-2.86674573,7.63953785,-1.24805333,-0.344108657,0.9260548,1.29462267,1.59173659,21.323959,6.96388061,-162.38659,-0.00868919625,-8.91007206,-2.01989897,False,False
HP 1,-3.3,257.274404,-27.0125022,6.94188956,-2.87350262,7.77667523,-1.25019505,-0.344811462,0.94253668,1.29687417,1.60320242,20.5604356,6.77959524,-159.932618,-0.0842694419,-8.87023765,-2.82315691,False,False
HP 1,-3.4,257.147439,-26.9385812,6.94205491,-2.88007286,7.91167585,-1.25225904,-0.345495275,0.958768239,1.29904568,1.6145452,19.8036306,6.59248479,-157.491331,-0.159368068,-8.83041288,-3.60373432,False,False
HP 1,-3.5,257.022697,-26.8656434,6.94229994,-2.88645397,8.04454726,-1.25424596,-0.346159813,0.974750772,1.30113779,1.62576093,19.0533548,6.40267796,-155.062696,-0.233982591,-8.79060614,-4.36222185,False,False
HP 1,-3.6,256.900165,-26.7936883,6.94262237,-2.89264363,8.17529721,-1.25615647,-0.346804807,0.99048557,1.30315105,1.63684584,18.3094249,6.21029687,-152.646657,-0.308111497,-8.75082517,-5.09919629,False,False
HP 1,-3.7,256.779829,-26.7227156,6.94301996,-2.8986396,8.30393363,-1.25799122,-0.347429999,1.00597392,1.30508602,1.64779642,17.5716638,6.0154573,-150.243133,-0.38175414,-8.71107711,-5.81522088,False,False
HP 1,-3.8,256.661676,-26.6527244,6.94349055,-2.90443973,8.43046455,-1.25975083,-0.348035143,1.02121709,1.30694323,1.65860934,16.8399,5.81826904,-147.852022,-0.454910651,-8.67136858,-6.51084561,False,False
HP 1,-3.9,256.545691,-26.5837141,6.94403202,-2.91004199,8.55489816,-1.26143589,-0.348620005,1.03621635,1.3087232,1.66928151,16.1139675,5.61883616,-145.473207,-0.527581856,-8.63170573,-7.18660753,False,False
HP 1,-4,256.431861,-26.5156837,6.94464231,-2.91544443,8.6772427,-1.26304701,-0.34918436,1.05097295,1.31042645,1.67980999,15.3937054,5.41725728,-143.106553,-0.599769204,-8.59209423,-7.84303113,False,False
HP 1,-4.1,256.320172,-26.4486322,6.9453194,-2.92064519,8.79750651,-1.26458475,-0.349727994,1.06548812,1.31205345,1.69019206,14.6789583,5.21362585,-140.751915,-0.671474702,-8.55253937,-8.48062861,False,False
HP 1,-4.2,256.210612,-26.3825583,6.94606134,-2.92564249,8.91569797,-1.26604966,-0.350250701,1.07976309,1.3136047,1.70042513,13.9695754,5.00803038,-138.409135,-0.742700853,-8.51304606,-9.09990029,False,False
HP 1,-4.3,256.103165,-26.3174609,6.94686622,-2.93043464,9.0318255,-1.2674423,-0.350752285,1.09379906,1.31508066,1.7105068,13.2654105,4.80055471,-136.078046,-0.813450606,-8.47361885,-9.70133489,False,False
HP 1,-4.4,255.99782,-26.2533387,6.94773218,-2.93502003,9.14589754,-1.26876318,-0.351232557,1.10759722,1.31648179,1.7204348,12.5663221,4.59127824,-133.758473,-0.883727309,-8.43426198,-10.2854099,False,False
HP 1,-4.5,255.894563,-26.1901901,6.94865739,-2.93939709,9.25792254,-1.27001281,-0.351691337,1.12115873,1.31780854,1.73020699,11.8721731,4.38027613,-131.450232,-0.953534665,-8.39497938,-10.8525921,False,False
HP 1,-4.6,255.79338,-26.1280138,6.9496401,-2.94356436,9.36790894,-1.2711917,-0.352128453,1.13448475,1.31906133,1.73982138,11.1828302,4.16761953,-129.153137,-1.02287669,-8.35577471,-11.4033373,False,False
HP 1,-4.7,255.69426,-26.0668081,6.95067858,-2.94752042,9.47586519,-1.27230033,-0.352543738,1.1475764,1.32024059,1.74927609,10.4981645,3.95337577,-126.866993,-1.0917577,-8.31665138,-11.9380915,False,False
HP 1,-4.8,255.597189,-26.0065714,6.95177116,-2.95126394,9.58179967,-1.27333918,-0.352937034,1.1604348,1.32134674,1.75856934,9.81805072,3.73760856,-124.591604,-1.16018223,-8.27761257,-12.4572907,False,False
HP 1,-4.9,255.502154,-25.9473021,6.9529162,-2.95479361,9.68572077,-1.27430869,-0.353308188,1.17306103,1.32238017,1.76769949,9.14236717,3.52037815,-122.326769,-1.22815508,-8.23866121,-12.961361,False,False
HP 1,-5,255.409144,-25.8889983,6.9541121,-2.95810821,9.78763682,-1.27520933,-0.353657053,1.18545617,1.32334128,1.77666498,8.47099579,3.30174153,-120.072286,-1.2956812,-8.19980004,-13.4507196,False,False
HP 1,-5.1,255.318145,-25.8316584,6.95535732,-2.96120657,9.8875561,-1.27604151,-0.353983488,1.19762125,1.32423044,1.78546434,7.80382188,3.08175259,-117.82795,-1.36276575,-8.1610316,-13.9257745,False,False
HP 1,-5.2,255.229146,-25.7752804,6.95665036,-2.96408757,9.98548683,-1.27680568,-0.354287357,1.20955732,1.32504803,1.7940962,7.14073396,2.86046222,-115.593554,-1.42941404,-8.12235827,-14.3869251,False,False
HP 1,-5.3,255.142135,-25.7198626,6.95798973,-2.96675014,10.0814372,-1.27750223,-0.354568531,1.22126537,1.3257944,1.80255927,6.48162364,2.63791855,-113.368891,-1.4956315,-8.08378222,-14.8345623,False,False
HP 1,-5.4,255.0571,-25.6654029,6.95937401,-2.96919325,10.1754152,-1.27813158,-0.354826882,1.23274639,1.32646992,1.81085232,5.82638554,2.414167,-111.153753,-1.56142369,-8.04530549,-15.2690688,False,False
