cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
IC 1257,0,261.785431,-7.093056,26.59,16.5277878,15.1449683,16.5017161,7.30157354,6.90476982,18.0449331,19.3208555,-54.0256858,-11.753332,-12.7867251,-1.029,-1.49,-137.97,False,False
IC 1257,-0.1,261.785336,-7.09405137,26.595775,16.526851,15.1445418,16.5072325,7.30277165,6.90607339,18.0504626,19.3264857,-53.852537,-11.6767431,-12.7057324,-1.0288827,-1.48941025,-137.764181,False,False
IC 1257,-0.2,261.785245,-7.09505421,26.6015293,16.5259091,15.144109,16.5127312,7.30396193,6.90736869,18.0559728,19.3320949,-53.6794373,-11.6001846,-12.6247771,-1.02876609,-1.4888222,-137.558408,False,False
IC 1257,-0.3,261.785156,-7.09606453,26.6072629,16.5249621,15.1436698,16.5182122,7.30514439,6.9086557,18.0614637,19.3376833,-53.5063867,-11.5236564,-12.543859,-1.02865017,-1.48823584,-137.352683,False,False
IC 1257,-0.4,261.78507,-7.09708232,26.6129758,16.52401,15.1432244,16.5236756,7.30631901,6.90993444,18.0669353,19.3432506,-53.3333848,-11.4471583,-12.4629782,-1.02853495,-1.48765118,-137.147003,False,False
IC 1257,-0.5,261.784987,-7.09810757,26.6186681,16.5230527,15.1427726,16.5291212,7.30748582,6.91120491,18.0723877,19.3487971,-53.1604315,-11.3706904,-12.3821346,-1.02842041,-1.48706819,-136.94137,False,False
IC 1257,-0.6,261.784907,-7.09914026,26.6243397,16.5220904,15.1423145,16.5345491,7.3086448,6.91246711,18.0778208,19.3543227,-52.9875267,-11.2942523,-12.3013278,-1.02830657,-1.48648689,-136.735783,False,False
IC 1257,-0.7,261.78483,-7.1001804,26.6299907,16.521123,15.1418501,16.5399594,7.30979597,6.91372105,18.0832346,19.3598273,-52.81467,-11.2178442,-12.220558,-1.02819343,-1.48590727,-136.530242,False,False
IC 1257,-0.8,261.784756,-7.10122797,26.635621,16.5201504,15.1413794,16.545352,7.31093933,6.91496674,18.0886292,19.365311,-52.6418613,-11.1414659,-12.139825,-1.02808097,-1.48532932,-136.324747,False,False
IC 1257,-0.9,261.784684,-7.10228297,26.6412307,16.5191728,15.1409024,16.5507269,7.31207487,6.91620416,18.0940045,19.3707738,-52.4691005,-11.0651172,-12.0591287,-1.0279692,-1.48475303,-136.119297,False,False
