cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Lynga 7,0,242.765213,-55.317776,7.9,-31.2309122,-2.79733959,-1.3758668,-4.09118339,-0.382020883,4.31633999,4.33321254,-124.180807,-5.44912536,-88.4606024,-3.836,-7.071,17.86,False,False
Lynga 7,-0.1,242.748099,-55.2317683,7.91008303,-31.1793694,-2.72775602,-1.36315349,-4.09056576,-0.372950145,4.31171841,4.32781787,-124.438445,-6.62936787,-88.9245336,-3.84696928,-7.0912099,17.9002451,False,False
Lynga 7,-0.2,242.731794,-55.1451611,7.92014185,-31.1271171,-2.65801947,-1.35041392,-4.08982734,-0.363832209,4.30700655,4.3223465,-124.694299,-7.81134647,-89.3835866,-3.85795583,-7.11136456,17.9356534,False,False
Lynga 7,-0.3,242.716295,-55.0579583,7.93017665,-31.0741572,-2.58813343,-1.33764827,-4.08896795,-0.354667581,4.30220429,4.31679868,-124.94837,-8.99509309,-89.8375937,-3.86896263,-7.1314617,17.9662157,False,False
Lynga 7,-0.4,242.701602,-54.9701641,7.94018763,-31.0204912,-2.51810151,-1.32485673,-4.0879874,-0.345456787,4.29731153,4.31117464,-125.200655,-10.1806389,-90.2863738,-3.87999286,-7.15149878,17.9919229,False,False
Lynga 7,-0.5,242.68771,-54.8817827,7.95017496,-30.9661206,-2.44792743,-1.31203949,-4.08688551,-0.336200371,4.29232813,4.3054746,-125.451155,-11.3680142,-90.7297317,-3.8910499,-7.17147296,18.0127668,False,False
Lynga 7,-0.6,242.674619,-54.7928181,7.96013885,-30.9110472,-2.37761504,-1.29919671,-4.0856621,-0.326898899,4.287254,4.2996988,-125.699867,-12.5572485,-91.1674573,-3.90213737,-7.19138113,18.0287398,False,False
Lynga 7,-0.7,242.662326,-54.7032746,7.9700795,-30.8552722,-2.30716836,-1.28632859,-4.08431696,-0.317552958,4.28208901,4.29384748,-125.946787,-13.74837,-91.5993246,-3.91325911,-7.21121984,18.0398348,False,False
Lynga 7,-0.8,242.650829,-54.6131565,7.9799971,-30.7987973,-2.23659153,-1.27343531,-4.08284991,-0.308163158,4.27683304,4.28792087,-126.191913,-14.9414061,-92.0250906,-3.92441921,-7.23098532,18.0460457,False,False
Lynga 7,-0.9,242.640126,-54.5224682,7.98989183,-30.7416237,-2.16588888,-1.26051705,-4.08126074,-0.298730138,4.27148598,4.28191922,-126.43524,-16.1363828,-92.4444947,-3.93562202,-7.25067345,18.0473671,False,False
Lynga 7,-1,242.630217,-54.4312142,7.99976391,-30.6837529,-2.09506491,-1.247574,-4.07954926,-0.289254563,4.26604771,4.27584276,-126.676761,-17.3333249,-92.8572576,-3.94687217,-7.27027974,18.0437942,False,False
Lynga 7,-1.1,242.6211,-54.3393991,8.00961353,-30.6251861,-2.0241243,-1.23460634,-4.07771527,-0.279737126,4.26051812,4.26969174,-126.916472,-18.5322557,-93.2630799,-3.95817456,-7.28979932,18.0353236,False,False
Lynga 7,-1.2,242.612774,-54.2470275,8.01944089,-30.5659247,-1.95307196,-1.22161426,-4.07575856,-0.270178553,4.25489709,4.2634664,-127.154365,-19.7331971,-93.661642,-3.96953439,-7.30922692,18.0219524,False,False
Lynga 7,-1.3,242.605239,-54.1541043,8.02924618,-30.5059698,-1.881913,-1.20859794,-4.07367893,-0.260579604,4.24918451,4.25716698,-127.390431,-20.9361692,-94.052602,-3.9809572,-7.32855685,18.0036792,False,False
Lynga 7,-1.4,242.598493,-54.0606344,8.03902961,-30.4453228,-1.81065278,-1.19555757,-4.07147616,-0.250941076,4.24338026,4.25079374,-127.624663,-22.1411904,-94.4355959,-3.99244881,-7.34778299,17.9805036,False,False
Lynga 7,-1.5,242.592537,-53.9666228,8.04879137,-30.3839847,-1.7392969,-1.18249334,-4.06915004,-0.241263803,4.23748423,4.24434692,-127.857051,-23.3482772,-94.8102359,-4.00401538,-7.36689876,17.9524266,False,False
Lynga 7,-1.6,242.587371,-53.872075,8.05853166,-30.3219567,-1.66785123,-1.16940544,-4.06670037,-0.231548659,4.23149631,4.23782678,-128.087584,-24.557444,-95.1761104,-4.01566344,-7.38589715,17.9194505,False,False
Lynga 7,-1.7,242.582994,-53.7769962,8.06825068,-30.25924,-1.59632192,-1.15629406,-4.06412693,-0.221796564,4.22541639,4.23123356,-128.316251,-25.7687031,-95.5327826,-4.02739982,-7.40477064,17.8815792,False,False
Lynga 7,-1.8,242.579409,-53.6813922,8.07794863,-30.1958355,-1.52471543,-1.14315939,-4.06142951,-0.212008481,4.21924437,4.22456751,-128.543039,-26.9820642,-95.8797908,-4.03923173,-7.42351128,17.8388184,False,False
Lynga 7,-1.9,242.576615,-53.5852687,8.0876257,-30.1317444,-1.45303852,-1.13000162,-4.05860788,-0.202185424,4.21298014,4.21782889,-128.767936,-28.1975349,-96.216648,-4.0511667,-7.44211062,17.7911755,False,False
Lynga 7,-2,242.574615,-53.4886318,8.09728209,-30.0669678,-1.3812983,-1.11682095,-4.05566184,-0.192328457,4.20662359,4.21101796,-128.990926,-29.4151198,-96.542842,-4.0632126,-7.46055973,17.7386598,False,False
Lynga 7,-2.1,242.573409,-53.3914877,8.10691799,-30.0015065,-1.30950223,-1.10361757,-4.05259117,-0.182438698,4.20017463,4.20413497,-129.211995,-30.6348209,-96.8578359,-4.07537761,-7.47884926,17.6812829,False,False
Lynga 7,-2.2,242.573,-53.2938429,8.11653361,-29.9353616,-1.23765812,-1.09039168,-4.04939565,-0.17251732,4.19363317,4.19718017,-129.431127,-31.8566373,-97.1610692,-4.08767024,-7.49696938,17.6190588,False,False
Lynga 7,-2.3,242.57339,-53.1957043,8.12612913,-29.8685341,-1.16577416,-1.07714347,-4.04607507,-0.162565557,4.18699911,4.19015382,-129.648304,-33.0805649,-97.4519589,-4.10009923,-7.51490988,17.5520036,False,False
Lynga 7,-2.4,242.574582,-53.0970787,8.13570474,-29.801025,-1.09385896,-1.06387316,-4.0426292,-0.152584701,4.18027236,4.18305619,-129.863509,-34.3065963,-97.7299019,-4.11267358,-7.53266019,17.4801366,False,False
Lynga 7,-2.5,242.57658,-52.9979736,8.14526063,-29.7328352,-1.0219215,-1.05058094,-4.03905784,-0.142576108,4.17345283,4.17588751,-130.076723,-35.5347208,-97.9942773,-4.12540245,-7.55020938,17.4034793,False,False
Lynga 7,-2.6,242.579386,-52.8983965,8.154797,-29.6639656,-0.949971198,-1.03726702,-4.03536077,-0.132541197,4.16654046,4.16864805,-130.287925,-36.7649244,-98.2444501,-4.13829513,-7.56754633,17.3220565,False,False
Lynga 7,-2.7,242.583006,-52.7983552,8.16431401,-29.5944172,-0.878017884,-1.0239316,-4.03153778,-0.122481455,4.15953517,4.16133807,-130.497095,-37.9971894,-98.4797746,-4.15136097,-7.5846597,17.2358962,False,False
Lynga 7,-2.8,242.587442,-52.697858,8.17381187,-29.5241908,-0.806071814,-1.0105749,-4.02758866,-0.112398433,4.15243688,4.15395781,-130.704211,-39.2314943,-98.6996001,-4.16460925,-7.6015381,17.1450294,False,False
Lynga 7,-2.9,242.592701,-52.5969132,8.18329073,-29.4532875,-0.734143668,-0.997197118,-4.02351321,-0.102293749,4.14524555,4.14650752,-130.909251,-40.4678143,-98.9032761,-4.17804916,-7.61817016,17.0494904,False,False
Lynga 7,-3,242.598786,-52.4955297,8.19275078,-29.3817082,-0.662244547,-0.983798474,-4.01931121,-0.0921690887,4.1379611,4.13898746,-131.112191,-41.7061205,-99.0901584,-4.19168961,-7.63454468,16.949317,False,False
