cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Mercer 5,0,275.8325,-13.668611,5.5,17.5938736,-0.112129901,-2.87930011,1.66246578,-0.00338002521,3.32477993,3.32478165,254.105285,98.6883292,10.8764824,-3.967,-7.141,185.5,False,False
Mercer 5,-0.1,275.834989,-13.6915804,5.47222745,17.5747183,-0.125034231,-2.90522616,1.6523263,-0.00449180288,3.34223297,3.34223599,252.900166,99.5965805,10.8647289,-3.96456815,-7.13284487,184.695701,False,False
Mercer 5,-0.2,275.836849,-13.7159406,5.4445455,17.5540478,-0.138050213,-2.93102886,1.6420943,-0.00560221365,3.35967318,3.35967785,251.693015,100.497604,10.8497593,-3.96198961,-7.12460407,183.892012,False,False
Mercer 5,-0.3,275.83807,-13.7417041,5.4169547,17.5318466,-0.151175433,-2.95670799,1.63177052,-0.00671093106,3.37709893,3.3771056,250.483872,101.391482,10.8316219,-3.95926213,-7.11627368,183.088957,False,False
Mercer 5,-0.4,275.838643,-13.7688835,5.38945563,17.508099,-0.164407461,-2.98226337,1.62135568,-0.00781763359,3.39450866,3.39451766,249.272773,102.278296,10.8103648,-3.95638347,-7.10784969,182.286559,False,False
Mercer 5,-0.5,275.838556,-13.7974917,5.36204887,17.4827892,-0.177743856,-3.00769479,1.6108505,-0.00892200467,3.41190083,3.4119125,248.05975,103.158129,10.7860364,-3.95335133,-7.09932802,181.484837,False,False
Mercer 5,-0.6,275.8378,-13.827542,5.33473499,17.455901,-0.191182161,-3.03300205,1.6002557,-0.0100237327,3.42927394,3.42928859,246.844835,104.031061,10.758685,-3.95016343,-7.09070453,180.683809,False,False
Mercer 5,-0.7,275.836364,-13.8590474,5.30751458,17.4274181,-0.204719907,-3.05818497,1.58957197,-0.0111225109,3.44662652,3.44664446,245.628055,104.897173,10.7283588,-3.94681745,-7.08197498,179.883488,False,False
Mercer 5,-0.8,275.834239,-13.8920216,5.28038823,17.3973239,-0.218354609,-3.08324335,1.57880001,-0.0122180375,3.46395713,3.46397868,244.409435,105.756544,10.6951059,-3.94331103,-7.0731351,179.083885,False,False
Mercer 5,-0.9,275.831412,-13.9264782,5.25335653,17.3656014,-0.232083768,-3.10817701,1.5679405,-0.0133100157,3.48126438,3.48128983,243.188999,106.609252,10.6589745,-3.9396418,-7.06418051,178.285009,False,False
Mercer 5,-1,275.827873,-13.9624311,5.22642009,17.3322338,-0.245904871,-3.13298576,1.55699412,-0.0143981536,3.4985469,3.49857653,241.966764,107.455376,10.6200122,-3.93580739,-7.0551068,177.486865,False,False
Mercer 5,-1.1,275.823612,-13.9998943,5.19957952,17.2972036,-0.259815389,-3.15766942,1.54596153,-0.015482164,3.51580335,3.51583744,240.74275,108.294992,10.5782668,-3.93180537,-7.04590949,176.689455,False,False
Mercer 5,-1.2,275.818616,-14.0388821,5.17283543,17.2604933,-0.273812777,-3.1822278,1.53484341,-0.0165617647,3.53303242,3.53307124,239.516969,109.128177,10.5337857,-3.92763329,-7.03658401,175.892779,False,False
Mercer 5,-1.3,275.812875,-14.079409,5.14618846,17.2220852,-0.287894476,-3.20666074,1.52364041,-0.0176366785,3.55023284,3.55027664,238.289434,109.955006,10.4866158,-3.92328869,-7.02712576,175.096834,False,False
Mercer 5,-1.4,275.806377,-14.1214897,5.11963924,17.1819611,-0.302057908,-3.23096805,1.51235316,-0.0187066326,3.56740334,3.56745239,237.060155,110.775553,10.4368041,-3.91876908,-7.01753007,174.301612,False,False
Mercer 5,-1.5,275.79911,-14.165139,5.0931884,17.1401029,-0.316300478,-3.25514954,1.50098232,-0.0197713593,3.58454271,3.58459724,235.829137,111.58989,10.384397,-3.91407194,-7.00779222,173.507104,False,False
Mercer 5,-1.6,275.791063,-14.2103719,5.06683661,17.0964919,-0.330619575,-3.27920505,1.4895285,-0.0208305955,3.60164975,3.60170999,234.596386,112.398091,10.3294404,-3.90919472,-6.99790745,172.713297,False,False
Mercer 5,-1.7,275.782223,-14.2572038,5.04058452,17.0511095,-0.345012569,-3.3031344,1.47799235,-0.0218840829,3.61872329,3.61878946,233.361901,113.200225,10.2719802,-3.90413486,-6.98787093,171.920175,False,False
Mercer 5,-1.8,275.772577,-14.3056501,5.01443281,17.0039366,-0.359476809,-3.3269374,1.46637446,-0.0229315676,3.63576217,3.63583449,232.125682,113.996361,10.2120616,-3.89888976,-6.97767779,171.12772,False,False
Mercer 5,-1.9,275.762115,-14.3557264,4.98838216,16.954954,-0.374009626,-3.35061389,1.45467546,-0.0239728005,3.65276527,3.65284394,230.887724,114.786569,10.1497292,-3.8934568,-6.96732314,170.335909,False,False
Mercer 5,-2,275.750822,-14.4074486,4.96243326,16.9041422,-0.388608329,-3.37416368,1.44289594,-0.0250075371,3.66973149,3.6698167,229.648023,115.570914,10.0850275,-3.88783334,-6.95680203,169.544715,False,False
Mercer 5,-2.1,275.738686,-14.4608328,4.93658681,16.8514814,-0.403270206,-3.3975866,1.4310365,-0.0260355373,3.68665975,3.68675168,228.406567,116.349462,10.0180003,-3.88201672,-6.94610948,168.754111,False,False
Mercer 5,-2.2,275.725694,-14.5158951,4.91084355,16.7969517,-0.417992522,-3.42088246,1.41909773,-0.0270565654,3.70354899,3.70364782,227.163347,117.122276,9.94869068,-3.87600425,-6.93524048,167.964064,False,False
Mercer 5,-2.3,275.711833,-14.572652,4.88520419,16.7405329,-0.43277252,-3.44405108,1.40708022,-0.0280703903,3.72039817,3.72050407,225.918347,117.889419,9.8771415,-3.86979321,-6.92419003,167.174538,False,False
