cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
NGC 2808,0,138.012909,-64.863495,10.06,-77.8069791,-11.2525928,-6.0431288,-9.64403547,-1.94759658,11.3809853,11.5464262,58.3066495,142.666378,30.7299817,1.004,0.269,103.57,False,False
NGC 2808,-0.1,137.927678,-64.828084,10.0733595,-77.8585311,-11.2557587,-6.04908195,-9.65860991,-1.95073417,11.3964967,11.5622447,58.1123184,142.349154,30.6282241,1.00006134,0.269271173,103.831678,False,False
NGC 2808,-0.2,137.843178,-64.7928105,10.0866978,-77.9097959,-11.2588796,-6.05501525,-9.67315193,-1.95386137,11.4119708,11.5780245,57.9184054,142.032455,30.5267202,0.996144345,0.269555844,104.093402,False,False
NGC 2808,-0.3,137.7594,-64.7576742,10.1000148,-77.9607755,-11.2619562,-6.06092874,-9.68766159,-1.95697819,11.4274076,11.5937659,57.7249075,141.716279,30.4254683,0.992248827,0.269853754,104.355169,False,False
NGC 2808,-0.4,137.676339,-64.7226752,10.1133105,-78.0114715,-11.2649886,-6.06682246,-9.70213894,-1.96008467,11.4428071,11.6094688,57.531822,141.400623,30.3244669,0.988374603,0.270164652,104.616977,False,False
NGC 2808,-0.5,137.593985,-64.6878134,10.1265849,-78.0618858,-11.2679774,-6.07269645,-9.71658404,-1.96318084,11.4581695,11.6251334,57.3391462,141.085485,30.2237142,0.984521488,0.270488289,104.878822,False,False
NGC 2808,-0.6,137.512333,-64.6530885,10.1398378,-78.11202,-11.2709229,-6.07855076,-9.73099693,-1.96626671,11.4734947,11.6407597,57.1468773,140.77086,30.1232086,0.9806893,0.270824424,105.140702,False,False
NGC 2808,-0.7,137.431374,-64.6185006,10.1530693,-78.1618758,-11.2738255,-6.08438543,-9.74537767,-1.96934232,11.4887829,11.6563477,56.9550127,140.456746,30.0229486,0.976877857,0.271172818,105.402614,False,False
NGC 2808,-0.8,137.351101,-64.5840494,10.1662793,-78.2114551,-11.2766856,-6.09020049,-9.75972631,-1.97240769,11.5040341,11.6718975,56.7635496,140.143141,29.9229324,0.973086981,0.271533239,105.664556,False,False
NGC 2808,-0.9,137.271508,-64.5497349,10.1794678,-78.2607594,-11.2795036,-6.09599599,-9.7740429,-1.97546284,11.5192483,11.6874093,56.5724854,139.830041,29.8231586,0.969316494,0.27190546,105.926525,False,False
NGC 2808,-1,137.192588,-64.5155569,10.1926346,-78.3097905,-11.2822798,-6.10177198,-9.7883275,-1.9785078,11.5344257,11.702883,56.3818175,139.517443,29.7236254,0.965566217,0.272289256,106.188519,False,False
NGC 2808,-1.1,137.114333,-64.4815151,10.2057798,-78.35855,-11.2850147,-6.10752848,-9.80258016,-1.98154259,11.5495663,11.7183187,56.1915433,139.205345,29.6243315,0.961835977,0.272684409,106.450535,False,False
NGC 2808,-1.2,137.036737,-64.4476096,10.2189033,-78.4070395,-11.2877086,-6.11326555,-9.81680092,-1.98456724,11.5646702,11.7337165,56.0016602,138.893744,29.5252751,0.958125599,0.273090706,106.712572,False,False
NGC 2808,-1.3,136.959794,-64.41384,10.2320051,-78.4552608,-11.2903618,-6.11898321,-9.83098984,-1.98758177,11.5797373,11.7490765,55.8121656,138.582637,29.4264549,0.95443491,0.273507936,106.974625,False,False
NGC 2808,-1.4,136.883496,-64.3802062,10.2450851,-78.5032154,-11.2929747,-6.12468151,-9.84514697,-1.99058621,11.5947679,11.7643987,55.6230571,138.272021,29.3278692,0.950763739,0.273935893,107.236695,False,False
NGC 2808,-1.5,136.807837,-64.346708,10.2581432,-78.550905,-11.2955477,-6.1303605,-9.85927235,-1.99358057,11.6097619,11.7796831,55.434332,137.961893,29.2295165,0.947111917,0.274374377,107.498777,False,False
NGC 2808,-1.6,136.732811,-64.3133452,10.2711795,-78.5983311,-11.2980812,-6.1360202,-9.87336604,-1.99656489,11.6247194,11.7949299,55.2459879,137.652251,29.1313953,0.943479274,0.274823189,107.76087,False,False
NGC 2808,-1.7,136.658412,-64.2801176,10.2841938,-78.6454953,-11.3005754,-6.14166066,-9.88742809,-1.99953919,11.6396405,11.8101392,55.0580224,137.343092,29.0335042,0.939865644,0.275282137,108.022971,False,False
NGC 2808,-1.8,136.584632,-64.247025,10.2971863,-78.6923993,-11.3030307,-6.14728192,-9.90145855,-2.00250348,11.6545251,11.8253108,54.870433,137.034413,28.9358417,0.93627086,0.275751031,108.285079,False,False
NGC 2808,-1.9,136.511467,-64.2140672,10.3101567,-78.7390445,-11.3054475,-6.152884,-9.91545746,-2.0054578,11.6693735,11.8404451,54.6832173,136.726211,28.8384062,0.932694759,0.276229686,108.547192,False,False
NGC 2808,-2,136.438909,-64.1812439,10.323105,-78.7854325,-11.3078261,-6.15846697,-9.92942488,-2.00840217,11.6841856,11.8555419,54.4963728,136.418485,28.7411964,0.929137177,0.27671792,108.809306,False,False
