cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Pal 11,0,296.31,-8.007222,14.02,31.8051092,-15.575949,3.34562887,7.11761992,-3.77314066,7.86471524,8.72297749,131.38578,-90.0975071,-13.9142413,-1.741,-4.973,-67.64,False,False
Pal 11,-0.1,296.338542,-7.95321901,14.0132886,31.868362,-15.5776439,3.33218293,7.12681411,-3.77170342,7.86733261,8.72471599,131.560646,-89.7025696,-14.1920734,-1.73706711,-4.97238831,-67.5895828,False,False
Pal 11,-0.2,296.366995,-7.89922216,14.0065503,31.931571,-15.5792508,3.31871916,7.13596789,-3.77023779,7.86993867,8.7264327,131.734677,-89.307368,-14.469595,-1.73314007,-4.97178063,-67.5389836,False,False
Pal 11,-0.3,296.395357,-7.84523138,13.999785,31.9947363,-15.5807697,3.30523763,7.14508125,-3.76874379,7.87253338,8.72812761,131.907875,-88.9119031,-14.7468072,-1.72921885,-4.97117699,-67.4882011,False,False
Pal 11,-0.4,296.42363,-7.79124663,13.9929927,32.0578577,-15.5822005,3.29173843,7.15415414,-3.76722145,7.87511672,8.72980073,132.080243,-88.5161753,-15.023711,-1.72530339,-4.97057743,-67.4372344,False,False
Pal 11,-0.5,296.451812,-7.73726784,13.9861735,32.1209353,-15.5835434,3.27822164,7.16318655,-3.76567081,7.87768867,8.73145208,132.251783,-88.1201854,-15.3003075,-1.72139364,-4.96998198,-67.3860822,False,False
Pal 11,-0.6,296.479905,-7.68329497,13.9793273,32.1839692,-15.5847983,3.26468736,7.17217845,-3.7640919,7.88024919,8.73308165,132.422497,-87.7239339,-15.5765977,-1.71748956,-4.96939066,-67.3347434,False,False
Pal 11,-0.7,296.507908,-7.62932795,13.9724542,32.2469593,-15.5859652,3.25113565,7.18112981,-3.76248474,7.88279826,8.73468945,132.592387,-87.3274214,-15.8525828,-1.71359108,-4.9688035,-67.283217,False,False
Pal 11,-0.8,296.535822,-7.57536672,13.9655542,32.3099057,-15.5870442,3.23756662,7.1900406,-3.76084938,7.88533585,8.7362755,132.761457,-86.9306483,-16.1282639,-1.70969818,-4.96822053,-67.2315016,False,False
Pal 11,-0.9,296.563646,-7.52141124,13.9586273,32.3728083,-15.5880351,3.22398033,7.19891081,-3.75918584,7.88786194,8.73783979,132.929708,-86.5336152,-16.403642,-1.70581078,-4.96764178,-67.1795963,False,False
Pal 11,-1,296.591381,-7.46746143,13.9516734,32.4356671,-15.5889381,3.21037688,7.20774039,-3.75749415,7.8903765,8.73938233,133.097142,-86.1363225,-16.6787182,-1.70192885,-4.96706727,-67.1274999,False,False
