cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Pyxis,0,136.9869,-37.2266,36.53,-98.6788258,6.99154532,-13.5818325,-35.8432004,4.48127335,38.3301603,38.5912296,109.361905,208.606474,159.940047,1.026,0.144,40.46,False,False
Pyxis,-0.1,136.948795,-37.2375212,36.5506088,-98.6911354,6.9617051,-13.5930154,-35.8645304,4.46491547,38.354069,38.6130817,109.328896,208.519281,159.952109,1.02553109,0.143637342,40.4531283,False,False
Pyxis,-0.2,136.910724,-37.2484203,36.5712197,-98.7034265,6.93189806,-13.6041949,-35.8858515,4.44855636,38.3779683,38.6349338,109.295899,208.432142,159.964115,1.02506248,0.143275138,40.4463061,False,False
Pyxis,-0.3,136.872688,-37.2592973,36.5918328,-98.7156991,6.90212416,-13.615371,-35.9071636,4.43219603,38.4018584,38.6567858,109.262915,208.345057,159.976067,1.02459416,0.142913387,40.4395331,False,False
Pyxis,-0.4,136.834686,-37.2701524,36.6124481,-98.7279531,6.87238335,-13.6265438,-35.9284669,4.41583447,38.4257391,38.6786378,109.229944,208.258027,159.987963,1.02412614,0.142552089,40.4328092,False,False
Pyxis,-0.5,136.796718,-37.2809855,36.6330654,-98.7401887,6.84267557,-13.6377132,-35.9497612,4.3994717,38.4496106,38.7004897,109.196986,208.171051,159.999806,1.02365842,0.142191244,40.4261345,False,False
Pyxis,-0.6,136.758784,-37.2917966,36.6536849,-98.7524059,6.81300077,-13.6488792,-35.9710467,4.38310772,38.4734727,38.7223416,109.164041,208.084128,160.011594,1.02319099,0.141830852,40.4195087,False,False
Pyxis,-0.7,136.720885,-37.302586,36.6743064,-98.7646048,6.78335891,-13.6600419,-35.9923232,4.36674254,38.4973256,38.7441933,109.131109,207.99726,160.023328,1.02272386,0.141470912,40.4129318,False,False
Pyxis,-0.8,136.68302,-37.3133535,36.6949301,-98.7767853,6.75374993,-13.6712012,-36.0135909,4.35037616,38.5211692,38.766045,109.09819,207.910446,160.035007,1.02225703,0.141111425,40.4064036,False,False
Pyxis,-0.9,136.645189,-37.3240993,36.7155557,-98.7889475,6.72417378,-13.6823571,-36.0348498,4.33400859,38.5450035,38.7878966,109.065284,207.823686,160.046633,1.0217905,0.14075239,40.3999242,False,False
Pyxis,-1,136.607393,-37.3348233,36.7361835,-98.8010915,6.69463042,-13.6935096,-36.0560997,4.31763984,38.5688285,38.8097481,109.032391,207.73698,160.058204,1.02132426,0.140393808,40.3934933,False,False
Pyxis,-1.1,136.56963,-37.3455257,36.7568132,-98.8132173,6.6651198,-13.7046588,-36.0773408,4.3012699,38.5926443,38.8315994,108.999511,207.650328,160.069722,1.02085832,0.140035677,40.3871108,False,False
Pyxis,-1.2,136.531902,-37.3562064,36.777445,-98.825325,6.63564186,-13.7158047,-36.098573,4.28489879,38.6164508,38.8534507,108.966644,207.563729,160.081186,1.02039268,0.139677998,40.3807768,False,False
Pyxis,-1.3,136.494208,-37.3668656,36.7980788,-98.8374145,6.60619655,-13.7269471,-36.1197964,4.26852651,38.640248,38.8753018,108.933789,207.477185,160.092596,1.01992734,0.139320771,40.3744911,False,False
