cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Rup 106,0,189.6675,-51.150278,20.71,-59.1119829,11.6707924,2.30062201,-17.4053312,4.18349766,17.55672,18.0482705,-116.899634,219.491704,32.7613779,-1.253,0.401,-38.36,False,False
Rup 106,-0.1,189.660116,-51.1732619,20.7342003,-59.115516,11.6476034,2.31257602,-17.427768,4.18014397,17.580532,18.0706588,-116.87112,219.278943,32.8228368,-1.25238074,0.400752738,-38.1603395,False,False
Rup 106,-0.2,189.65278,-51.1961987,20.758383,-59.1190159,11.6244627,2.32452711,-17.450183,4.176784,17.6043266,18.0930329,-116.84254,219.066458,32.8840877,-1.2517617,0.400506003,-37.9609601,False,False
Rup 106,-0.3,189.645491,-51.2190886,20.7825482,-59.1224827,11.6013701,2.33647527,-17.4725764,4.17341778,17.6281038,18.1153929,-116.813893,218.854247,32.9451316,-1.25114288,0.400259794,-37.7618611,False,False
Rup 106,-0.4,189.63825,-51.2419318,20.8066958,-59.1259167,11.5783253,2.34842051,-17.494948,4.17004533,17.6518635,18.1377387,-116.785181,218.642309,33.0059692,-1.2505243,0.400014107,-37.5630416,False,False
Rup 106,-0.5,189.631055,-51.2647286,20.830826,-59.1293179,11.5553283,2.3603628,-17.517298,4.16666667,17.6756059,18.1600703,-116.756403,218.430644,33.0666016,-1.24990597,0.39976894,-37.3645008,False,False
Rup 106,-0.6,189.623907,-51.2874789,20.8549387,-59.1326867,11.5323788,2.37230214,-17.5396264,4.16328182,17.6993308,18.1823878,-116.72756,218.219251,33.1270297,-1.24928788,0.399524291,-37.1662377,False,False
Rup 106,-0.7,189.616805,-51.3101831,20.8790339,-59.1360231,11.5094766,2.38423853,-17.5619331,4.15989079,17.7230384,18.2046912,-116.698652,218.008129,33.1872543,-1.24867006,0.399280155,-36.9682517,False,False
Rup 106,-0.8,189.60975,-51.3328414,20.9031116,-59.1393275,11.4866216,2.39617197,-17.5842183,4.15649362,17.7467285,18.2269804,-116.669681,217.797278,33.2472763,-1.24805251,0.399036531,-36.7705418,False,False
Rup 106,-0.9,189.602741,-51.3554538,20.9271719,-59.1425999,11.4638136,2.40810243,-17.6064819,4.15309032,17.7704013,18.2492554,-116.640645,217.586696,33.3070967,-1.24743524,0.398793416,-36.5731072,False,False
Rup 106,-1,189.595778,-51.3780206,20.9512148,-59.1458405,11.4410524,2.42002993,-17.628724,4.14968091,17.7940568,18.2715163,-116.611546,217.376383,33.3667163,-1.24681825,0.398550807,-36.375947,False,False
Rup 106,-1.1,189.58886,-51.400542,20.9752402,-59.1490496,11.4183378,2.43195444,-17.6509446,4.14626542,17.8176948,18.293763,-116.582384,217.166337,33.4261361,-1.24620157,0.398308702,-36.1790606,False,False
Rup 106,-1.2,189.581988,-51.4230182,20.9992483,-59.1522272,11.3956696,2.44387597,-17.6731438,4.14284386,17.8413155,18.3159956,-116.55316,216.95656,33.4853568,-1.24558518,0.398067099,-35.9824469,False,False
Rup 106,-1.3,189.575162,-51.4454492,21.0232389,-59.1553737,11.3730478,2.4557945,-17.6953215,4.13941625,17.8649189,18.3382141,-116.523873,216.747048,33.5443793,-1.24496911,0.397825993,-35.7861053,False,False
Rup 106,-1.4,189.568381,-51.4678353,21.0472122,-59.1584891,11.350472,2.46771004,-17.7174777,4.13598261,17.888505,18.3604184,-116.494525,216.537803,33.6032046,-1.24435336,0.397585384,-35.5900349,False,False
Rup 106,-1.5,189.561644,-51.4901767,21.0711681,-59.1615736,11.3279422,2.47962258,-17.7396126,4.13254297,17.9120737,18.3826085,-116.465115,216.328822,33.6618334,-1.24373794,0.397345268,-35.3942349,False,False
Rup 106,-1.6,189.554952,-51.5124735,21.0951066,-59.1646275,11.3054581,2.4915321,-17.7617262,4.12909735,17.9356251,18.4047845,-116.435645,216.120105,33.7202667,-1.24312285,0.397105643,-35.1987044,False,False
Rup 106,-1.7,189.548305,-51.5347259,21.1190278,-59.1676508,11.2830197,2.5034386,-17.7838184,4.12564575,17.9591593,18.4269464,-116.406113,215.911652,33.7785053,-1.24250811,0.396866506,-35.0034427,False,False
Rup 106,-1.8,189.541703,-51.5569341,21.1429316,-59.1706438,11.2606266,2.51534209,-17.8058893,4.12218822,17.9826761,18.4490941,-116.376521,215.703462,33.83655,-1.24189372,0.396627856,-34.808449,False,False
Rup 106,-1.9,189.535144,-51.5790983,21.1668182,-59.1736066,11.2382788,2.52724254,-17.8279389,4.11872475,18.0061756,18.4712277,-116.34687,215.495533,33.8944016,-1.24127969,0.396389689,-34.6137224,False,False
Rup 106,-2,189.52863,-51.6012185,21.1906874,-59.1765394,11.2159761,2.53913996,-17.8499673,4.11525538,18.0296579,18.4933472,-116.317159,215.287866,33.9520611,-1.24066602,0.396152002,-34.4192622,False,False
Rup 106,-2.1,189.522159,-51.6232951,21.2145394,-59.1794424,11.1937183,2.55103433,-17.8719744,4.11178012,18.0531229,18.5154525,-116.287389,215.080458,34.0095291,-1.24005273,0.395914795,-34.2250676,False,False
Rup 106,-2.2,189.515732,-51.6453281,21.2383741,-59.1823157,11.1715053,2.56292566,-17.8939604,4.10829899,18.0765706,18.5375437,-116.25756,214.873311,34.0668066,-1.23943982,0.395678063,-34.0311378,False,False
Rup 106,-2.3,189.509349,-51.6673177,21.2621915,-59.1851595,11.1493368,2.57481393,-17.9159251,4.10481202,18.1000011,18.5596207,-116.227672,214.666423,34.1238944,-1.23882729,0.395441806,-33.8374719,False,False
Rup 106,-2.4,189.503009,-51.689264,21.2859916,-59.187974,11.1272127,2.58669915,-17.9378688,4.10131922,18.1234144,18.5816837,-116.197727,214.459792,34.1807933,-1.23821516,0.395206019,-33.6440692,False,False
Rup 106,-2.5,189.496711,-51.7111674,21.3097746,-59.1907593,11.1051329,2.5985813,-17.9597913,4.0978206,18.1468104,18.6037324,-116.167724,214.25342,34.2375041,-1.23760343,0.394970702,-33.450929,False,False
Rup 106,-2.6,189.490457,-51.7330278,21.3335403,-59.1935155,11.0830972,2.61046037,-17.9816927,4.0943162,18.1701892,18.6257671,-116.137663,214.047303,34.2940275,-1.23699211,0.394735852,-33.2580503,False,False
Rup 106,-2.7,189.484246,-51.7548455,21.3572888,-59.196243,11.0611054,2.62233638,-18.003573,4.09080603,18.1935508,18.6477876,-116.107546,213.841443,34.3503645,-1.23638121,0.394501466,-33.0654326,False,False
Rup 106,-2.8,189.478077,-51.7766206,21.38102,-59.1989417,11.0391574,2.63420929,-18.0254323,4.0872901,18.2168952,18.6697941,-116.077372,213.635838,34.4065157,-1.23577072,0.394267542,-32.8730749,False,False
Rup 106,-2.9,189.471951,-51.7983534,21.4047342,-59.201612,11.0172529,2.64607912,-18.0472706,4.08376844,18.2402224,18.6917863,-116.047141,213.430488,34.4624821,-1.23516067,0.394034077,-32.6809766,False,False
Rup 106,-3,189.465866,-51.8200439,21.4284311,-59.2042538,10.995392,2.65794586,-18.0690879,4.08024107,18.2635324,18.7137645,-116.016855,213.225392,34.5182643,-1.23455104,0.393801071,-32.4891367,False,False
Rup 106,-3.1,189.459824,-51.8416923,21.4521109,-59.2068674,10.9735742,2.66980949,-18.0908843,4.076708,18.2868252,18.7357286,-115.986513,213.020548,34.5738632,-1.23394186,0.393568519,-32.2975547,False,False
Rup 106,-3.2,189.453824,-51.8632987,21.4757735,-59.209453,10.9517997,2.68167002,-18.1126597,4.07316925,18.3101009,18.7576785,-115.956116,212.815957,34.6292795,-1.23333313,0.393336421,-32.1062297,False,False
Rup 106,-3.3,189.447865,-51.8848634,21.499419,-59.2120107,10.930068,2.69352743,-18.1344142,4.06962485,18.3333594,18.7796143,-115.925664,212.611618,34.684514,-1.23272484,0.393104773,-31.9151609,False,False
Rup 106,-3.4,189.441948,-51.9063865,21.5230474,-59.2145407,10.9083792,2.70538173,-18.1561478,4.0660748,18.3566008,18.801536,-115.895157,212.407529,34.7395674,-1.23211702,0.392873574,-31.7243477,False,False
Rup 106,-3.5,189.436073,-51.9278681,21.5466587,-59.217043,10.8867331,2.71723291,-18.1778605,4.06251914,18.379825,18.8234436,-115.864596,212.203691,34.7944406,-1.23150966,0.392642822,-31.5337892,False,False
Rup 106,-3.6,189.430238,-51.9493084,21.5702529,-59.2195179,10.8651294,2.72908096,-18.1995525,4.05895787,18.4030322,18.8453371,-115.833982,212.000102,34.8491343,-1.23090277,0.392412513,-31.3434847,False,False
Rup 106,-3.7,189.424445,-51.9707076,21.59383,-59.2219655,10.8435681,2.74092587,-18.2212236,4.05539102,18.4262222,18.8672165,-115.803313,211.796763,34.9036493,-1.23029636,0.392182647,-31.1534334,False,False
Rup 106,-3.8,189.418692,-51.9920658,21.61739,-59.224386,10.8220489,2.75276765,-18.2428739,4.0518186,18.4493951,18.8890818,-115.772591,211.593671,34.9579862,-1.22969042,0.391953221,-30.9636346,False,False
Rup 106,-3.9,189.41298,-52.0133831,21.640933,-59.2267795,10.8005718,2.76460628,-18.2645035,4.04824063,18.4725508,18.910933,-115.741817,211.390827,35.0121459,-1.22908498,0.391724232,-30.7740876,False,False
Rup 106,-4,189.407309,-52.0346597,21.6644589,-59.2291461,10.7791366,2.77644176,-18.2861123,4.04465713,18.4956896,18.9327701,-115.71099,211.188229,35.0661291,-1.22848003,0.391495679,-30.5847916,False,False
Rup 106,-4.1,189.401678,-52.0558958,21.6879679,-59.231486,10.7577431,2.78827408,-18.3077004,4.04106812,18.5188112,18.9545931,-115.68011,210.985878,35.1199365,-1.22787558,0.39126756,-30.3957459,False,False
Rup 106,-4.2,189.396087,-52.0770915,21.7114598,-59.2337994,10.7363911,2.80010325,-18.3292679,4.03747362,18.5419157,18.976402,-115.649178,210.783772,35.1735688,-1.22727163,0.391039872,-30.2069498,False,False
Rup 106,-4.3,189.390536,-52.098247,21.7349347,-59.2360864,10.7150806,2.81192925,-18.3508147,4.03387364,18.5650032,18.9981968,-115.618195,210.58191,35.2270269,-1.22666819,0.390812614,-30.0184024,False,False
Rup 106,-4.4,189.385025,-52.1193624,21.7583926,-59.2383471,10.6938114,2.82375207,-18.3723408,4.03026821,18.5880737,19.0199775,-115.58716,210.380293,35.2803113,-1.22606526,0.390585783,-29.8301032,False,False
Rup 106,-4.5,189.379554,-52.1404378,21.7818335,-59.2405816,10.6725833,2.83557172,-18.3938464,4.02665733,18.6111271,19.0417442,-115.556075,210.178919,35.3334229,-1.22546286,0.390359377,-29.6420513,False,False
Rup 106,-4.6,189.374122,-52.1614734,21.8052575,-59.2427903,10.6513962,2.84738819,-18.4153313,4.02304103,18.6341635,19.0634967,-115.524938,209.977788,35.3863623,-1.22486097,0.390133395,-29.4542461,False,False
Rup 106,-4.7,189.36873,-52.1824694,21.8286645,-59.244973,10.6302499,2.85920147,-18.4367957,4.01941932,18.6571828,19.0852352,-115.493751,209.776898,35.4391303,-1.22425962,0.389907834,-29.2666867,False,False
Rup 106,-4.8,189.363377,-52.2034258,21.8520546,-59.2471301,10.6091443,2.87101156,-18.4582396,4.01579223,18.6801852,19.1069596,-115.462514,209.57625,35.4917275,-1.2236588,0.389682692,-29.0793726,False,False
Rup 106,-4.9,189.358063,-52.2243429,21.8754278,-59.2492616,10.5880793,2.88281845,-18.479663,4.01215976,18.7031705,19.1286699,-115.431227,209.375843,35.5441547,-1.22305852,0.389457968,-28.892303,False,False
Rup 106,-5,189.352788,-52.2452208,21.898784,-59.2513677,10.5670546,2.89462214,-18.5010659,4.00852195,18.7261388,19.1503662,-115.39989,209.175675,35.5964126,-1.22245879,0.389233659,-28.7054772,False,False
Rup 106,-5.1,189.347552,-52.2660596,21.9221234,-59.2534485,10.5460702,2.90642263,-18.5224483,4.00487879,18.7490902,19.1720483,-115.368504,208.975747,35.6485019,-1.2218596,0.389009764,-28.5188944,False,False
Rup 106,-5.2,189.342355,-52.2868595,21.9454458,-59.2555041,10.5251259,2.9182199,-18.5438103,4.00123032,18.7720246,19.1937165,-115.33707,208.776057,35.7004232,-1.22126096,0.38878628,-28.332554,False,False
Rup 106,-5.3,189.337196,-52.3076206,21.9687514,-59.2575348,10.5042216,2.93001395,-18.5651519,3.99757655,18.794942,19.2153705,-115.305586,208.576606,35.7521772,-1.22066289,0.388563205,-28.1464552,False,False
Rup 106,-5.4,189.332075,-52.3283431,21.9920402,-59.2595405,10.483357,2.94180478,-18.5864731,3.99391749,18.8178425,19.2370105,-115.274054,208.377392,35.8037647,-1.22006537,0.388340538,-27.9605974,False,False
Rup 106,-5.5,189.326992,-52.349027,22.015312,-59.2615215,10.4625322,2.95359238,-18.6077739,3.99025316,18.840726,19.2586364,-115.242474,208.178414,35.8551863,-1.21946842,0.388118277,-27.7749799,False,False
Rup 106,-5.6,189.321947,-52.3696725,22.0385671,-59.2634779,10.4417469,2.96537676,-18.6290544,3.98658359,18.8635926,19.2802483,-115.210846,207.979673,35.9064427,-1.21887204,0.387896419,-27.5896019,False,False
Rup 106,-5.7,189.316941,-52.3902799,22.0618053,-59.2654098,10.421001,2.97715789,-18.6503146,3.98290878,18.8864423,19.3018462,-115.17917,207.781167,35.9575345,-1.21827624,0.387674964,-27.4044628,False,False
Rup 106,-5.8,189.311972,-52.4108491,22.0850267,-59.2673174,10.4002943,2.98893578,-18.6715545,3.97922875,18.9092751,19.3234299,-115.147447,207.582895,36.0084624,-1.21768101,0.387453909,-27.2195619,False,False
Rup 106,-5.9,189.30704,-52.4313804,22.1082314,-59.2692007,10.3796268,3.00071043,-18.6927741,3.97554352,18.9320909,19.3449997,-115.115678,207.384858,36.0592272,-1.21708637,0.387233251,-27.0348985,False,False
Rup 106,-6,189.302146,-52.4518739,22.1314192,-59.27106,10.3589982,3.01248182,-18.7139735,3.97185311,18.9548899,19.3665554,-115.083861,207.187054,36.1098294,-1.21649232,0.387012991,-26.8504719,False,False
Rup 106,-6.1,189.297289,-52.4723297,22.1545903,-59.2728953,10.3384085,3.02424996,-18.7351526,3.96815754,18.9776719,19.388097,-115.051998,206.989483,36.1602697,-1.21589885,0.386793125,-26.6662815,False,False
Rup 106,-6.2,189.29247,-52.4927479,22.1777446,-59.2747067,10.3178575,3.03601483,-18.7563116,3.96445681,19.0004371,19.4096247,-115.020088,206.792144,36.2105488,-1.21530599,0.386573651,-26.4823265,False,False
Rup 106,-6.3,189.287687,-52.5131287,22.2008822,-59.2764945,10.2973451,3.04777645,-18.7774504,3.96075095,19.0231855,19.4311382,-114.988133,206.595037,36.2606673,-1.21471372,0.386354569,-26.2986062,False,False
Rup 106,-6.4,189.282941,-52.5334723,22.224003,-59.2782586,10.2768711,3.05953479,-18.7985691,3.95703997,19.0459169,19.4526378,-114.956132,206.39816,36.3106258,-1.21412205,0.386135875,-26.1151201,False,False
Rup 106,-6.5,189.278232,-52.5537787,22.2471071,-59.2799993,10.2564354,3.07128985,-18.8196676,3.95332389,19.0686316,19.4741233,-114.924086,206.201514,36.3604251,-1.21353099,0.38591757,-25.9318674,False,False
Rup 106,-6.6,189.27356,-52.5740481,22.2701945,-59.2817167,10.2360378,3.08304164,-18.840746,3.94960273,19.0913294,19.4955949,-114.891995,206.005098,36.4100657,-1.21294054,0.385699649,-25.7488475,False,False
Rup 106,-6.7,189.268924,-52.5942806,22.2932652,-59.2834108,10.2156783,3.09479014,-18.8618044,3.94587649,19.1140103,19.5170524,-114.859858,205.808911,36.4595482,-1.2123507,0.385482113,-25.5660597,False,False
