cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Sagittarius II,0,298.164708,-22.065251,66.53,18.9369074,-22.8930151,49.7840251,19.8901072,-26.0084121,53.6103117,59.5860975,25.2774821,-126.671191,200.007619,-0.807,-0.897,-175.73,False,False
Sagittarius II,-0.1,298.184827,-22.0604292,66.5396267,18.9491305,-22.9086399,49.7814376,19.9030611,-26.0288658,53.6127164,59.5971914,25.3236325,-126.652747,199.983182,-0.80657176,-0.896926044,-175.781376,False,False
Sagittarius II,-0.2,298.204939,-22.0556064,66.5492553,18.9613526,-22.924259,49.7788453,19.916013,-26.0493171,53.6151193,59.6082875,25.3697611,-126.634299,199.958737,-0.806143691,-0.896851956,-175.83271,False,False
Sagittarius II,-0.3,298.225042,-22.0507826,66.5588858,18.9735738,-22.9398724,49.7762484,19.9289631,-26.0697659,53.6175202,59.6193858,25.4158678,-126.615846,199.934283,-0.805715792,-0.896777737,-175.884004,False,False
Sagittarius II,-0.4,298.245139,-22.0459579,66.5685181,18.985794,-22.9554801,49.7736467,19.9419114,-26.0902121,53.6199192,59.6304864,25.4619527,-126.597389,199.90982,-0.805288064,-0.896703386,-175.935257,False,False
Sagittarius II,-0.5,298.265228,-22.0411323,66.5781523,18.9980132,-22.971082,49.7710403,19.9548577,-26.1106559,53.6223162,59.6415891,25.5080158,-126.578927,199.885349,-0.804860507,-0.896628904,-175.986469,False,False
Sagittarius II,-0.6,298.285309,-22.0363057,66.5877884,19.0102315,-22.9866783,49.7684292,19.9678021,-26.1310972,53.6247114,59.6526941,25.5540571,-126.560462,199.860869,-0.804433121,-0.896554292,-176.03764,False,False
Sagittarius II,-0.7,298.305383,-22.0314781,66.5974263,19.0224489,-23.0022688,49.7658134,19.9807447,-26.1515359,53.6271046,59.6638012,25.6000765,-126.541992,199.836381,-0.804005906,-0.896479548,-176.08877,False,False
Sagittarius II,-0.8,298.325449,-22.0266496,66.607066,19.0346653,-23.0178535,49.7631929,19.9936853,-26.1719722,53.6294958,59.6749106,25.6460742,-126.523518,199.811884,-0.803578862,-0.896404674,-176.13986,False,False
Sagittarius II,-0.9,298.345508,-22.0218202,66.6167076,19.0468807,-23.0334326,49.7605677,20.0066241,-26.192406,53.6318852,59.6860221,25.69205,-126.505039,199.787378,-0.803151989,-0.89632967,-176.190909,False,False
Sagittarius II,-1,298.365559,-22.0169898,66.6263511,19.0590952,-23.049006,49.7579378,20.019561,-26.2128372,53.6342726,59.6971359,25.7380041,-126.486557,199.762865,-0.802725287,-0.896254536,-176.241916,False,False
Sagittarius II,-1.1,298.385603,-22.0121585,66.6359964,19.0713088,-23.0645736,49.7553032,20.032496,-26.2332659,53.6366581,59.7082518,25.7839363,-126.46807,199.738342,-0.802298756,-0.896179271,-176.292883,False,False
Sagittarius II,-1.2,298.405639,-22.0073262,66.6456435,19.0835214,-23.0801355,49.7526639,20.0454291,-26.2536922,53.6390417,59.7193699,25.8298468,-126.449579,199.713811,-0.801872396,-0.896103877,-176.34381,False,False
Sagittarius II,-1.3,298.425668,-22.0024931,66.6552925,19.0957331,-23.0956917,49.7500199,20.0583603,-26.2741159,53.6414233,59.7304902,25.8757355,-126.431084,199.689272,-0.801446207,-0.896028354,-176.394695,False,False
Sagittarius II,-1.4,298.445689,-21.997659,66.6649434,19.1079438,-23.1112422,49.7473712,20.0712896,-26.2945371,53.6438031,59.7416127,25.9216024,-126.412585,199.664724,-0.80102019,-0.895952701,-176.44554,False,False
Sagittarius II,-1.5,298.465702,-21.9928239,66.674596,19.1201536,-23.126787,49.7447178,20.084217,-26.3149558,53.6461809,59.7527374,25.9674475,-126.394082,199.640168,-0.800594344,-0.89587692,-176.496344,False,False
Sagittarius II,-1.6,298.485708,-21.987988,66.6842505,19.1323625,-23.1423261,49.7420598,20.0971425,-26.335372,53.6485568,59.7638642,26.0132709,-126.375574,199.615603,-0.80016867,-0.895801009,-176.547107,False,False
Sagittarius II,-1.7,298.505707,-21.9831511,66.6939069,19.1445704,-23.1578595,49.739397,20.1100662,-26.3557857,53.6509308,59.7749932,26.0590725,-126.357062,199.59103,-0.799743167,-0.89572497,-176.59783,False,False
Sagittarius II,-1.8,298.525698,-21.9783133,66.7035651,19.1567774,-23.1733871,49.7367296,20.1229879,-26.3761968,53.6533029,59.7861244,26.1048524,-126.338546,199.566449,-0.799317836,-0.895648802,-176.648512,False,False
Sagittarius II,-1.9,298.545681,-21.9734746,66.7132251,19.1689834,-23.1889091,49.7340575,20.1359078,-26.3966055,53.6556731,59.7972577,26.1506105,-126.320026,199.541859,-0.798892676,-0.895572506,-176.699154,False,False
Sagittarius II,-2,298.565658,-21.968635,66.7228869,19.1811885,-23.2044253,49.7313807,20.1488257,-26.4170116,53.6580414,59.8083933,26.1963468,-126.301502,199.517261,-0.798467687,-0.895496082,-176.749754,False,False
Sagittarius II,-2.1,298.585626,-21.9637944,66.7325505,19.1933927,-23.2199359,49.7286992,20.1617418,-26.4374152,53.6604077,59.8195309,26.2420614,-126.282974,199.492654,-0.798042871,-0.895419531,-176.800315,False,False
Sagittarius II,-2.2,298.605587,-21.958953,66.742216,19.2055959,-23.2354407,49.7260131,20.1746559,-26.4578163,53.6627722,59.8306707,26.2877543,-126.264442,199.46804,-0.797618226,-0.895342851,-176.850834,False,False
Sagittarius II,-2.3,298.625541,-21.9541107,66.7518833,19.2177982,-23.2509398,49.7233223,20.1875682,-26.4782149,53.6651347,59.8418127,26.3334255,-126.245905,199.443416,-0.797193753,-0.895266044,-176.901314,False,False
Sagittarius II,-2.4,298.645487,-21.9492674,66.7615524,19.2299995,-23.2664333,49.7206268,20.2004786,-26.4986109,53.6674954,59.8529568,26.3790749,-126.227365,199.418785,-0.796769451,-0.895189111,-176.951752,False,False
Sagittarius II,-2.5,298.665425,-21.9444233,66.7712234,19.2422,-23.281921,49.7179266,20.2133871,-26.5190045,53.6698541,59.8641031,26.4247026,-126.20882,199.394145,-0.796345322,-0.89511205,-177.00215,False,False
