cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Ter 5,0,267.0202,-24.779055,6.62,3.83947526,1.68682005,-1.51921622,0.44308557,0.198769762,1.58251153,1.59494582,-56.7667117,73.0612066,-27.0549728,-1.864,-5.108,-81.97,False,False
Ter 5,-0.1,266.960442,-24.826176,6.62544024,3.77108499,1.70895297,-1.51333466,0.435557196,0.201473079,1.57476724,1.587603,-58.2513942,74.162155,-25.8074169,-1.88254171,-5.05137909,-83.1572192,False,False
Ter 5,-0.2,266.901216,-24.8746905,6.63103131,3.7017503,1.72990226,-1.50730148,0.427916337,0.204047813,1.56686635,1.58009673,-59.7318158,75.2609169,-24.5404783,-1.90156626,-4.99461033,-84.3381876,False,False
Ter 5,-0.3,266.842541,-24.924599,6.63677302,3.63148053,1.74965252,-1.50111712,0.420163228,0.206491999,1.55881036,1.57242764,-61.2078648,76.3572552,-23.2545023,-1.92106307,-4.93771268,-85.5129375,False,False
Ter 5,-0.4,266.784434,-24.9759018,6.64266514,3.56028535,1.76818889,-1.49478203,0.41229813,0.208803708,1.55060087,1.56459645,-62.6794258,77.4509185,-21.9498299,-1.94102192,-4.88070536,-86.6815011,False,False
Ter 5,-0.5,266.726913,-25.0285982,6.64870747,3.48817475,1.785497,-1.48829668,0.404321329,0.210981045,1.54223952,1.55660391,-64.1463798,78.5416401,-20.6267998,-1.96143292,-4.82360784,-87.8439109,False,False
Ter 5,-0.6,266.669996,-25.0826874,6.65489979,3.41515904,1.80156303,-1.48166153,0.396233141,0.213022149,1.53372801,1.54845085,-65.608604,79.6291374,-19.2857489,-1.98228647,-4.76643995,-89.0001988,False,False
Ter 5,-0.7,266.6137,-25.1381678,6.6612419,3.34124888,1.81637365,-1.4748771,0.388033912,0.214925196,1.52506812,1.54013818,-67.0659713,80.713111,-17.9270142,-2.00357328,-4.70922188,-90.1503957,False,False
Ter 5,-0.8,266.558041,-25.1950375,6.66773358,3.26645525,1.82991607,-1.46794387,0.379724016,0.216688393,1.51626169,1.53166687,-68.5183508,81.7932436,-16.5509342,-2.0252843,-4.65197421,-91.2945317,False,False
Ter 5,-0.9,266.503037,-25.2532938,6.67437462,3.19078955,1.84217802,-1.46086236,0.371303865,0.218309985,1.50731065,1.52303797,-69.9656068,82.8691995,-15.1578505,-2.0474107,-4.59471798,-92.4326353,False,False
Ter 5,-1,266.448705,-25.3129337,6.68116479,3.11426349,1.85314773,-1.45363311,0.362773903,0.219788249,1.49821698,1.51425262,-71.4075995,83.9406232,-13.7481095,-2.06994388,-4.5374747,-93.5647335,False,False
Ter 5,-1.1,266.395059,-25.3739532,6.68810388,3.03688922,1.862814,-1.44625666,0.354134613,0.2211215,1.48898276,1.50531205,-72.8441842,85.0071387,-12.3220639,-2.0928754,-4.48026644,-94.6908511,False,False
Ter 5,-1.2,266.342118,-25.4363482,6.69519167,2.95867924,1.87116613,-1.43873357,0.345386517,0.22230809,1.47961013,1.49621757,-74.2752114,86.0683487,-10.8800748,-2.11619698,-4.42311582,-95.8110105,False,False
Ter 5,-1.3,266.289896,-25.5001137,6.70242792,2.87964651,1.87819399,-1.43106442,0.336530178,0.223346407,1.47010134,1.4869706,-75.7005269,87.1238331,-9.42251369,-2.13990043,-4.3660461,-96.9252315,False,False
Ter 5,-1.4,266.23841,-25.5652441,6.70981242,2.79980437,1.883888,-1.4232498,0.327566206,0.224234876,1.4604587,1.47757264,-77.1199714,88.1731485,-7.94976417,-2.16397766,-4.30908121,-98.0335308,False,False
Ter 5,-1.5,266.187675,-25.6317332,6.71734493,2.71916664,1.88823913,-1.41529032,0.318495254,0.224971966,1.45068464,1.46802531,-78.5333804,89.2158268,-6.46222423,-2.18842062,-4.25224581,-99.1359219,False,False
Ter 5,-1.6,266.137706,-25.6995741,6.7250252,2.63774757,1.89123893,-1.40718661,0.309318027,0.225556185,1.44078166,1.45833034,-79.9405844,90.2513744,-4.96030845,-2.21322125,-4.19556533,-100.232415,False,False
Ter 5,-1.7,266.088519,-25.7687593,6.732853,2.55556189,1.89287955,-1.3989393,0.300035279,0.225986085,1.43075237,1.44848957,-81.3414087,91.2792711,-3.44445023,-2.23837145,-4.13906602,-101.323015,False,False
Ter 5,-1.8,266.04013,-25.8392804,6.74082808,2.47262483,1.89315374,-1.39054906,0.290647822,0.226260262,1.42059947,1.43850497,-82.7356731,92.2989691,-1.91510426,-2.26386306,-4.08277502,-102.407724,False,False
Ter 5,-1.9,265.992551,-25.9111284,6.74895019,2.38895212,1.89205486,-1.38201657,0.281156523,0.226377361,1.41032578,1.42837863,-84.1231925,93.3098918,-0.372748955,-2.28968779,-4.02672039,-103.48654,False,False
Ter 5,-2,265.945799,-25.9842935,6.75721905,2.30456,1.88957693,-1.37334254,0.27156231,0.226336079,1.39993422,1.41811277,-85.5037761,94.3114331,1.18211089,-2.31583716,-3.97093118,-104.559454,False,False
Ter 5,-2.1,265.899888,-26.0587651,6.7656344,2.21946526,1.88571464,-1.36452767,0.261866175,0.226135162,1.38942781,1.40770976,-86.8772284,95.3029563,2.74894139,-2.34230249,-3.91543749,-105.626454,False,False
Ter 5,-2.2,265.854832,-26.1345317,6.77419596,2.13368525,1.88046333,-1.35557271,0.252069176,0.225773415,1.37880971,1.3971721,-88.2433483,96.2837933,4.32717673,-2.36907478,-3.86027048,-106.68752,False,False
Ter 5,-2.3,265.810644,-26.2115812,6.78290344,2.04723791,1.87381908,-1.34647841,0.242172441,0.225249702,1.36808319,1.38650245,-89.6019299,97.2532436,5.91621617,-2.39614474,-3.80546248,-107.74263,False,False
Ter 5,-2.4,265.767339,-26.2899002,6.79175653,1.96014176,1.86577872,-1.33724557,0.232177174,0.224562951,1.35725162,1.37570363,-90.9527624,98.2105737,7.515421,-2.42350266,-3.751047,-108.791752,False,False
Ter 5,-2.5,265.724931,-26.3694749,6.80075494,1.87241593,1.85633981,-1.32787499,0.222084651,0.223712156,1.34631853,1.36477863,-92.2956302,99.155016,9.12411148,-2.45113837,-3.6970588,-109.834851,False,False
Ter 5,-2.6,265.683432,-26.45029,6.80989833,1.78408022,1.84550075,-1.31836748,0.211896232,0.222696384,1.33528754,1.35373059,-93.6303134,100.085769,10.7415639,-2.47904117,-3.64353392,-110.871884,False,False
Ter 5,-2.7,265.642855,-26.5323296,6.81918636,1.69515505,1.83326075,-1.3087239,0.201613359,0.221514778,1.32416245,1.34256284,-94.9565877,101.001996,12.3670068,-2.50719978,-3.59050973,-111.9028,False,False
Ter 5,-2.8,265.603214,-26.6155766,6.82861869,1.60566153,1.81961989,-1.29894512,0.191237563,0.220166562,1.31294716,1.33127892,-96.2742248,101.902825,13.9996178,-2.53560225,-3.538025,-112.927543,False,False
Ter 5,-2.9,265.56452,-26.7000129,6.83819495,1.51562146,1.80457918,-1.28903204,0.180770463,0.218651047,1.30164571,1.31988251,-97.5829931,102.78735,15.6385205,-2.56423586,-3.48611986,-113.94605,False,False
Ter 5,-3,265.526785,-26.7856192,6.84791475,1.42505736,1.78814055,-1.27898557,0.170213776,0.216967638,1.29026231,1.30837753,-98.8826577,103.654628,17.2827805,-2.59308711,-3.43483592,-114.958248,False,False
Ter 5,-3.1,265.490021,-26.8723752,6.8577777,1.33399247,1.77030695,-1.26880666,0.159569314,0.215115836,1.27880128,1.29676811,-100.172981,104.503683,18.9314021,-2.62214155,-3.38421623,-115.964059,False,False
Ter 5,-3.2,265.45424,-26.9602593,6.86778336,1.24245078,1.75108235,-1.25849627,0.148838994,0.21309525,1.2672671,1.28505856,-101.453724,105.333502,20.583325,-2.65138377,-3.33430532,-116.963397,False,False
Ter 5,-3.3,265.419452,-27.0492487,6.87793132,1.15045703,1.73047181,-1.2480554,0.138024835,0.210905599,1.25566442,1.27325344,-102.724645,106.143041,22.2374208,-2.68079726,-3.28514921,-117.956166,False,False
