cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Ton 2,0,264.042,-38.5561,6.99,-9.20662686,-3.42362245,-1.2354266,-1.1163774,-0.414257627,1.66510581,1.71586327,-180.185533,147.545728,170.898207,-5.936,-0.795,-184.72,True,True
Ton 2,-0.1,264.117216,-38.7083172,7.0116939,-9.30380711,-3.55482205,-1.21696842,-1.13140101,-0.431626531,1.66164989,1.71679406,-180.776467,146.251181,168.763838,-5.87865262,-0.881740907,-185.086085,True,True
Ton 2,-0.2,264.191122,-38.8576143,7.03346651,-9.39926383,-3.68340305,-1.19845081,-1.14629149,-0.448776739,1.65839335,1.71804222,-181.347861,144.942543,166.62201,-5.82158779,-0.96794122,-185.411443,True,True
Ton 2,-0.3,264.263719,-39.0040078,7.05531294,-9.49300207,-3.80938293,-1.17987572,-1.16104749,-0.465707657,1.65533622,1.71959926,-181.900626,143.62169,164.475925,-5.76486555,-1.05350462,-185.697939,True,True
Ton 2,-0.4,264.335005,-39.1475171,7.07722851,-9.58502839,-3.93278179,-1.16124502,-1.17566786,-0.482418995,1.65247841,1.72145665,-182.435593,142.290333,162.328351,-5.70853638,-1.13834813,-185.94734,True,True
Ton 2,-0.5,264.404985,-39.2881637,7.09920871,-9.67535068,-4.05362194,-1.14256048,-1.1901516,-0.498910724,1.64981977,1.72360587,-182.95352,140.950029,160.18167,-5.65264243,-1.22240074,-186.161315,True,True
Ton 2,-0.6,264.473661,-39.4259711,7.12124919,-9.76397804,-4.17192754,-1.12382382,-1.20449786,-0.515183044,1.64736003,1.72603842,-183.455093,139.602187,158.037923,-5.59721869,-1.30560216,-186.341445,True,True
Ton 2,-0.7,264.541039,-39.5609647,7.14334578,-9.85092063,-4.28772431,-1.10503667,-1.21870596,-0.531236345,1.64509885,1.72874587,-183.940938,138.248084,155.898854,-5.54229386,-1.38790165,-186.489218,True,True
Ton 2,-0.8,264.607125,-39.6931711,7.16549446,-9.93618955,-4.40103921,-1.08620061,-1.23277529,-0.547071185,1.64303581,1.73171983,-184.41162,136.888871,153.765941,-5.48789133,-1.46925693,-186.606039,True,True
Ton 2,-0.9,264.671925,-39.8226181,7.18769136,-10.0197967,-4.51190024,-1.06731716,-1.2467054,-0.562688258,1.6411704,1.73495197,-184.867656,135.525586,151.640437,-5.43402982,-1.54963325,-186.693232,True,True
Ton 2,-1,264.735449,-39.9493345,7.20993272,-10.1017548,-4.62033623,-1.04838781,-1.26049592,-0.578088377,1.63950204,1.7384341,-185.309513,134.159161,149.523389,-5.38072411,-1.62900247,-186.752047,True,True
Ton 2,-1.1,264.797703,-40.0733501,7.23221496,-10.1820771,-4.72637662,-1.02941397,-1.27414656,-0.593272454,1.63803009,1.74215809,-185.737616,132.790436,147.415674,-5.3279856,-1.70734233,-186.783662,True,True
Ton 2,-1.2,264.858698,-40.1946951,7.25453458,-10.2607774,-4.83005136,-1.01039704,-1.28765714,-0.608241481,1.63675383,1.74611592,-186.152353,131.420159,145.318016,-5.27582279,-1.78463567,-186.789189,True,True
Ton 2,-1.3,264.918441,-40.3134003,7.27688822,-10.3378699,-4.93139071,-0.991338362,-1.30102753,-0.622996517,1.63567246,1.7502997,-186.554077,130.049005,143.231006,-5.2242417,-1.8608699,-186.76968,True,True
Ton 2,-1.4,264.976944,-40.4294971,7.29927263,-10.4133695,-5.03042518,-0.972239249,-1.31425767,-0.637538678,1.63478512,1.75470167,-186.943113,128.677573,141.155124,-5.17324628,-1.93603634,-186.72613,True,True
Ton 2,-1.5,265.034217,-40.5430168,7.32168468,-10.4872911,-5.12718539,-0.953100985,-1.32734756,-0.651869122,1.63409089,1.75931418,-187.319756,127.306399,139.090748,-5.12283867,-2.01012981,-186.659478,True,True
Ton 2,-1.6,265.090269,-40.6539911,7.34412131,-10.5596501,-5.221702,-0.933924823,-1.34029726,-0.665989041,1.63358878,1.76412973,-187.68428,125.935962,137.038175,-5.07301954,-2.08314814,-186.570618,True,True
Ton 2,-1.7,265.14511,-40.762452,7.36657958,-10.6304619,-5.31400563,-0.91471199,-1.35310685,-0.679899654,1.63327774,1.76914095,-188.036935,124.566686,134.997624,-5.02378826,-2.1550918,-186.460396,True,True
Ton 2,-1.8,265.198753,-40.8684311,7.38905664,-10.6997423,-5.40412679,-0.895463688,-1.36577648,-0.693602199,1.63315664,1.77434062,-188.377954,123.198949,132.969256,-4.97514313,-2.22596356,-186.329616,True,True
Ton 2,-1.9,265.251206,-40.9719603,7.41154973,-10.7675072,-5.49209583,-0.876181095,-1.37830633,-0.707097928,1.63322431,1.77972164,-188.707552,121.833087,130.953175,-4.92708156,-2.29576818,-186.179041,True,True
Ton 2,-2,265.302482,-41.0730712,7.43405616,-10.8337725,-5.57794291,-0.856865368,-1.39069659,-0.720388101,1.6334795,1.78527709,-189.025931,120.469393,128.949438,-4.87960021,-2.36451214,-186.009401,True,True
Ton 2,-2.1,265.352591,-41.1717955,7.45657335,-10.8985542,-5.66169793,-0.837517647,-1.40294751,-0.733473981,1.63392091,1.79100017,-189.333278,119.108131,126.958065,-4.8326951,-2.43220342,-185.82139,True,True
Ton 2,-2.2,265.401543,-41.2681644,7.47909876,-10.9618685,-5.7433905,-0.818139049,-1.41505935,-0.746356833,1.63454718,1.79688425,-189.629769,117.74953,124.979041,-4.78636173,-2.49885128,-185.615668,True,True
Ton 2,-2.3,265.449351,-41.3622092,7.50162996,-11.0237314,-5.82304995,-0.798730677,-1.42703239,-0.759037918,1.63535688,1.80292282,-189.915568,116.393791,123.012322,-4.74059518,-2.56446606,-185.392871,False,False
Ton 2,-2.4,265.496024,-41.4539608,7.52416457,-11.0841591,-5.90070525,-0.779293616,-1.43886692,-0.77151849,1.63634855,1.80910954,-190.190833,115.04109,121.05784,-4.69539018,-2.62905908,-185.153602,False,False
Ton 2,-2.5,265.541574,-41.5434497,7.54670029,-11.1431675,-5.97638504,-0.759828935,-1.45056328,-0.783799797,1.63752064,1.81543823,-190.455711,113.691581,119.115506,-4.65074117,-2.69264241,-184.898442,False,False
Ton 2,-2.6,265.586012,-41.6307065,7.56923488,-11.2007728,-6.05011757,-0.740337691,-1.46212179,-0.795883076,1.63887157,1.82190282,-190.710342,112.345396,117.185215,-4.60664235,-2.75522882,-184.627946,False,False
Ton 2,-2.7,265.629348,-41.7157609,7.59176616,-11.2569908,-6.12193073,-0.720820923,-1.4735428,-0.807769553,1.6403997,1.82849742,-190.95486,111.00265,115.266847,-4.56308777,-2.81683163,-184.342647,False,False
Ton 2,-2.8,265.671594,-41.7986428,7.61429202,-11.3118375,-6.19185201,-0.701279659,-1.48482666,-0.819460439,1.64210334,1.83521628,-191.189394,109.663439,113.360269,-4.5200713,-2.87746464,-184.043056,False,False
Ton 2,-2.9,265.71276,-41.8793814,7.6368104,-11.3653286,-6.25990851,-0.681714915,-1.49597375,-0.830956935,1.64398074,1.84205377,-191.414065,108.327846,111.465341,-4.47758674,-2.93714201,-183.729665,False,False
Ton 2,-3,265.752856,-41.9580057,7.65931932,-11.4174798,-6.32612689,-0.662127693,-1.50698443,-0.842260224,1.64603012,1.84900444,-191.628993,106.99594,109.581913,-4.4356278,-2.99587821,-183.402948,False,False
Ton 2,-3.1,265.791895,-42.0345442,7.68181683,-11.4683067,-6.39053346,-0.642518983,-1.51785909,-0.853371473,1.64824963,1.85606296,-191.834291,105.667776,107.709828,-4.39418813,-3.05368795,-183.063359,False,False
Ton 2,-3.2,265.829885,-42.1090252,7.70430104,-11.5178246,-6.45315405,-0.622889765,-1.5285981,-0.864291835,1.6506374,1.86322414,-192.030068,104.343401,105.848926,-4.35326137,-3.11058613,-182.711338,False,False
Ton 2,-3.3,265.866838,-42.1814765,7.72677012,-11.566049,-6.51401413,-0.603241007,-1.53920187,-0.875022445,1.65319149,1.87048293,-192.216432,103.022849,103.999043,-4.31284113,-3.16658775,-182.347306,False,False
Ton 2,-3.4,265.902765,-42.2519255,7.74922229,-11.612995,-6.57313873,-0.583573666,-1.54967078,-0.885564422,1.65590994,1.87783441,-192.393484,101.706148,102.16001,-4.27292104,-3.22170791,-181.971671,False,False
Ton 2,-3.5,265.937675,-42.3203992,7.77165579,-11.6586775,-6.63055247,-0.563888689,-1.56000522,-0.895918867,1.65879075,1.88527382,-192.561326,100.393316,100.331659,-4.23349472,-3.27596178,-181.584827,False,False
Ton 2,-3.6,265.97158,-42.3869242,7.79406896,-11.7031116,-6.68627955,-0.544187014,-1.5702056,-0.906086862,1.66183186,1.89279649,-192.720055,99.0843644,98.5138187,-4.19455583,-3.32936449,-181.187153,False,False
Ton 2,-3.7,266.004489,-42.4515266,7.81646013,-11.7463118,-6.74034376,-0.524469568,-1.58027231,-0.916069475,1.6650312,1.9003979,-192.869767,97.7792974,96.706318,-4.15609808,-3.38193118,-180.779016,False,False
Ton 2,-3.8,266.036412,-42.5142324,7.83882772,-11.7882928,-6.79276849,-0.504737267,-1.59020575,-0.925867754,1.66838666,1.90807367,-193.010553,96.478114,94.9089858,-4.11811518,-3.43367695,-180.360772,False,False
Ton 2,-3.9,266.067361,-42.5750669,7.86117016,-11.8290689,-6.84357672,-0.484991021,-1.60000631,-0.935482731,1.67189608,1.91581952,-193.142504,95.1808079,93.1216512,-4.08060093,-3.48461681,-179.932762,False,False
Ton 2,-4,266.097344,-42.6340551,7.88348593,-11.8686545,-6.89279102,-0.465231728,-1.6096744,-0.944915419,1.67555729,1.9236313,-193.26571,93.8873677,91.3441443,-4.04354914,-3.53476569,-179.495318,False,False
Ton 2,-4.1,266.126373,-42.6912216,7.90577357,-11.9070634,-6.94043357,-0.445460278,-1.6192104,-0.954166814,1.67936809,1.93150498,-193.380256,92.597778,89.5762961,-4.00695372,-3.5841384,-179.048762,False,False
Ton 2,-4.2,266.154456,-42.7465905,7.92803164,-11.9443097,-6.98652616,-0.425677552,-1.6286147,-0.963237896,1.68332624,1.93943664,-193.486228,91.3120193,87.8179391,-3.97080861,-3.63274965,-178.593403,False,False
Ton 2,-4.3,266.181604,-42.8001857,7.95025874,-11.980407,-7.03109017,-0.405884423,-1.63788771,-0.972129626,1.6874295,1.94742248,-193.583709,90.0300687,86.0689074,-3.93510781,-3.68061399,-178.129544,False,False
Ton 2,-4.4,266.207827,-42.8520305,7.9724535,-12.0153689,-7.07414662,-0.386081756,-1.6470298,-0.980842952,1.69167559,1.95545882,-193.67278,88.7519003,84.3290369,-3.89984539,-3.72774584,-177.657473,False,False
Ton 2,-4.5,266.233134,-42.902148,7.9946146,-12.0492088,-7.11571612,-0.366270406,-1.65604137,-0.9893788,1.69606221,1.96354206,-193.753522,87.4774851,82.5981652,-3.86501549,-3.77415946,-177.177476,False,False
Ton 2,-4.6,266.257534,-42.9505608,8.01674076,-12.0819397,-7.15581895,-0.34645122,-1.66492279,-0.997738083,1.70058705,1.97166874,-193.826013,86.2067918,80.8761323,-3.83061232,-3.81986893,-176.689823,False,False
Ton 2,-4.7,266.281039,-42.9972909,8.0388307,-12.1135749,-7.19447497,-0.32662504,-1.67367444,-1.0059217,1.7052478,1.97983547,-193.890331,84.9397868,79.16278,-3.79663013,-3.86488818,-176.194781,False,False
Ton 2,-4.8,266.303656,-43.0423604,8.06088322,-12.144127,-7.2317037,-0.306792696,-1.6822967,-1.01393052,1.71004209,1.988039,-193.94655,83.6764344,77.4579524,-3.76306326,-3.90923094,-175.692607,False,False
Ton 2,-4.9,266.325396,-43.0857907,8.08289712,-12.1736088,-7.2675243,-0.286955014,-1.69078994,-1.02176542,1.71496758,1.99627613,-193.994746,82.4166971,75.7614959,-3.72990611,-3.95291078,-175.183549,False,False
Ton 2,-5,266.346267,-43.1276028,8.10487124,-12.2020328,-7.30195558,-0.26711281,-1.69915453,-1.02942724,1.72002191,2.0045438,-194.034992,81.1605359,74.0732592,-3.69715315,-3.99594107,-174.667849,False,False
Ton 2,-5.1,266.36628,-43.1678174,8.12680444,-12.2294112,-7.33501598,-0.247266893,-1.70739084,-1.03691682,1.72520271,2.01283901,-194.067358,79.9079101,72.3930932,-3.66479891,-4.03833499,-174.145742,False,False
Ton 2,-5.2,266.385442,-43.2064549,8.14869563,-12.2557562,-7.36672362,-0.227418067,-1.71549921,-1.04423497,1.73050759,2.02115887,-194.091916,78.6587779,70.720851,-3.632838,-4.08010553,-173.617455,False,False
Ton 2,-5.3,266.403764,-43.2435353,8.17054373,-12.2810798,-7.39709627,-0.207567124,-1.72348001,-1.0513825,1.73593418,2.02950059,-194.108735,77.4130962,69.0563883,-3.60126509,-4.12126549,-173.083209,False,False
Ton 2,-5.4,266.421255,-43.2790782,8.1923477,-12.3053938,-7.42615136,-0.187714855,-1.73133359,-1.05836019,1.74148008,2.03786142,-194.117883,76.170821,67.3995628,-3.57007489,-4.16182747,-172.543217,False,False
Ton 2,-5.5,266.437922,-43.3131029,8.21410652,-12.3287097,-7.45390601,-0.16786204,-1.73906029,-1.06516883,1.74714291,2.04623874,-194.119426,74.9319073,65.7502346,-3.53926223,-4.20180389,-171.997687,False,False
Ton 2,-5.6,266.453776,-43.3456282,8.23581921,-12.351039,-7.48037701,-0.148009452,-1.74666046,-1.07180916,1.75292029,2.05463,-194.113431,73.6963093,64.1082659,-3.50882195,-4.24120696,-171.446822,False,False
Ton 2,-5.7,266.468825,-43.3766728,8.25748479,-12.372393,-7.50558083,-0.128157861,-1.75413443,-1.07828193,1.75880983,2.06303271,-194.099961,72.4639806,62.4735212,-3.47874899,-4.2800487,-170.890815,False,False
Ton 2,-5.8,266.483077,-43.4062549,8.27910232,-12.3927828,-7.52953363,-0.108308027,-1.76148253,-1.08458788,1.76480915,2.07144447,-194.07908,71.2348739,60.8458673,-3.44903833,-4.31834092,-170.329858,False,False
Ton 2,-5.9,266.496542,-43.4343923,8.30067089,-12.4122193,-7.55225126,-0.0884607043,-1.76870509,-1.09072773,1.77091586,2.07986297,-194.050851,70.0089416,59.2251728,-3.41968503,-4.35609528,-169.764135,False,False
Ton 2,-6,266.509227,-43.4611028,8.32218961,-12.4307133,-7.57374928,-0.0686166421,-1.77580243,-1.09670218,1.77712761,2.08828595,-194.015333,68.7861355,57.6113087,-3.3906842,-4.39332319,-169.193825,False,False
Ton 2,-6.1,266.521142,-43.4864035,8.34365761,-12.4482755,-7.59404293,-0.0487765825,-1.78277488,-1.10251192,1.78344201,2.09671122,-193.972587,67.5664071,56.0041479,-3.36203102,-4.43003593,-168.619101,False,False
