cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
VVV-CL160,0,271.7375,-20.011111,6.8,10.1509445,0.302162597,-1.42843679,1.19842284,0.039530832,1.86457742,1.86499642,343.668285,-206.869389,-198.081723,-2.025,-16.766,245.28,False,False
VVV-CL160,-0.1,271.696014,-19.7281465,6.76932116,10.3790305,0.474122848,-1.46352068,1.21950718,0.0597750399,1.9050172,1.90595477,342.427204,-205.454479,-197.792651,-2.01660922,-16.8306088,241.688181,False,False
VVV-CL160,-0.2,271.653857,-19.4439764,6.73890987,10.6077959,0.647332614,-1.49847778,1.2404474,0.0799842445,1.945288,1.94693166,341.188896,-204.051217,-197.398663,-2.01111121,-16.8933199,238.096081,False,False
VVV-CL160,-0.3,271.61111,-19.158644,6.70876592,10.8372435,0.821702101,-1.53330842,1.26124473,0.100148176,1.98538988,1.98791414,339.954317,-202.660403,-196.908863,-2.00831211,-16.9542564,234.505656,False,False
VVV-CL160,-0.4,271.567848,-18.8721893,6.6788889,11.0673768,0.997147896,-1.56801302,1.2819005,0.120257522,2.02532311,2.02889023,338.724331,-201.282732,-196.332812,-2.00799939,-17.0135501,230.918648,False,False
VVV-CL160,-0.5,271.524142,-18.5846482,6.64927822,11.2982001,1.1735934,-1.6025921,1.30241606,0.140303955,2.06508814,2.06984884,337.49971,-199.918796,-195.680155,-2.00995188,-17.0713354,227.336575,False,False
VVV-CL160,-0.6,271.480052,-18.2960529,6.61993319,11.5297181,1.35096895,-1.63704624,1.32279286,0.160280127,2.10468557,2.11077973,336.281134,-198.569087,-194.960309,-2.01394838,-17.1277447,223.760739,False,False
VVV-CL160,-0.7,271.435635,-18.0064318,6.59085298,11.7619365,1.52921171,-1.67137609,1.34303236,0.180179627,2.14411612,2.15167345,335.069193,-197.234007,-194.182228,-2.01977447,-17.1829041,220.192236,False,False
VVV-CL160,-0.8,271.390941,-17.71581,6.56203667,11.9948611,1.70826536,-1.70558235,1.36313609,0.199996932,2.18338067,2.19252136,333.864395,-195.913868,-193.35424,-2.02722739,-17.2369313,216.63197,False,False
VVV-CL160,-0.9,271.346012,-17.4242091,6.53348324,12.2284983,1.88807964,-1.73966578,1.38310558,0.219727333,2.22248016,2.23331551,332.667168,-194.608907,-192.483959,-2.03611906,-17.2899337,213.08068,False,False
VVV-CL160,-1,271.300887,-17.1316478,6.50519164,12.4628551,2.06860991,-1.77362717,1.40294239,0.239366862,2.26141564,2.27404864,331.47787,-193.319288,-191.578247,-2.04627768,-17.3420074,209.53895,False,False
VVV-CL160,-1.1,271.255598,-16.8381423,6.47716074,12.6979383,2.24981654,-1.80746735,1.4226481,0.258912215,2.30018822,2.31471411,330.296793,-192.045116,-190.643219,-2.05754814,-17.3932376,206.007235,False,False
VVV-CL160,-1.2,271.210177,-16.5437062,6.4493894,12.9337553,2.43166443,-1.84118717,1.4422243,0.278360676,2.33879908,2.35530588,329.124175,-190.786438,-189.684277,-2.06979166,-17.4436985,202.485878,False,False
VVV-CL160,-1.3,271.164646,-16.2483514,6.42187644,13.1703137,2.61412246,-1.87478751,1.46167255,0.297710046,2.37724943,2.39581847,327.960199,-189.543256,-188.706158,-2.08288495,-17.4934539,198.975126,False,False
VVV-CL160,-1.4,271.119029,-15.9520877,6.39462066,13.4076211,2.79716303,-1.90826925,1.48099446,0.31695858,2.41554054,2.43624688,326.805006,-188.315529,-187.712994,-2.09671897,-17.5425587,195.475146,False,False
VVV-CL160,-1.5,271.073343,-15.6549234,6.36762086,13.6456854,2.9807616,-1.9416333,1.5001916,0.336104928,2.45367371,2.47658661,325.658698,-187.103184,-186.708374,-2.11119769,-17.5910586,191.986037,False,False
VVV-CL160,-1.6,271.027605,-15.3568656,6.34087582,13.8845143,3.1648963,-1.97488057,1.51926552,0.355148081,2.49165026,2.51683356,324.521342,-185.906115,-185.695401,-2.1262367,-17.6389921,188.507842,False,False
VVV-CL160,-1.7,270.981829,-15.0579202,6.31438434,14.1241158,3.34954757,-2.00801199,1.5382178,0.374087324,2.52947152,2.55698406,323.392977,-184.724194,-184.676755,-2.14176194,-17.6863907,185.040558,False,False
VVV-CL160,-1.8,270.936026,-14.7580923,6.28814523,14.3644978,3.53469785,-2.04102847,1.55704997,0.392922199,2.56713884,2.59703478,322.273616,-183.557271,-183.654739,-2.15770846,-17.7332797,181.584146,False,False
VVV-CL160,-1.9,270.890207,-14.457386,6.26215728,14.6056684,3.72033129,-2.07393093,1.57576356,0.411652464,2.60465358,2.63698275,321.163249,-182.405177,-182.631333,-2.17401936,-17.7796792,178.138533,False,False
VVV-CL160,-2,270.84438,-14.1558049,6.23641932,14.8476353,3.9064335,-2.10672029,1.59436007,0.430278067,2.64201711,2.67682529,320.06185,-181.267733,-181.608233,-2.19064474,-17.8256046,174.703625,False,False
VVV-CL160,-2.1,270.798553,-13.8533521,6.21093019,15.0904066,4.09299136,-2.13939746,1.61284099,0.448799114,2.67923078,2.71656,318.969375,-180.144746,-180.58689,-2.20754081,-17.8710671,171.279308,False,False
VVV-CL160,-2.2,270.75273,-13.5500301,6.18568873,15.3339899,4.27999281,-2.17196336,1.6312078,0.467215851,2.71629596,2.75618475,317.885768,-179.036013,-179.56854,-2.22466916,-17.9160744,167.865452,False,False
VVV-CL160,-2.3,270.706918,-13.2458412,6.16069382,15.578393,4.46742668,-2.20441889,1.64946193,0.485528638,2.753214,2.79569765,316.810961,-177.941327,-178.554237,-2.24199601,-17.9606311,164.461917,False,False
VVV-CL160,-2.4,270.661121,-12.9407875,6.13594435,15.8236236,4.65528257,-2.23676494,1.66760482,0.503737937,2.78998625,2.83509703,315.744877,-176.860474,-177.544875,-2.25949164,-18.0047387,161.068554,False,False
VVV-CL160,-2.5,270.615342,-12.6348709,6.11143923,16.0696893,4.84355071,-2.26900241,1.68563787,0.521844293,2.82661405,2.8743814,314.68743,-175.793238,-176.541209,-2.27712989,-18.0483966,157.68521,False,False
VVV-CL160,-2.6,270.569584,-12.328093,6.08717738,16.3165974,5.03222185,-2.30113217,1.70356246,0.539848322,2.86309872,2.91354947,313.63853,-174.739398,-175.543875,-2.29488764,-18.091602,154.311728,False,False
VVV-CL160,-2.7,270.523848,-12.0204557,6.06315776,16.5643553,5.22128716,-2.33315508,1.72137994,0.557750699,2.89944159,2.95260011,312.598078,-173.698733,-174.553408,-2.3127445,-18.1343502,150.94795,False,False
VVV-CL160,-2.8,270.478137,-11.7119605,6.03937934,16.8129701,5.41073818,-2.36507202,1.73909166,0.57555215,2.93564396,2.99153234,311.565974,-172.671023,-173.57025,-2.33068238,-18.1766348,147.593719,False,False
VVV-CL160,-2.9,270.432451,-11.4026092,6.01584111,17.062449,5.60056667,-2.39688383,1.75669893,0.593253442,2.97170712,3.03034533,310.542113,-171.656047,-172.594769,-2.34868529,-18.2184483,144.24888,False,False
