cluster_id,t_Myr,RA_deg,Dec_deg,distance_kpc,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,R_gc_kpc,r_gc_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_cosdec_masyr,pm_dec_masyr,RV_kms,in_bdbs_sky,in_bdbs_inner_bulge
Whiting 1,0,30.737499,-3.252778,30.59,161.617571,-60.6358731,-22.4248041,4.73044072,-26.6024993,22.9183094,35.1132721,248.742565,26.2718739,-8.05173747,-0.244,-2.019,-130.41,False,False
Whiting 1,-0.1,30.7755653,-3.23166385,30.600766,161.657892,-60.5971586,-22.45024,4.72775316,-26.6016718,22.9426442,35.1285335,248.677305,26.2856564,-8.1305137,-0.243127063,-2.0178881,-130.4401,False,False
Whiting 1,-0.2,30.8135999,-3.21056534,30.6115392,161.698086,-60.5584628,-22.4756691,4.72506419,-26.6008362,22.9669749,35.1437964,248.612031,26.2994184,-8.20921597,-0.24225576,-2.01677667,-130.470049,False,False
Whiting 1,-0.3,30.8516031,-3.18948248,30.6223196,161.738152,-60.5197858,-22.5010917,4.72237382,-26.5999926,22.9913014,35.1590607,248.546742,26.3131601,-8.28784436,-0.241386088,-2.01566571,-130.499848,False,False
Whiting 1,-0.4,30.8895748,-3.16841525,30.6331073,161.778092,-60.4811276,-22.5265075,4.71968204,-26.599141,23.0156238,35.1743265,248.481438,26.3268814,-8.36639893,-0.240518047,-2.01455524,-130.529497,False,False
Whiting 1,-0.5,30.927515,-3.14736367,30.6439022,161.817906,-60.4424884,-22.5519167,4.71698885,-26.5982814,23.039942,35.1895936,248.41612,26.3405825,-8.44487973,-0.239651633,-2.01344526,-130.558996,False,False
Whiting 1,-0.6,30.9654238,-3.12632773,30.6547042,161.857594,-60.4038682,-22.5773191,4.71429427,-26.5974137,23.0642561,35.2048622,248.350788,26.3542632,-8.52328685,-0.238786844,-2.01233575,-130.588345,False,False
Whiting 1,-0.7,31.0033011,-3.10530744,30.6655135,161.897158,-60.365267,-22.6027149,4.71159829,-26.596538,23.088566,35.2201322,248.285441,26.3679236,-8.60162034,-0.237923679,-2.01122674,-130.617545,False,False
Whiting 1,-0.8,31.0411472,-3.08430279,30.6763299,161.936597,-60.3266849,-22.628104,4.70890091,-26.5956543,23.1128717,35.2354036,248.22008,26.3815638,-8.67988027,-0.237062135,-2.01011821,-130.646596,False,False
Whiting 1,-0.9,31.0789618,-3.0633138,30.6871534,161.975913,-60.2881219,-22.6534865,4.70620214,-26.5947626,23.1371733,35.2506764,248.154705,26.3951838,-8.75806671,-0.236202209,-2.00901018,-130.675498,False,False
Whiting 1,-1,31.1167452,-3.04234046,30.6979841,162.015106,-60.2495781,-22.6788622,4.70350198,-26.5938629,23.1614706,35.2659505,248.089315,26.4087836,-8.83617971,-0.2353439,-2.00790265,-130.704251,False,False
Whiting 1,-1.1,31.1544973,-3.02138277,30.7088218,162.054176,-60.2110536,-22.7042313,4.70080042,-26.5929552,23.1857638,35.281226,248.023912,26.4223632,-8.91421935,-0.234487206,-2.00679561,-130.732856,False,False
Whiting 1,-1.2,31.1922182,-3.00044073,30.7196667,162.093124,-60.1725483,-22.7295936,4.69809748,-26.5920396,23.2100527,35.2965029,247.958495,26.4359226,-8.9921857,-0.233632124,-2.00568907,-130.761313,False,False
Whiting 1,-1.3,31.2299078,-2.97951435,30.7305186,162.131951,-60.1340624,-22.7549493,4.69539316,-26.5911159,23.2343374,35.3117811,247.893064,26.4494619,-9.07007881,-0.232778653,-2.00458303,-130.789622,False,False
Whiting 1,-1.4,31.2675663,-2.95860362,30.7413775,162.170657,-60.095596,-22.7802983,4.69268745,-26.5901844,23.2586179,35.3270606,247.827619,26.4629811,-9.14789875,-0.231926789,-2.0034775,-130.817783,False,False
Whiting 1,-1.5,31.3051937,-2.93770855,30.7522435,162.209243,-60.0571489,-22.8056406,4.68998035,-26.5892448,23.2828941,35.3423414,247.76216,26.4764801,-9.22564559,-0.231076532,-2.00237247,-130.845797,False,False
Whiting 1,-1.6,31.3427899,-2.91682913,30.7631166,162.24771,-60.0187214,-22.8309761,4.68727188,-26.5882973,23.3071661,35.3576236,247.696688,26.4899592,-9.30331939,-0.230227877,-2.00126795,-130.873663,False,False
Whiting 1,-1.7,31.380355,-2.89596537,30.7739966,162.286057,-59.9803134,-22.856305,4.68456203,-26.5873419,23.3314338,35.372907,247.631202,26.5034181,-9.38092022,-0.229380825,-2.00016395,-130.901383,False,False
Whiting 1,-1.8,31.4178892,-2.87511727,30.7848836,162.324285,-59.941925,-22.8816272,4.68185081,-26.5863785,23.3556972,35.3881917,247.565703,26.5168571,-9.45844814,-0.228535372,-1.99906045,-130.928956,False,False
Whiting 1,-1.9,31.4553922,-2.85428483,30.7957776,162.362396,-59.9035563,-22.9069427,4.67913821,-26.5854072,23.3799564,35.4034778,247.500191,26.530276,-9.53590323,-0.227691515,-1.99795748,-130.956383,False,False
Whiting 1,-2,31.4928644,-2.83346806,30.8066785,162.400389,-59.8652073,-22.9322515,4.67642424,-26.584428,23.4042112,35.4187651,247.434665,26.543675,-9.61328553,-0.226849254,-1.99685502,-130.983663,False,False
Whiting 1,-2.1,31.5303055,-2.81266694,30.8175864,162.438265,-59.826878,-22.9575536,4.67370891,-26.5834409,23.4284618,35.4340536,247.369126,26.557054,-9.69059513,-0.226008586,-1.99575308,-131.010798,False,False
