fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,BDBS_match,photometry_ok,gaia_ok,phot_g_mean_mag,umag,gmag,rmag,imag,zmag,ymag,u0,g0,r0,i0,z0,y0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RVraw,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeHDP_W2,FeHDP_W3,FeHDP_W3_minus_W2,FeHDP_flag,FeHDP_quality,Teff_avg_SP,Teff_std_SP,logg_avg_SP,logg_stddex_SP,MH_avg_SP,MH_stddex_SP,FeH_avg_SP,FeH_stddex_SP,aFe_avg_SP,aFe_stddex_SP,SP_FeH_N,SP_aFe_N,SP_quality,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_auto_rejected_bands,SED_phot_mismatch_bool,SED_best_Teff,SED_best_logg,SED_best_FeH,SED_best_aFe,dTeff_SED_minus_SP,dlogg_SED_minus_SP,dFeH_SED_minus_SP,daFe_SED_minus_SP,SED_agreement,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,aFe_adopted,e_aFe_adopted,aFe_source,chem_window_adopted,high_alpha_window,table_use_flag
1,273.957,-31.85,4045881629742634496,149217344,572800,matched,TRUE,TRUE,16.362,20.046,17.557,16.508,15.937,15.616,15.413,18.484,16.31,15.593,15.26,15.095,14.998,-3.253,0.071,-5.962,0.056,0.028,0.074,106.328,92.974,10.991,16.5,usable,FALSE,1.02,3.859,2.159,6.017,-0.521,0.061,-0.47725,-0.56413,-0.08688,ok,good,4691.5,322.3,3.233,1.043,-0.817,0.259,-0.895,0.324,0.146,0.409,2,2,usable,modeled,TRUE,6,0.411,,FALSE,4500,3,-1,0.4,-191.5,-0.233,-0.105,0.254,consistent,4691.5,322.3,3.233,1.043,-0.895,0.324,SP_Ace_primary_CaT_DP_disagrees,0.146,0.409,SP_Ace,TRUE,FALSE,secondary
2,273.807,-31.831,4045885345012034816,148850117,535243,matched,TRUE,TRUE,15.727,20,17.048,15.879,15.269,14.917,14.675,18.293,15.685,14.879,14.529,14.347,14.221,-3.207,0.049,-8.317,0.037,0.123,0.046,-23.186,-36.539,4.282,15.9,usable,TRUE,1.651,3.693,2.826,6.519,-0.375,0.1,-0.445814,-0.304272,0.141542,ok,good,4558,197,1.345,1.009,-0.582,0.228,-0.663,0.208,0.132,0.624,2,2,usable,modeled,TRUE,6,0.94,,FALSE,4500,1.5,-1,0.4,-58,0.155,-0.337,0.268,consistent,4558,197,1.345,1.009,-0.474,0.122,SP_Ace+CaT_DP_consensus,0.132,0.624,SP_Ace,FALSE,FALSE,secondary
3,273.991,-31.827,4045905136225533312,149297241,576699,matched,TRUE,TRUE,15.723,19.64,16.908,15.841,15.29,14.962,14.757,18.292,15.832,15.051,14.705,14.512,14.399,-4.347,0.053,-8.242,0.04,-0.002,0.062,-120.729,-134.082,3.401,31,good,FALSE,1.367,3.426,2.728,6.154,-0.554,0.027,-0.573231,-0.534497,0.038734,ok,good,4556.5,111.2,2.738,0.623,-0.47,0.14,-0.692,0.123,0.328,0.3,2,2,good,modeled,TRUE,5,0.565,u,FALSE,4500,2,-1,0.4,-56.5,-0.738,-0.308,0.072,consistent,4556.5,111.2,2.738,0.623,-0.636,0.095,SP_Ace+CaT_DP_consensus,0.328,0.3,SP_Ace,TRUE,TRUE,primary
4,273.922,-31.827,4045884692176778752,149132618,567026,matched,TRUE,TRUE,16.557,20.3,17.812,16.703,16.097,15.736,15.537,18.619,16.47,15.718,15.368,15.175,15.091,-4.771,0.074,-6.515,0.055,0.132,0.082,57.716,44.362,3.598,25.8,good,FALSE,1.516,3.067,1.555,4.622,-0.9,0.066,-0.946692,-0.85402,0.092672,ok,good,5333,333.4,3.31,0.438,-0.46,0.194,-0.46,0.184,0,0.924,2,2,weak,modeled,FALSE,5,3.16,u,FALSE,4750,2.5,-0.25,0.1,-583,-0.81,0.21,0.1,check,5333,333.4,3.31,0.438,-0.46,0.184,SP_Ace_primary_CaT_DP_disagrees,0,0.924,SP_Ace,FALSE,FALSE,RV_CaT_only
5,273.98,-31.863,4045881427940969344,149271708,575629,matched,TRUE,TRUE,16.232,19.801,17.424,16.384,15.814,15.456,15.27,18.383,16.292,15.553,15.199,14.983,14.893,-3.217,0.062,-8.2,0.045,0.166,0.069,56.742,43.388,4.302,20.7,good,FALSE,1.34,2.835,2.02,4.854,-0.911,0.02,-0.925862,-0.896902,0.02896,ok,good,5859,0,1.48,0,-0.14,0,-0.14,0,0,0,2,2,good,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,5859,100,1.48,0.2,-0.14,0.12,SP_Ace_primary_CaT_DP_disagrees,0,0.1,SP_Ace,FALSE,FALSE,primary
6,273.711,-31.952,4045877029903806080,148601608,495286,matched,TRUE,TRUE,16.62,20.316,17.955,16.723,16.104,15.786,15.578,18.525,16.525,15.674,15.327,15.189,15.102,-3.544,0.076,-8.4,0.058,0.094,0.059,157.718,144.365,5.669,20.3,good,FALSE,0.996,2.7,2.08,4.78,-0.936,0.068,-0.887925,-0.983493,-0.095568,ok,good,5214.5,191.9,3.587,0.536,-0.18,0.121,-0.239,0.211,0.091,0.485,2,2,good,modeled,TRUE,5,0.14,u,FALSE,4500,3,0,0,-714.5,-0.587,0.239,-0.091,check,5214.5,191.9,3.587,0.536,-0.239,0.211,SP_Ace_primary_CaT_DP_disagrees,0.091,0.485,SP_Ace,FALSE,FALSE,secondary
8,273.854,-31.851,4045884412881446912,148964829,549515,matched,TRUE,TRUE,16.134,20.231,17.392,16.255,15.669,15.319,15.13,18.584,16.077,15.29,14.955,14.77,14.692,-4.836,0.057,-7.032,0.044,0.127,0.061,-30.235,-43.589,3.841,25.2,good,TRUE,1.317,2.979,2.645,5.623,-0.67,0.015,-0.680028,-0.659394,0.020634,ok,good,4602,99.8,2.853,0.368,-0.445,0.114,-0.544,0.116,0.147,0.281,2,2,good,modeled,TRUE,5,0.136,u,FALSE,4500,2,-1,0.4,-102,-0.853,-0.456,0.253,check,4602,100,2.853,0.368,-0.593,0.094,SP_Ace+CaT_DP_consensus,0.147,0.281,SP_Ace,TRUE,FALSE,secondary
9,273.734,-31.847,4048886217069561600,148660316,505563,matched,TRUE,TRUE,16.129,19.67,17.278,16.251,15.707,15.364,15.159,18.088,16.015,15.324,15.021,14.836,14.739,-3.898,0.063,-7.079,0.047,0.187,0.049,-44.281,-57.635,4.289,31,good,TRUE,1.377,2.371,2.285,4.657,-1.001,0.03,-1.021915,-0.979561,0.042354,ok,good,4906.5,101.6,3.656,0.33,-0.436,0.118,-0.624,0.108,0.278,0.207,2,2,good,modeled,TRUE,6,0.134,,FALSE,4500,3,-1,0.4,-406.5,-0.656,-0.376,0.122,check,4906.5,101.6,3.656,0.33,-0.624,0.12,SP_Ace_primary_CaT_DP_disagrees,0.278,0.207,SP_Ace,TRUE,TRUE,secondary
12,273.755,-31.837,4048886285789730944,148713549,514330,matched,TRUE,TRUE,16.382,20.117,17.634,16.51,15.911,15.585,15.386,18.325,16.203,15.46,15.134,14.987,14.91,-4.513,0.068,-8.042,0.052,0.01,0.058,45.845,32.492,3.687,31.4,good,FALSE,1.272,3.009,2.428,5.437,-0.691,0.003,-0.693407,-0.689063,0.004344,ok,good,5073.5,127.9,1.847,0.491,-0.569,0.124,-0.799,0.217,0.341,0.397,2,2,good,modeled,TRUE,5,0.032,u,FALSE,4500,2.5,-0.75,0.3,-573.5,0.653,0.049,-0.041,check,5073.5,127.9,1.847,0.491,-0.726,0.123,SP_Ace+CaT_DP_consensus,0.341,0.397,SP_Ace,TRUE,TRUE,secondary
13,273.698,-31.867,4048885809048563200,148565966,488575,matched,TRUE,TRUE,17.129,20.686,18.289,17.236,16.673,16.354,16.183,19.07,16.999,16.29,15.972,15.815,15.754,-4.055,0.093,-7.415,0.07,0.132,0.078,159.572,146.219,3.54,19.5,usable,FALSE,1.135,3.155,2.107,5.262,-0.608,0.032,-0.585734,-0.630984,-0.04525,ok,good,5003,227,3.07,0.734,-0.455,0.255,-0.74,0.28,0.492,0.867,1,1,weak,modeled,TRUE,6,1.173,,FALSE,4500,3,-1,0.4,-503,-0.07,-0.26,-0.092,check,5003,227,3.07,0.734,-0.638,0.132,SP_Ace+CaT_DP_consensus,0.492,0.867,SP_Ace,TRUE,TRUE,RV_CaT_only
