fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
1,273.957,-31.850,4045881629742634496,149217344,572800,True,True,16.362,15.2600,16.3100,15.5930,-3.253,0.071,-5.962,0.056,0.028,0.074,92.974,10.991,16.500,usable,False,1.020,3.859,2.159,6.017,4691.5,322.3,3.233,1.043,-0.895,0.324,SP_Ace_primary_CaT_DP_disagrees,-0.521,0.061,-0.895,0.324,0.146,0.409,SP_Ace,modeled,True,6.0,0.411,consistent,True,False,secondary
2,273.807,-31.831,4045885345012034816,148850117,535243,True,True,15.727,14.5290,15.6850,14.8790,-3.207,0.049,-8.317,0.037,0.123,0.046,-36.539,4.282,15.900,usable,True,1.651,3.693,2.826,6.519,4558.0,197.0,1.345,1.009,-0.474,0.122,SP_Ace+CaT_DP_consensus,-0.375,0.1,-0.663,0.208,0.132,0.624,SP_Ace,modeled,True,6.0,0.94,consistent,False,False,secondary
3,273.991,-31.827,4045905136225533312,149297241,576699,True,True,15.723,14.7050,15.8320,15.0510,-4.347,0.053,-8.242,0.040,-0.002,0.062,-134.082,3.401,31.000,good,False,1.367,3.426,2.728,6.154,4556.5,111.2,2.738,0.623,-0.636,0.095,SP_Ace+CaT_DP_consensus,-0.554,0.027,-0.692,0.123,0.328,0.3,SP_Ace,modeled,True,5.0,0.565,consistent,True,True,primary
4,273.922,-31.827,4045884692176778752,149132618,567026,True,True,16.557,15.3680,16.4700,15.7180,-4.771,0.074,-6.515,0.055,0.132,0.082,44.362,3.598,25.800,good,False,1.516,3.067,1.555,4.622,5333.0,333.4,3.31,0.438,-0.46,0.184,SP_Ace_primary_CaT_DP_disagrees,-0.9,0.066,-0.46,0.184,0.0,0.924,SP_Ace,modeled,False,5.0,3.16,check,False,False,RV_CaT_only
5,273.980,-31.863,4045881427940969344,149271708,575629,True,True,16.232,15.1990,16.2920,15.5530,-3.217,0.062,-8.200,0.045,0.166,0.069,43.388,4.302,20.700,good,False,1.340,2.835,2.020,4.854,5859.0,100.0,1.48,0.2,-0.14,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.911,0.02,-0.14,0.0,0.0,0.1,SP_Ace,failed,False,,,no_SED,False,False,primary
6,273.711,-31.952,4045877029903806080,148601608,495286,True,True,16.620,15.3270,16.5250,15.6740,-3.544,0.076,-8.400,0.058,0.094,0.059,144.365,5.669,20.300,good,False,0.996,2.700,2.080,4.780,5214.5,191.9,3.587,0.536,-0.239,0.211,SP_Ace_primary_CaT_DP_disagrees,-0.936,0.068,-0.239,0.211,0.091,0.485,SP_Ace,modeled,True,5.0,0.14,check,False,False,secondary
8,273.854,-31.851,4045884412881446912,148964829,549515,True,True,16.134,14.9550,16.0770,15.2900,-4.836,0.057,-7.032,0.044,0.127,0.061,-43.589,3.841,25.200,good,True,1.317,2.979,2.645,5.623,4602.0,100.0,2.853,0.368,-0.593,0.094,SP_Ace+CaT_DP_consensus,-0.67,0.015,-0.544,0.116,0.147,0.281,SP_Ace,modeled,True,5.0,0.136,check,True,False,secondary
9,273.734,-31.847,4048886217069561600,148660316,505563,True,True,16.129,15.0210,16.0150,15.3240,-3.898,0.063,-7.079,0.047,0.187,0.049,-57.635,4.289,31.000,good,True,1.377,2.371,2.285,4.657,4906.5,101.6,3.656,0.33,-0.624,0.12,SP_Ace_primary_CaT_DP_disagrees,-1.001,0.03,-0.624,0.108,0.278,0.207,SP_Ace,modeled,True,6.0,0.134,check,True,True,secondary
12,273.755,-31.837,4048886285789730944,148713549,514330,True,True,16.382,15.1340,16.2030,15.4600,-4.513,0.068,-8.042,0.052,0.010,0.058,32.492,3.687,31.400,good,False,1.272,3.009,2.428,5.437,5073.5,127.9,1.847,0.491,-0.726,0.123,SP_Ace+CaT_DP_consensus,-0.691,0.003,-0.799,0.217,0.341,0.397,SP_Ace,modeled,True,5.0,0.032,check,True,True,secondary
13,273.698,-31.867,4048885809048563200,148565966,488575,True,True,17.129,15.9720,16.9990,16.2900,-4.055,0.093,-7.415,0.070,0.132,0.078,146.219,3.540,19.500,usable,False,1.135,3.155,2.107,5.262,5003.0,227.0,3.07,0.734,-0.638,0.132,SP_Ace+CaT_DP_consensus,-0.608,0.032,-0.74,0.28,0.492,0.867,SP_Ace,modeled,True,6.0,1.173,check,True,True,RV_CaT_only
