fiberid	RVraw	RV	e_RV	S/N	CaT1	CaT2	CaT3	SumEW23
1	106.328	92.974	10.991	16.5	1.020	3.859	2.159	6.017
2	-23.186	-36.539	4.282	15.9	1.651	3.693	2.826	6.519
3	-120.729	-134.082	3.401	31.0	1.367	3.426	2.728	6.154
4	57.716	44.362	3.598	25.8	1.516	3.067	1.555	4.622
5	56.742	43.388	4.302	20.7	1.340	2.835	2.020	4.854
6	157.718	144.365	5.669	20.3	0.996	2.700	2.080	4.780
8	-30.235	-43.589	3.841	25.2	1.317	2.979	2.645	5.623
9	-44.281	-57.635	4.289	31.0	1.377	2.371	2.285	4.657
12	45.845	32.492	3.687	31.4	1.272	3.009	2.428	5.437
13	159.572	146.219	3.540	19.5	1.135	3.155	2.107	5.262
14	121.808	108.454	6.138	22.6	1.618	3.689	2.633	6.322
15	36.385	23.031	3.692	27.1	1.603	3.393	2.651	6.044
16	147.522	134.168	3.792	27.4	0.733	2.819	2.153	4.971
17	266.214	252.860	3.259	32.4	1.462	3.089	2.665	5.754
18	-34.184	-47.537	3.538	16.8	0.672	1.978	1.527	3.505
19	-35.374	-48.728	3.255	29.1	1.168	2.706	2.029	4.735
20	-72.183	-85.536	3.805	24.1	1.398	3.070	2.641	5.711
21	52.223	38.869	3.616	24.4	1.169	2.577	1.994	4.571
22	-34.699	-48.052	3.963	23.1	1.431	2.971	2.159	5.130
23	223.566	210.212	3.548	28.6	1.392	2.850	2.388	5.238
24	7.369	-5.985	3.308	17.5	1.213	2.478	2.186	4.664
25	147.191	133.838	4.243	19.5	1.286	3.568	2.458	6.026
28	38.646	25.293	3.233	62.8	1.748	3.528	2.938	6.466
29	190.816	177.462	3.223	32.0	1.360	3.186	2.966	6.152
30	82.483	69.130	3.442	27.0	1.376	3.018	2.537	5.555
31	-37.234	-50.588	4.039	32.3	1.312	2.790	2.467	5.256
32	43.515	30.161	3.428	28.7	1.554	2.802	2.621	5.423
33	-73.055	-86.409	4.883	22.1	1.295	2.367	1.658	4.025
34	-74.187	-87.540	4.094	18.3	1.232	2.585	2.122	4.708
36	118.431	105.077	5.651	35.6	1.750	3.337	2.244	5.580
37	75.435	62.081	3.246	24.5	1.498	2.924	2.380	5.304
38	33.806	20.452	3.982	26.6	0.823	2.123	1.749	3.873
