label,RA_deg,Dec_deg,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_masyr,pm_dec_masyr,RV_kms,release_time_Myr
rotating-bar,276.38457551860193,-25.074547062582795,7.718872490749076,-5.873984268352366,2.253654450895024,1.4066903132525104,-1.0832640677529342,83.88243306501867,-145.090979685355,-76.11599689091457,-2.189724575145349,-7.813143533626019,26.549843680898483,-500.0
rotating-bar,264.2293264905197,-37.986306435449045,351.35421265457285,-3.2424715600786778,1.1684851334124753,-1.4128647667850256,-0.5354382941181756,-137.59014430000414,-122.3467896230154,147.94199299348017,-7.176046956205389,-5.7047365316974235,-101.57795285538043,-500.0
rotating-bar,276.33884900190816,-24.826609562427382,7.921281110940828,-5.723515558029586,2.2451660286601665,1.4428545777347703,-1.0550969172471676,81.94224571022909,-143.59539552677901,-84.87691915671475,-2.018862700096972,-7.870019564537721,24.13062016866453,-499.5
rotating-bar,264.5917855766956,-37.720460727692206,351.7324014185523,-3.3425926737544525,1.1875733783102085,-1.3529565840677307,-0.5525557914294237,-136.41705029031834,-126.93741248558328,146.91416249957783,-7.168684808063288,-5.8088963313837185,-102.47647778041282,-499.5
rotating-bar,276.39943179399535,-24.96889010022876,7.819487940866205,-5.83756276933325,2.2523489812207877,1.4250731970655104,-1.0766531308350193,83.9717904756579,-143.70063763907243,-78.41097180144995,-2.136223754745866,-7.8103660988453925,26.320435155869635,-499.0
rotating-bar,264.26576696298787,-37.897653925735526,351.44462669911053,-3.2193108722138093,1.1036110836572113,-1.3881039707349905,-0.5276435622018018,-138.33778485627678,-125.56895723938274,151.0519604967115,-7.323732012745009,-5.771246978396853,-102.5743736355486,-499.0
rotating-bar,276.2659115418222,-25.906069704221313,6.926168442692567,-6.159340774605573,2.338902600619733,1.2711027082233837,-1.143500042205329,63.10904541606657,-152.3031627628667,-66.11307177349249,-2.356907980232391,-7.761909465309818,9.949921677730108,-498.5
rotating-bar,264.7797961996169,-38.384292082898874,351.2476655293758,-3.8206504140840485,1.086289782141481,-1.4179290488936316,-0.6250735551278429,-136.16304028589272,-127.66926195243502,139.67175928642533,-7.086871991079886,-6.002590357948739,-99.42312047503869,-498.5
rotating-bar,276.3575094020271,-24.737969348392497,8.008252629582401,-5.697923260864321,2.2422137420656467,1.4584864499220196,-1.050289203871868,82.08939230903198,-141.47603506254742,-88.9969032264217,-1.926832032815983,-7.872240561196084,24.35168768109003,-498.0
rotating-bar,263.8437680851243,-38.09869719125543,351.0959830683486,-3.0466354636788884,1.0558600117584618,-1.4380806124927532,-0.497203897531608,-140.43923984379148,-121.83623487585109,153.3592568995622,-7.395942944760235,-5.68090191476315,-102.56924560986275,-498.0
