t_Myr,rJ_kpc,rJ_arcmin,EJcrit_kms2,L1_x,L1_y,L1_z,L2_x,L2_y,L2_z
0.0,0.04665000949008648,15.229906883345826,-253318.70014047212,2.2863605438265475,0.08602632290085108,-1.206477736016198,2.379594590116155,0.08953433575259451,-1.2556759262976203
1.0,0.046246592215917315,15.09820256885828,-253763.67104906897,2.2492566450126263,-0.09010329381356952,-1.1779133385889986,2.341675705122296,-0.09380552216776819,-1.2263122813616796
2.0,0.04590962641400901,14.98819277803442,-254281.93225049382,2.2022766286152646,-0.26578384535360705,-1.140548847386129,2.29343442019904,-0.2767853099590379,-1.1877590446747923
3.0,0.04564722970088788,14.902527682764076,-254859.4595645136,2.14533537463776,-0.44020913329283967,-1.0943430614471272,2.2347665218607977,-0.4585598342013562,-1.1399622017446265
4.0,0.04546675185160654,14.8436067764426,-255489.76343709102,2.0783884947146607,-0.6125289429931672,-1.0392874971586719,2.1656128812201194,-0.6382351386371875,-1.082903603855271
5.0,0.04537449319917656,14.813486939361104,-256165.47325307326,2.001441312953895,-0.7818500546322881,-0.9754131092783442,2.085969593085182,-0.8148704784692885,-1.0166084178847818
6.0,0.045375494491840786,14.8138138330575,-256877.49268725357,1.9145591812494873,-0.9472396077359839,-0.9027980895242982,1.995899235604904,-0.9874830862011232,-0.9411534699131918
7.0,0.04547344408926728,14.845791602502194,-257614.72534716202,1.8178788479777468,-1.1077315999425799,-0.8215768016780425,1.8955428336070053,-1.1550564539364085,-0.8566764613664954
8.0,0.04567072891504357,14.91019951064439,-258363.85898356515,1.7116203152966674,-1.262337301767791,-0.7319500601118581,1.785131830925354,-1.3165527883790806,-0.7633862132133743
9.0,0.04596857221004944,15.007436910986872,-259109.01697390605,1.5960983152896309,-1.4100602586704278,-0.6341975105323269,1.6649990277133977,-1.4709300405956118,-0.6615746839022064
10.0,0.04636687520092076,15.137471556823707,-259830.88190046203,1.4717323618168083,-1.5499164462689852,-0.5286944915052735,1.535586984632038,-1.6171632722811904,-0.5516331644701621
11.0,0.04686205243316194,15.299132898808828,-260504.22366505925,1.3390547135517321,-1.6809607690673316,-0.4159401862391149,1.3974516285869318,-1.7542683958694953,-0.43407956730376496
12.0,0.04743594513078185,15.486492610871498,-261090.90787204177,1.1987175297991224,-1.8023254081299678,-0.2966158377948396,1.2512569989720068,-1.8813208493961175,-0.3096164307440582
13.0,0.04801726983808502,15.676278663607395,-261521.54934368638,1.0515024876435906,-1.9132874813926517,-0.1717225189346328,1.097756122814865,-1.9974494326785892,-0.17927627257271928
14.0,0.04846152427170866,15.821315154072405,-261666.53774563904,0.8982995457737963,-2.0133293841341606,-0.042904496632958124,0.9377916772286636,-2.1018418063815556,-0.044790716022698705
15.0,0.048746118500709465,15.914227109602466,-261389.91911147858,0.7399992179853142,-2.1019985943616324,0.08706426129703565,0.7723733454901699,-2.193958651690019,0.09087322410110477
16.0,0.04884608350150145,15.946862851166014,-260741.0328873062,0.5775459966512946,-2.1790364775004347,0.21486424427256823,0.6025747531793066,-2.2734680444704054,0.22417568420575917
17.0,0.04883077893238378,15.941866342803003,-259889.86170644604,0.4118808518094433,-2.244276163163732,0.3382165669611349,0.4295097672489809,-2.3403334441214967,0.3526925767902275
18.0,0.0488220652261211,15.939021564496628,-258954.13661341363,0.24394278503330188,-2.29764117508902,0.45586223804799036,0.2542518164781892,-2.3947395792079487,0.47512699369932837
19.0,0.048858493838853725,15.95091447482766,-257994.91822158537,0.0746671527525715,-2.339248421661261,0.5670650202522407,0.07778462208848082,-2.4369156682987336,0.5907408636041525
20.0,0.04894287292627878,15.978461857099008,-257045.97328487944,-0.09505799283094427,-2.3693381039292394,0.6713521585375163,-0.0989820182491983,-2.467145165359529,0.6990657979301139
21.0,0.04906992198538551,16.019939776631336,-256128.1809860947,-0.2644085678649975,-2.3882230457160447,0.7684009069451656,-0.27520798967334975,-2.485766889515705,0.799785236050031
22.0,0.04923342984273244,16.07332046120801,-255255.41119138285,-0.43262734702148525,-2.396261652170051,0.8579853880305958,-0.4501219735450251,-2.4931619127430698,0.8926806841777074
23.0,0.049427716558088274,16.136749571209997,-254437.1540593061,-0.5990217384740165,-2.3938406395629674,0.9399480488781913,-0.623018875931557,-2.489739200816152,0.9776028802192669
24.0,0.04964778946807152,16.20859714344477,-253679.89481839174,-0.7629592920000721,-2.3813628413249823,1.0141820948767661,-0.7932554256655497,-2.4759237015219338,1.0544539634150916
25.0,0.04988924326925363,16.287424971109303,-252987.94792622575,-0.9238621681633526,-2.3592384625143463,1.0806195064534123,-0.9602446705108619,-2.4521473420622595,1.1231752502484695
26.0,0.05014814086285982,16.371947702959602,-252364.0217578223,-1.0812012577480536,-2.327878938272771,1.139222309489823,-1.1234500244204986,-2.4188425894894094,1.183738293167022
27.0,0.05042091986016144,16.46100231996925,-251809.62721923037,-1.2344903675900136,-2.2876927946723224,1.1899759764601017,-1.282379314251683,-2.37643807863612,1.2361380993583273
28.0,0.05070432610407417,16.553526432014007,-251325.38410818757,-1.3832807149778097,-2.239083036240447,1.2328843458870338,-1.4365790992677387,-2.32535584177473,1.2803878951960248
29.0,0.05099536766262529,16.64854325804186,-250911.25473739151,-1.5271558570471186,-2.182445681684513,1.2679656840831923,-1.5856294115107548,-2.26600975004271,1.3165150578384164
30.0,0.05129128302365,16.745151242542185,-250566.72332055288,-1.6657271066379586,-2.118169152527176,1.2952496351756915,-1.7291389823722148,-2.1988048572287036,1.3445579573992388
31.0,0.05158951891008835,16.84251681286845,-250290.93390079314,-1.798629440081974,-2.046634289525718,1.3147748764929208,-1.866740969319499,-2.1241374083689184,1.3645635241406149
32.0,0.051887714686617896,16.939869288445486,-250082.79615910907,-1.925517876323866,-1.968214828964152,1.3265873427758428,-1.998089167114546,-2.0423953351269843,1.3765854014776506
33.0,0.05218369149297101,17.03649733310528,-249941.06609478334,-2.046064293967467,-1.883278216194969,1.330738915811924,-2.122854672711495,-1.953959107273697,1.3806825787045816
34.0,0.0524754450712404,17.13174661340543,-249864.40682719063,-2.1599546485337835,-1.7921866688431116,1.3272865013372304,-2.240722967212774,-1.8592028462890688,1.3769184226329387
35.0,0.05276114185482771,17.225018521781582,-249851.43340032,-2.2668865532192943,-1.6952984287282546,1.31629143520736,-2.3513913783467486,-1.7584956350706185,1.3653600475695438
36.0,0.05303911834618318,17.3157699733971,-249900.74434934038,-2.3665671906761414,-1.5929691615522201,1.2978191775971835,-2.454566890682007,-1.6522029787400347,1.3460779799419338
37.0,0.05330788420361967,17.403514413900382,-250010.9418212037,-2.4587115295342885,-1.4855534782123,1.2719392685952053,-2.5499642768577475,-1.5406883871084525,1.3191460886282527
38.0,0.05356612984897558,17.487824303111353,-250180.641144712,-2.543040826836566,-1.3734065624087812,1.2387255321300217,-2.6373045307322496,-1.4243150606763206,1.2846417657730267
39.0,0.053812739861100654,17.56833548761527,-250408.46982297793,-2.619281405924528,-1.2568858968900039,1.1982565289456242,-2.7163135921958825,-1.3034476699751762,1.2426463568024289
40.0,0.05404681400502475,17.6447540661907,-250693.05483774445,-2.6871637085171582,-1.1363530858266515,1.1506162749926097,-2.78672136342298,-1.178454223175044,1.1932458541550754
41.0,0.05426769854254095,17.716866611828184,-251032.99569035543,-2.746421629874664,-1.0121757737982224,1.0958952617116466,-2.848261027729155,-1.0497080194684614,1.1365318895150027
42.0,0.05447503154706303,17.784554965747734,-251426.81835684448,-2.7967921573231735,-0.8847296628690384,1.0341918437380184,-2.9006686952960847,-0.9175896857992862,1.0726030885800903
43.0,0.054668807266765665,17.8478172501413,-251872.90150975718,-2.838015345611036,-0.7544006281987828,0.965614105942822,-2.943683415215288,-0.782489291712629,1.0015668990506568
44.0,0.05484946561210064,17.906797083312302,-252369.35927635658,-2.869834678912239,-0.6215869293487937,0.8902824021250995,-2.9770476106851764,-0.6448085307660856,0.9235420832973484
45.0,0.05501801111822071,17.96182241753781,-252913.85068919923,-2.8919978925477667,-0.48670150838362397,0.8083329070747571,-3.000508012295365,-0.5049629459497206,0.8386622170540718
46.0,0.055176151497361256,18.013450772497084,-253503.2558522292,-2.904258369740173,-0.350174355585488,0.7199228196692014,-3.013817175192224,-0.3633841596778559,0.7470808318358966
47.0,0.05532638164921777,18.062496662280484,-254133.08993519522,-2.906377332110609,-0.21245490366983788,0.6252384790085015,-3.01673563593237,-0.22052204710251544,0.6489794631075512
48.0,0.055471678511747495,18.10993197281864,-254796.3573697705,-2.8981273631933955,-0.0740143573111906,0.5245090606963925,-3.0090345579257973,-0.07684678104920767,0.5445812732817861
49.0,0.05561344139337507,18.15621353868116,-255481.11029830514,-2.8792989348270472,0.0646523412369276,0.4180318908834297,-2.9904977884215347,0.06714922203689837,0.43417633023632557
50.0,0.05574248981974187,18.1983441949981,-256164.8244104988,-2.849715585678178,0.2030261162102023,0.3062238965580914,-2.9609187025606265,0.21094870927337625,0.3181735282800389
51.0,0.05580889738561573,18.220024384469944,-256801.30399027892,-2.80927256222461,0.34056950940774394,0.1897345876929889,-2.920079074516451,0.35400263798268433,0.19721831433670844
52.0,0.05568733863106864,18.180338893880688,-257298.44471732224,-2.757983118556328,0.47674421455552024,0.06969413866774343,-2.8677302162407083,0.49571506812357086,0.07246744405635702
53.0,0.05531258200088988,18.057991467933178,-257534.9487716066,-2.6958635933284074,0.6110058110733357,-0.051882744996508565,-2.8037524266146163,0.635458348008414,-0.05395909961593805
54.0,0.054692563822028625,17.855573092604757,-257492.22090485992,-2.6229478918712856,0.7427963123203705,-0.17224440919205206,-2.7281941633498543,0.7726011523562799,-0.17915574811215515
55.0,0.05387422744838998,17.588409443422226,-257276.27724835605,-2.539329195940662,0.8715473261143835,-0.2891581225870179,-2.6412420747904144,0.9065258146065848,-0.3007631310131571
56.0,0.05298841163248075,17.299215667481842,-256982.28517033946,-2.4451039396263705,0.9966571088460283,-0.4012800622474108,-2.543241201182037,1.0366591708389767,-0.417385932344641
57.0,0.05209793876832593,17.00850149718556,-256659.9472331739,-2.3405043173045037,1.1175349392709275,-0.50777528495979,-2.434531685239648,1.1624307628497632,-0.528174637866036
58.0,0.05121986904022698,16.721836599531606,-256333.7804586742,-2.225866611771859,1.233609989691865,-0.6080501618611257,-2.315465975868385,1.283267354618835,-0.6325264299148424
59.0,0.05035930219879899,16.440885898661364,-256017.17772451957,-2.101594368366628,1.3443280175851502,-0.7016304913361213,-2.1864394573227846,1.3986009219834017,-0.7299565576540625
60.0,0.04952018899082449,16.16693920150682,-255718.49971816415,-1.968146113528074,1.4491513941788137,-0.7881089089112864,-2.047899685528434,1.5078741684996104,-0.8200448003468616
61.0,0.048707882872312376,15.90174425983504,-255443.6211470595,-1.8260315774808618,1.5475612620604764,-0.8671218728531026,-1.9003480934263974,1.6105444889810503,-0.9024123230760456
62.0,0.047929526512944964,15.647632953003578,-255197.0377336081,-1.6758099132648274,1.6390605170815447,-0.9383396289167808,-1.744339741457254,1.7060875317468038,-0.9767116740078224
63.0,0.04719389339527003,15.40746957458293,-254982.36482288918,-1.5180880944402142,1.7231771010117716,-1.0014622151664716,-1.5804824874775016,1.7940007835814105,-1.0426229536598004
